MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019hiho_qm1,blue,frc2443,frc4270,frc2853,52,18,0,12,5,5,5,5,2,2,2,2,18,0,0,0,3,3,0,0,0,6,0,5,5,5,16,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,6,3,2,12,0,40,2,0,2,0,52
2019hiho_qm1,red,frc7898,frc7497,frc2465,18,52,0,9,0,2,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,5,5,0,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,0,9,0,9,0,2,0,0,18
2019hiho_qm10,blue,frc6704,frc3878,frc2090,40,60,0,6,2,5,5,0,0,2,2,2,12,0,0,0,3,0,3,0,10,6,0,5,3,5,6,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,24,0,0,0,0,40
2019hiho_qm10,red,frc2443,frc6998,frc7724,60,40,0,12,5,5,5,0,0,5,5,5,33,0,0,0,0,0,3,0,0,3,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,2,12,1,48,0,2,0,5,60
2019hiho_qm11,blue,frc6909,frc2465,frc2438,44,68,0,15,2,5,2,2,0,5,2,2,6,0,0,0,6,3,12,2,0,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,29,0,0,0,0,44
2019hiho_qm11,red,frc359,frc2504,frc7631,68,44,0,9,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,6,15,30,5,0,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,53,0,0,0,0,68
2019hiho_qm12,blue,frc368,frc2896,frc2439,61,33,0,12,5,5,5,0,5,5,2,2,18,0,0,0,12,6,0,0,3,18,30,5,5,0,10,2,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,0,3,12,0,46,2,0,0,0,61
2019hiho_qm12,red,frc2441,frc6998,frc4270,33,61,0,15,2,5,5,0,0,5,5,2,12,0,0,0,0,3,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,18,0,0,0,0,33
2019hiho_qm13,blue,frc3008,frc359,frc3882,92,40,0,15,5,5,5,0,5,5,5,5,30,0,0,0,3,12,3,0,19,18,30,5,5,5,10,5,5,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,58,0,0,0,0,92
2019hiho_qm13,red,frc7505,frc7548,frc2438,40,92,0,15,2,5,2,2,2,2,2,2,3,0,0,0,3,3,12,3,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,25,0,0,0,0,40
2019hiho_qm14,blue,frc2444,frc2090,frc2896,35,42,0,12,5,2,5,0,5,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,35
2019hiho_qm14,red,frc2853,frc6909,frc3721,42,35,0,15,2,2,2,0,5,5,2,5,9,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,24,0,0,0,0,42
2019hiho_qm15,blue,frc2504,frc2443,frc2441,26,52,0,9,2,2,2,5,0,2,2,2,3,0,0,0,0,0,3,0,9,3,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,8,0,0,0,0,26
2019hiho_qm15,red,frc2445,frc2437,frc4253,52,26,0,12,5,5,5,5,0,5,5,5,21,30,0,0,3,0,12,3,0,15,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,4,12,0,40,0,0,0,0,52
2019hiho_qm16,blue,frc7631,frc7898,frc6704,25,25,0,15,2,2,2,0,0,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,1,15,0,10,0,0,0,0,25
2019hiho_qm16,red,frc3878,frc5701,frc7497,25,25,0,9,2,2,5,5,0,2,2,2,6,0,0,0,3,0,3,0,0,6,0,3,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,16,0,0,0,0,25
