Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2443,23.83,12.49,0.00,4.24,1.83,1.50,1.61,2.47,1.17,1.50,1.70,1.07,12.38,-0.10,0.00,0.00,-0.26,-1.19,0.78,-0.17,-0.34,-0.64,-1.41,1.59,1.83,1.94,8.18,0.33,1.62,0.07,1.62,1.24,1.91,0.63,2.21,0.67,0.67,0.67,0.67,0.67,0.67,0.63,1.59,1.59,0.84,4.24,0.02,19.92,0.49,0.74,0.28,0.77,23.83,
frc4270,17.92,11.28,0.00,4.76,1.68,1.94,1.77,0.08,-0.25,1.34,1.71,1.68,7.25,-0.36,0.00,0.00,0.53,1.88,2.44,0.13,-0.11,4.87,5.33,1.49,1.93,1.48,1.15,0.66,-0.06,0.71,-0.04,0.15,0.13,0.54,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.20,1.45,0.75,4.76,-0.02,13.28,0.25,-0.11,0.30,0.06,17.92,
frc2853,19.20,4.56,0.00,3.36,1.35,1.35,1.36,2.22,2.62,1.16,0.66,1.30,6.25,0.08,0.00,0.00,0.80,1.62,0.74,-0.07,2.43,3.32,-2.04,1.93,1.46,1.87,3.82,0.15,-0.33,1.36,-0.32,0.61,-0.31,1.31,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.40,0.71,0.79,3.36,0.11,13.40,0.09,-0.10,0.25,-0.21,19.20,
frc7898,15.25,13.21,0.00,5.09,0.54,0.83,1.37,0.47,1.32,1.41,0.82,0.79,3.99,0.10,0.00,0.00,0.49,1.47,-0.11,-0.06,-0.33,1.91,0.60,1.82,1.89,1.11,4.59,0.09,0.85,0.64,0.63,-0.20,1.18,0.50,0.42,0.67,0.67,0.67,0.67,0.67,0.67,2.53,1.81,0.98,0.53,5.09,-0.06,10.49,0.08,0.07,0.08,0.35,15.25,
frc7497,12.29,13.13,0.00,4.55,1.23,1.00,1.24,0.95,0.26,1.36,1.12,0.79,2.93,-0.13,0.00,0.00,2.02,0.10,1.13,0.02,-0.18,3.31,2.26,1.27,2.00,1.37,1.68,-0.17,0.25,-0.23,0.35,-0.12,-0.19,-0.10,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.88,2.17,1.59,0.20,4.55,-0.02,7.93,0.06,0.10,0.12,0.04,12.29,
frc2465,12.23,15.89,0.00,2.31,0.72,1.52,1.81,0.40,1.10,1.65,1.27,0.99,4.79,0.10,0.00,0.00,1.16,0.85,0.57,-0.37,0.76,2.71,-0.11,1.63,1.35,0.22,1.67,0.03,0.11,0.50,-0.52,0.03,-0.09,0.33,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.98,0.87,0.14,2.31,0.03,9.16,0.14,0.15,0.12,-0.12,12.23,
frc6704,11.91,19.54,0.00,2.53,0.72,0.74,0.82,0.11,0.68,0.65,0.69,0.47,1.35,-0.39,0.00,0.00,1.47,0.39,1.22,0.21,2.49,2.68,0.08,1.86,1.50,1.66,2.86,0.76,0.95,0.36,0.80,0.13,0.54,0.12,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.15,0.20,1.24,0.02,2.53,0.14,6.89,-0.07,0.05,-0.06,-0.04,11.91,
frc3878,10.90,13.61,0.00,3.81,1.11,1.61,1.65,1.77,0.74,1.00,1.49,0.60,4.00,-0.11,0.00,0.00,-0.31,0.93,-0.39,-0.14,0.64,0.06,-1.57,1.75,0.95,1.50,2.40,0.24,-0.32,0.30,0.30,0.31,-0.44,0.23,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.65,1.99,0.24,3.81,-0.05,6.46,0.16,-0.12,-0.08,-0.05,10.90,
frc2090,8.36,14.99,0.00,2.36,0.82,1.44,1.34,0.34,0.35,0.91,0.44,0.37,1.88,-0.27,0.00,0.00,0.04,-0.07,0.56,0.21,0.83,0.62,-0.68,1.38,1.19,1.56,2.67,0.60,0.09,0.78,-0.17,0.31,-0.15,0.85,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.77,0.82,1.24,-0.18,2.36,0.12,5.17,0.09,-0.06,0.26,0.06,8.36,
frc6998,12.32,20.23,0.00,3.83,1.85,1.58,1.94,-1.58,-0.47,1.76,1.62,1.65,5.74,-0.20,0.00,0.00,0.60,2.29,0.28,0.12,0.04,3.22,1.32,1.71,1.27,1.48,-0.50,0.22,0.34,-0.07,0.16,-0.20,0.27,-0.23,0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.71,1.57,2.62,0.04,3.83,0.19,8.46,-0.12,0.09,-0.09,0.30,12.32,
frc7724,23.27,8.14,0.00,5.88,2.14,1.74,2.05,1.11,1.04,2.10,1.84,1.76,9.77,-0.18,0.00,0.00,1.25,1.09,1.33,0.27,0.63,3.75,2.44,1.83,1.69,2.08,3.24,0.61,0.15,0.58,0.16,0.30,0.22,0.44,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.71,1.28,1.15,5.88,0.21,16.76,-0.02,0.11,-0.02,0.47,23.27,
frc6909,12.82,23.28,0.00,4.94,0.23,0.75,0.11,1.19,1.18,1.32,0.94,1.18,0.78,-0.35,0.00,0.00,1.29,1.60,2.46,0.34,-0.27,4.92,7.27,1.83,1.60,1.62,2.46,-0.54,0.13,-0.12,0.15,0.11,0.27,0.05,0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.52,2.06,0.46,4.94,-0.07,8.15,-0.13,-0.08,-0.11,0.29,12.82,
frc2438,19.91,15.93,0.00,6.27,0.59,1.84,1.83,0.61,1.02,1.01,1.28,1.32,4.66,-0.38,0.00,0.00,3.46,0.43,1.23,0.51,2.23,5.15,7.46,1.91,1.78,1.57,1.59,0.21,-0.01,0.24,0.56,0.20,-0.31,0.28,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.24,1.42,2.21,0.82,6.27,0.12,11.40,-0.09,-0.08,-0.07,-0.22,19.91,
frc359,38.92,18.07,0.00,4.35,2.01,2.15,1.48,2.25,3.03,2.35,2.37,2.15,15.57,0.18,0.00,0.00,4.21,4.50,4.11,0.28,0.98,12.65,27.38,1.63,1.48,1.91,5.36,1.39,2.31,1.06,1.85,0.26,0.08,0.34,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.49,1.66,2.08,4.35,0.03,33.59,-0.00,0.03,-0.03,-0.04,38.92,
