MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019hop_qm1,blue,frc6934,frc2158,frc2046,68,40,0,15,2,2,2,5,5,2,2,2,18,0,0,0,3,0,12,0,0,15,30,5,5,5,20,2,5,2,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,53,0,2,0,2,68
2019hop_qm1,red,frc6885,frc6485,frc2992,40,68,0,12,2,2,5,5,2,5,2,5,12,0,0,0,0,0,12,0,0,12,0,0,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,28,0,0,0,0,40
2019hop_qm10,blue,frc1425,frc3663,frc2357,78,42,0,12,5,5,5,5,5,0,5,5,30,0,0,0,12,3,3,0,0,18,30,5,5,5,18,5,5,0,2,2,0,5,0,2,2,2,2,2,2,3,6,3,3,12,0,66,2,0,2,0,78
2019hop_qm10,red,frc2637,frc2710,frc5022,42,78,0,6,5,5,5,5,2,5,2,2,15,0,0,0,3,3,3,0,0,9,0,5,3,5,12,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,36,0,0,0,0,42
2019hop_qm100,blue,frc4910,frc4499,frc2441,70,63,0,15,5,5,5,5,0,2,2,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,1,55,0,0,0,0,70
2019hop_qm100,red,frc1311,frc3616,frc6413,63,70,0,12,5,5,2,5,5,5,5,2,24,0,0,0,0,0,3,0,10,3,0,5,5,3,14,5,2,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,41,0,0,0,0,63
2019hop_qm101,blue,frc7427,frc2637,frc1899,58,47,0,12,5,5,5,5,0,5,5,5,21,0,0,0,12,6,3,0,0,21,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,46,0,0,0,0,58
2019hop_qm101,red,frc5013,frc3834,frc4550,47,58,0,9,5,5,5,2,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,38,0,0,0,0,47
2019hop_qm102,blue,frc1072,frc5022,frc7635,49,65,0,15,5,5,5,5,5,2,2,2,18,0,0,0,3,3,0,0,0,6,0,5,5,5,10,2,5,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019hop_qm102,red,frc4183,frc3735,frc6934,65,49,0,15,5,5,5,5,0,5,2,2,21,0,0,0,12,6,3,0,0,21,30,5,5,5,8,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,50,0,0,0,0,65
