MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019iacf_qm1,blue,frc967,frc7646,frc3206,26,42,0,9,2,2,2,2,0,2,2,2,0,0,0,0,0,3,12,1,0,15,30,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,17,0,0,0,0,26
2019iacf_qm1,red,frc5906,frc5041,frc1732,42,26,0,9,5,5,5,5,2,5,5,5,21,0,0,0,0,3,0,0,3,3,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,30,0,0,0,0,42
2019iacf_qm10,blue,frc3352,frc7309,frc6630,49,79,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,3,3,2,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,34,0,0,0,0,49
2019iacf_qm10,red,frc967,frc5837,frc3928,79,49,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,3,0,6,12,0,5,5,5,16,2,2,5,5,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,58,0,0,0,0,79
2019iacf_qm11,blue,frc1732,frc7646,frc5935,57,45,0,12,5,5,2,0,5,5,5,5,24,0,0,0,12,3,0,1,0,15,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,45,0,0,0,0,57
2019iacf_qm11,red,frc904,frc1985,frc171,45,57,0,12,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,6,0,12,0,30,0,2,0,0,45
2019iacf_qm12,blue,frc6391,frc3206,frc7021,65,58,0,15,5,5,5,0,5,5,5,5,27,0,0,0,6,3,6,0,0,15,30,5,5,5,8,2,0,5,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,50,0,0,0,0,65
2019iacf_qm12,red,frc4536,frc7541,frc5013,58,65,0,9,5,5,5,5,2,5,5,5,21,0,0,0,3,3,12,0,0,18,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,49,0,0,0,0,58
2019iacf_qm13,blue,frc7411,frc2957,frc525,58,20,0,9,2,2,2,0,0,5,5,5,15,0,0,0,0,0,12,0,6,12,0,5,0,5,16,2,2,5,2,0,2,0,2,2,2,2,2,2,2,3,3,6,2,9,0,43,0,2,0,5,58
2019iacf_qm13,red,frc6420,frc469,frc6379,20,58,0,9,2,2,2,2,5,2,2,2,3,0,0,0,0,0,0,2,0,0,0,5,5,0,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,11,0,0,0,0,20
2019iacf_qm14,blue,frc1622,frc1625,frc4021,69,51,0,15,2,2,2,0,0,5,5,5,15,0,0,0,3,3,3,0,22,9,0,5,5,5,8,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,69
2019iacf_qm14,red,frc6424,frc648,frc6732,51,69,0,9,5,5,5,0,5,2,2,2,18,0,0,0,12,3,3,4,0,18,30,5,3,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,1,42,0,0,0,0,51
2019iacf_qm15,blue,frc5914,frc5041,frc2530,37,47,0,12,2,0,2,0,2,5,2,5,6,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,3,3,0,12,0,25,0,0,0,0,37
2019iacf_qm15,red,frc7142,frc5576,frc930,47,37,0,15,2,5,5,0,5,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,32,2,0,2,0,47
2019iacf_qm16,blue,frc6889,frc6217,frc6166,26,76,0,9,2,2,2,0,2,5,5,5,9,0,0,0,3,3,0,9,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,17,0,0,0,0,26
2019iacf_qm16,red,frc2526,frc2538,frc6164,76,26,0,15,5,5,0,2,0,5,5,5,15,0,0,0,12,0,3,0,27,15,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,34,0,0,0,0,76
2019iacf_qm17,blue,frc171,frc5935,frc7531,48,60,0,15,2,5,5,0,0,5,5,5,15,0,0,0,12,0,3,0,3,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,30,0,0,0,0,48
2019iacf_qm17,red,frc2957,frc967,frc7541,60,48,0,9,5,5,5,5,0,5,2,2,15,0,0,0,3,3,12,1,10,18,30,3,5,5,8,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,41,0,0,0,0,60
2019iacf_qm18,blue,frc3928,frc904,frc7309,57,55,0,15,5,5,5,0,5,2,5,5,18,0,0,0,12,3,3,1,0,18,30,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,42,0,0,0,0,57
2019iacf_qm18,red,frc3206,frc6455,frc1625,55,57,0,15,5,5,5,0,0,2,2,2,15,0,0,0,12,3,3,0,3,18,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,37,0,0,0,0,55
2019iacf_qm19,blue,frc6630,frc2530,frc4021,24,67,0,9,2,0,2,0,0,2,0,5,6,0,0,0,0,0,3,2,0,3,0,3,5,5,6,5,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,15,0,0,0,0,24
2019iacf_qm19,red,frc7411,frc5914,frc6317,67,24,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,6,9,0,5,5,5,16,2,2,2,0,2,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,49,2,0,0,0,67
2019iacf_qm2,blue,frc6455,frc6164,frc6889,42,50,0,12,5,5,2,2,5,2,2,2,9,0,0,0,3,3,3,2,0,9,0,5,5,5,12,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,30,0,0,0,0,42
2019iacf_qm2,red,frc1622,frc6630,frc2957,50,42,0,15,5,5,5,0,2,5,2,2,12,0,0,0,6,6,3,0,6,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,29,0,0,0,0,50
2019iacf_qm20,blue,frc1985,frc6732,frc3633,46,112,0,15,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,18,0,6,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,31,0,0,0,0,46
2019iacf_qm20,red,frc3352,frc7021,frc6420,112,46,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,12,3,0,54,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,43,0,0,0,0,112
2019iacf_qm21,blue,frc7646,frc469,frc7142,33,37,0,15,2,5,5,2,2,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,18,0,0,0,0,33
2019iacf_qm21,red,frc5837,frc6217,frc6424,37,33,0,6,5,5,5,5,0,2,2,5,15,0,0,0,0,6,12,0,0,12,0,5,0,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,31,0,0,0,0,37
2019iacf_qm22,blue,frc6379,frc648,frc5576,38,52,0,12,2,2,2,5,0,2,5,5,9,0,0,0,0,3,6,1,6,9,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,1,20,0,0,0,0,38
2019iacf_qm22,red,frc6164,frc5013,frc6391,52,38,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,2,13,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,27,0,0,0,0,52
2019iacf_qm23,blue,frc4536,frc930,frc1732,82,19,0,9,2,5,5,5,5,5,5,5,39,30,0,30,3,3,12,0,0,18,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,4,9,0,73,0,5,0,5,82
2019iacf_qm23,red,frc4260,frc6889,frc2538,19,82,0,12,2,0,0,2,2,0,0,2,0,0,0,0,3,3,0,0,0,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,7,0,0,0,0,19
2019iacf_qm24,blue,frc2526,frc5906,frc6166,44,62,0,12,5,5,0,0,0,5,5,5,15,0,0,0,12,0,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,32,0,0,0,0,44
2019iacf_qm24,red,frc525,frc5041,frc1622,62,44,0,15,2,5,5,5,2,5,5,5,24,0,0,0,12,0,3,0,0,15,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,47,0,0,0,0,62
2019iacf_qm25,blue,frc2530,frc6455,frc2957,45,61,0,12,5,5,5,2,2,2,2,2,9,0,0,0,6,3,3,0,0,12,0,5,5,3,12,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,33,0,0,0,0,45
2019iacf_qm25,red,frc967,frc4021,frc3352,61,45,0,15,5,5,5,5,0,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,10,2,5,0,0,0,2,0,2,2,2,2,2,2,2,6,6,3,2,15,0,46,0,0,0,0,61
2019iacf_qm26,blue,frc7021,frc6424,frc5914,62,33,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,12,3,0,6,15,30,0,5,5,8,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,47,0,0,0,0,62
2019iacf_qm26,red,frc648,frc7309,frc6420,33,62,0,15,2,5,2,0,0,5,5,5,12,0,0,0,3,0,3,2,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,18,0,0,0,0,33
2019iacf_qm27,blue,frc930,frc171,frc1625,67,37,0,15,2,2,2,5,5,2,2,2,24,30,30,0,3,3,0,1,6,6,0,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,46,5,0,5,0,67
2019iacf_qm27,red,frc7531,frc5576,frc6217,37,67,0,15,2,2,2,0,2,2,2,2,0,0,0,0,3,0,6,2,3,9,0,5,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,19,0,0,0,0,37
2019iacf_qm28,blue,frc469,frc6630,frc6164,17,76,0,6,2,5,5,0,2,0,0,0,6,0,0,0,0,0,3,1,0,3,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,11,0,0,0,0,17
2019iacf_qm28,red,frc3206,frc2526,frc3633,76,17,0,15,5,5,5,5,0,5,5,5,27,0,0,0,12,6,3,0,3,21,30,5,5,5,10,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,58,2,0,5,0,76
2019iacf_qm29,blue,frc2538,frc7142,frc5041,38,41,0,12,5,5,5,0,2,5,5,5,18,0,0,0,0,3,3,2,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,26,0,0,0,0,38
