Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc967,27.80,13.45,0.00,4.56,1.95,1.93,2.25,3.25,1.73,2.17,1.72,1.71,12.18,-0.15,0.08,-0.24,1.41,0.90,2.72,0.00,1.37,5.11,2.11,0.99,1.74,1.71,4.59,1.21,1.90,0.96,1.12,-0.21,0.20,-0.15,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.86,1.82,1.18,4.56,0.04,21.87,-0.01,0.13,-0.07,-0.13,27.80,
frc7646,5.68,16.72,0.00,5.64,0.64,0.72,0.09,-0.24,0.88,-0.37,0.18,-0.62,-2.43,2.46,2.75,-0.29,-0.31,1.91,0.89,-0.12,-2.82,2.45,2.17,1.22,1.79,1.79,2.85,0.33,0.00,0.47,-0.38,0.26,-0.29,0.19,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,2.52,2.26,1.05,0.07,5.64,-0.05,2.87,0.34,-0.19,0.35,-0.19,5.68,
frc3206,18.62,12.49,0.00,3.50,1.32,1.47,1.83,0.25,0.01,1.69,1.44,2.23,6.92,-2.70,-2.31,-0.40,3.75,-0.77,2.23,-0.21,2.17,5.18,9.05,1.18,1.64,1.64,0.84,-0.14,0.43,0.36,1.33,0.08,0.06,0.16,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.61,1.66,1.02,0.81,3.50,-0.06,12.95,-0.04,-0.16,0.60,-0.08,18.62,
frc5906,9.00,15.50,0.00,3.92,0.77,0.79,0.56,-0.20,-0.02,0.84,0.73,1.11,1.75,0.21,0.40,-0.19,1.82,0.45,-0.69,-0.90,-0.50,1.66,1.33,1.71,1.78,1.86,2.17,0.75,0.55,0.93,-0.04,-0.39,0.26,-0.27,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.67,0.53,1.25,0.16,3.92,0.02,5.58,-0.12,0.21,-0.05,-0.05,9.00,
frc5041,10.62,16.44,0.00,3.30,1.33,0.67,1.93,1.17,0.50,2.02,1.48,1.72,5.30,0.08,0.59,-0.51,1.65,0.30,-0.03,0.32,-1.59,2.01,-1.16,1.63,1.94,1.48,1.60,-0.07,0.51,-0.69,0.10,0.78,-0.60,0.58,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.65,1.73,-0.17,3.30,-0.01,8.91,0.13,-0.24,0.15,-0.21,10.62,
frc1732,33.32,12.36,0.00,3.53,1.71,2.32,1.56,2.23,1.50,2.74,2.71,3.29,14.08,1.75,-0.98,2.73,2.89,2.60,3.43,0.33,3.48,8.86,19.12,1.73,1.62,1.68,3.37,0.09,1.07,0.06,0.68,-0.15,0.93,0.14,0.75,0.67,0.67,0.67,0.67,0.67,0.67,0.74,1.30,1.20,1.62,3.53,-0.04,26.30,-0.17,0.70,-0.12,0.61,33.32,
frc3352,23.77,22.71,0.00,4.97,1.13,1.22,1.35,3.04,2.09,1.84,2.08,1.67,8.65,-0.76,-1.13,0.37,-0.30,1.80,0.86,1.25,5.75,2.37,-1.30,1.94,1.86,1.52,2.04,-0.68,0.66,-0.43,0.54,-0.23,0.89,-0.41,0.65,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.31,2.11,-0.04,4.97,-0.03,13.06,-0.27,-0.03,-0.17,-0.02,23.77,
frc7309,9.31,13.46,0.00,5.07,0.66,1.54,1.65,0.28,-0.07,1.01,1.74,1.22,1.64,-0.02,0.34,-0.36,2.10,0.50,0.30,-0.05,0.26,2.86,3.91,1.52,1.45,1.79,-0.52,-0.38,-0.84,-0.15,-0.83,0.17,-0.35,0.25,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.90,1.59,2.02,0.50,5.07,-0.05,3.98,-0.05,-0.05,-0.01,0.05,9.31,
frc6630,15.75,30.40,0.00,4.07,1.46,1.20,1.20,0.94,1.37,0.71,0.39,0.92,5.29,0.58,0.88,-0.30,2.55,1.16,1.89,0.51,-0.09,5.59,7.50,1.41,1.61,1.72,0.89,1.15,-0.40,0.39,-0.46,0.46,-0.30,0.20,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.96,2.13,0.52,4.07,-0.01,11.77,0.07,-0.14,-0.03,-0.13,15.75,
frc5837,14.36,23.65,0.00,2.55,0.86,1.46,0.91,0.56,0.49,1.12,0.99,1.69,5.37,-0.70,-0.80,0.10,1.35,1.34,1.06,-0.23,1.18,3.11,-2.43,1.82,0.91,1.57,2.15,0.11,0.78,0.96,0.86,0.15,0.41,-0.04,0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.06,1.70,1.47,-0.06,2.55,-0.09,10.63,-0.18,-0.05,0.09,-0.06,14.36,
