MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019idbo_qm1,blue,frc1891,frc1983,frc3794,64,47,0,15,5,5,5,5,2,0,5,5,21,0,0,0,3,12,3,2,0,18,30,5,5,5,10,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,49,0,0,0,0,64
2019idbo_qm1,red,frc2643,frc7754,frc3145,47,64,0,12,2,5,5,2,0,2,2,2,6,0,0,0,3,6,12,0,6,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,29,0,0,0,0,47
2019idbo_qm10,blue,frc2594,frc1983,frc1566,58,34,0,15,2,2,2,0,5,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,10,2,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,43,0,0,0,0,58
2019idbo_qm10,red,frc5012,frc7895,frc6680,34,58,0,9,5,2,2,0,0,5,2,5,15,0,0,0,3,3,0,0,0,6,0,5,5,3,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,25,0,0,0,0,34
2019idbo_qm11,blue,frc5871,frc3145,frc3562,42,70,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,12,0,0,0,15,30,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,27,0,0,0,0,42
2019idbo_qm11,red,frc1160,frc3647,frc4698,70,42,0,9,5,5,5,5,5,2,2,2,33,30,30,0,3,3,0,0,0,6,0,5,3,5,22,5,2,5,2,5,2,5,0,2,2,2,2,2,2,3,6,6,3,9,0,61,5,0,5,0,70
2019idbo_qm12,blue,frc1891,frc2122,frc6237,62,65,0,15,5,5,5,0,5,2,2,5,18,0,0,0,3,0,12,0,0,15,30,5,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,6,1,15,1,47,5,0,2,0,62
2019idbo_qm12,red,frc5461,frc1622,frc1569,65,62,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,12,6,0,10,21,30,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,43,0,0,0,0,65
2019idbo_qm13,blue,frc7754,frc2144,frc7301,36,68,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019idbo_qm13,red,frc2130,frc6918,frc3794,68,36,0,12,2,5,5,5,0,5,5,2,33,30,0,30,6,0,3,0,0,9,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,56,0,5,0,5,68
2019idbo_qm14,blue,frc2643,frc1891,frc7895,48,85,0,15,5,5,2,0,0,5,5,2,12,0,0,0,3,3,3,1,0,9,0,5,5,5,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,6,3,0,15,0,33,0,2,0,2,48
2019idbo_qm14,red,frc2122,frc6358,frc4175,85,48,0,12,2,2,2,5,5,5,5,5,33,30,0,30,12,6,3,0,3,21,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,4,12,0,70,0,5,0,5,85
2019idbo_qm15,blue,frc3794,frc3647,frc2594,83,60,0,12,5,5,5,0,5,5,5,5,39,30,0,30,3,0,3,0,6,6,0,5,5,5,20,2,5,0,5,2,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,65,0,5,0,5,83
2019idbo_qm15,red,frc1566,frc6918,frc5871,60,83,0,12,5,5,5,5,5,5,2,5,27,0,0,0,0,6,3,2,0,9,0,5,5,5,12,5,2,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,48,0,0,0,0,60
2019idbo_qm16,blue,frc6358,frc4698,frc5461,66,68,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,1,0,9,0,5,5,5,12,5,2,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,51,0,0,0,0,66
2019idbo_qm16,red,frc1569,frc2130,frc5012,68,66,0,15,5,5,5,5,0,2,2,2,24,0,0,0,0,12,0,0,3,12,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,50,2,0,2,0,68
2019idbo_qm17,blue,frc6680,frc3145,frc2144,42,48,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,12,0,4,3,15,30,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,6,0,33,0,0,0,0,42
2019idbo_qm17,red,frc3562,frc2643,frc7754,48,42,0,12,2,5,2,0,0,5,5,5,12,0,0,0,3,0,3,1,12,6,0,5,5,5,6,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,24,0,0,0,0,48
2019idbo_qm18,blue,frc4175,frc1983,frc6237,75,60,0,15,5,5,2,0,5,5,5,5,27,0,0,0,3,6,12,0,0,21,30,5,5,5,12,0,5,0,5,0,2,0,5,2,2,2,2,2,2,6,6,3,3,15,0,60,0,0,0,2,75
2019idbo_qm18,red,frc1622,frc7301,frc1160,60,75,0,12,5,5,5,5,0,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,0,2,0,5,0,5,0,2,2,2,2,2,2,6,3,3,0,12,0,48,2,0,2,0,60
2019idbo_qm19,blue,frc6918,frc3647,frc5012,80,42,0,9,5,5,5,5,5,5,5,5,42,30,0,30,6,3,0,3,0,9,0,5,5,3,20,2,5,0,5,2,5,0,5,2,2,2,2,2,2,3,6,6,3,9,0,71,0,5,0,5,80
2019idbo_qm19,red,frc3145,frc2130,frc2122,42,80,0,6,2,2,2,0,0,2,2,2,9,0,0,0,0,3,3,0,9,6,0,0,5,5,12,5,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,6,0,27,5,0,5,0,42
2019idbo_qm2,blue,frc5012,frc6358,frc1160,86,45,0,15,5,5,5,5,5,2,5,5,45,30,30,0,0,3,3,0,0,6,0,5,5,5,20,5,5,5,5,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,71,5,0,5,0,86
2019idbo_qm2,red,frc7301,frc5871,frc2122,45,86,0,12,2,2,2,2,5,5,5,5,12,0,0,0,0,3,12,0,0,15,30,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,33,0,0,0,0,45
2019idbo_qm20,blue,frc7301,frc2594,frc5461,26,58,0,6,2,5,5,0,0,5,5,2,12,0,0,0,3,3,0,1,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,20,0,0,0,0,26
2019idbo_qm20,red,frc1566,frc7754,frc4698,58,26,0,15,2,5,5,5,2,5,5,5,24,0,0,0,0,3,3,0,3,6,0,5,5,5,10,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,40,0,0,0,0,58
2019idbo_qm21,blue,frc5871,frc7895,frc4175,42,60,0,12,5,5,5,0,0,5,5,5,18,0,0,0,0,6,6,1,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,30,0,0,0,0,42
2019idbo_qm21,red,frc2643,frc1569,frc1983,60,42,0,15,2,2,5,0,0,5,5,5,18,0,0,0,3,6,3,0,3,12,0,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,42,2,0,2,0,60
2019idbo_qm22,blue,frc6358,frc3562,frc6680,36,83,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,2,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,36
2019idbo_qm22,red,frc1891,frc1160,frc1622,83,36,0,15,5,5,5,2,5,5,5,5,33,0,0,0,3,0,12,0,6,15,30,5,5,5,14,5,5,5,5,0,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,62,0,0,0,0,83
2019idbo_qm23,blue,frc6237,frc2122,frc1569,77,33,0,15,5,5,5,0,0,5,5,5,21,0,0,0,12,3,6,0,10,21,30,5,5,5,10,0,5,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,3,15,0,52,0,0,0,2,77
2019idbo_qm23,red,frc2643,frc3794,frc2144,33,77,0,15,2,5,5,0,0,2,2,5,9,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,1,18,0,0,0,0,33
2019idbo_qm24,blue,frc1622,frc5461,frc6918,70,46,0,12,2,5,5,2,5,5,2,2,27,0,0,0,0,12,3,0,0,15,30,5,5,5,16,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,3,12,0,58,0,0,0,5,70
2019idbo_qm24,red,frc7895,frc7754,frc6358,46,70,0,12,5,5,5,0,5,5,5,2,18,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,34,0,0,0,0,46
2019idbo_qm25,blue,frc1160,frc2144,frc6680,46,74,0,12,5,5,5,2,5,5,5,5,21,0,0,0,3,3,3,1,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,34,0,0,0,0,46
2019idbo_qm25,red,frc2130,frc6237,frc2594,74,46,0,9,2,5,5,0,5,5,5,5,21,0,0,0,6,12,3,0,13,21,30,5,5,5,10,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,52,0,0,0,2,74
2019idbo_qm26,blue,frc3794,frc1566,frc3145,58,78,0,12,2,2,5,0,0,5,2,2,9,0,0,0,3,0,12,0,6,15,30,5,5,5,16,2,2,2,5,2,0,2,0,2,2,2,2,2,2,6,3,3,1,12,0,40,2,0,2,0,58
