Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1891,20.34,16.14,0.00,5.11,1.71,2.24,1.78,0.98,1.67,0.69,1.16,1.06,7.27,-3.15,-0.92,-1.36,2.40,0.00,1.24,0.21,-0.05,3.13,3.54,1.80,1.00,1.73,4.89,1.41,1.00,1.45,0.69,0.22,0.13,0.18,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.48,2.13,0.39,5.11,0.02,15.28,-0.04,-0.09,-0.21,-0.24,20.34,
frc1983,34.41,15.37,0.00,5.81,1.52,1.03,1.15,1.08,1.30,1.69,1.98,1.86,11.15,3.52,0.81,0.71,2.85,3.41,3.94,0.11,1.67,10.25,20.28,1.69,1.35,1.69,5.53,0.24,1.34,0.81,1.74,-0.03,0.90,-0.23,1.18,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.35,2.00,2.07,5.81,0.11,26.93,0.11,0.70,0.13,0.51,34.41,
frc3794,17.97,24.04,0.00,5.22,0.48,0.88,1.50,0.80,-0.94,0.99,0.74,0.79,3.75,6.73,-1.63,6.35,1.53,0.75,1.62,-0.08,-0.04,3.96,2.98,1.80,1.91,1.70,5.08,0.48,1.14,0.15,0.71,0.60,1.06,0.32,0.69,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.67,1.17,0.63,5.22,0.03,12.78,0.15,1.25,-0.20,0.92,17.97,
frc2643,18.08,15.27,0.00,5.37,0.89,1.81,1.42,0.83,1.43,1.82,1.59,1.68,5.40,-0.77,-1.05,-1.31,1.92,0.47,1.33,0.07,2.42,3.76,0.65,1.76,1.86,1.72,1.12,0.24,-0.10,-0.28,-0.28,0.26,-0.15,0.40,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.76,2.19,1.00,0.69,5.37,0.12,10.28,-0.20,-0.21,-0.17,-0.21,18.08,
frc7754,13.33,14.90,0.00,3.01,-0.13,1.09,0.79,1.03,-0.81,0.68,0.79,0.65,0.37,1.78,1.56,-1.60,-1.21,1.48,3.90,-0.18,1.59,4.22,4.55,1.58,1.43,1.72,4.14,0.45,0.50,0.94,0.46,0.38,0.52,0.28,0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.03,0.32,1.79,0.63,3.01,-0.08,8.73,0.05,0.51,0.06,-0.22,13.33,
frc3145,17.87,25.17,0.00,3.04,1.29,1.21,1.13,-0.30,0.33,1.78,1.44,1.02,4.27,0.00,0.44,-0.29,2.24,2.78,2.37,0.45,2.28,6.86,12.69,1.24,1.37,1.66,1.41,0.60,-0.08,0.35,0.54,0.15,-0.39,0.05,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.07,1.02,0.80,0.39,3.04,-0.08,12.55,0.46,-0.14,0.57,-0.02,17.87,
frc2594,15.86,15.05,0.00,1.99,1.33,1.16,1.82,1.02,2.10,1.52,1.65,1.48,6.95,-0.58,-1.18,1.29,1.20,1.58,-0.49,0.16,1.55,1.78,2.60,1.46,1.44,1.69,3.59,0.58,-0.07,0.17,0.25,0.11,-0.17,-0.14,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,-0.03,1.56,1.08,0.79,1.99,-0.08,12.32,0.15,0.06,0.17,0.20,15.86,
frc1566,9.26,16.93,0.00,3.93,0.57,0.84,1.13,0.84,0.43,1.28,0.77,1.15,2.07,-3.34,-1.08,-1.43,0.33,1.35,0.45,0.07,-0.64,2.20,-1.32,1.57,1.48,1.71,1.70,1.53,-0.03,1.15,-0.05,-0.07,-0.54,-0.04,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.02,1.52,-0.32,3.93,0.16,5.97,-0.11,-0.38,-0.10,-0.18,9.26,
frc5012,25.66,13.64,0.00,4.51,1.26,1.09,1.17,1.28,1.64,0.88,1.04,1.44,11.67,6.23,0.35,3.78,1.94,0.23,-0.26,0.02,0.89,1.91,-1.00,1.76,1.45,1.34,6.69,1.19,1.73,1.36,1.65,1.29,0.79,1.30,1.01,0.67,0.67,0.67,0.67,0.67,0.67,1.84,0.88,2.06,0.75,4.51,-0.04,20.27,0.35,0.76,0.55,0.60,25.66,
frc7895,5.25,33.24,0.00,3.11,0.99,1.07,1.25,-0.82,-1.11,1.08,0.45,0.01,0.24,-0.92,1.41,-1.57,1.89,1.27,0.10,-0.04,-1.10,3.32,-1.72,1.54,1.50,1.55,-0.33,0.50,-0.41,0.57,-0.18,0.02,-0.33,0.41,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.90,1.13,0.47,-0.79,3.11,0.04,3.24,0.47,-0.06,0.56,-0.02,5.25,
