MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ilch_qm1,blue,frc1675,frc2451,frc5148,26,37,0,9,2,5,5,0,5,2,0,0,9,0,0,0,0,3,3,0,0,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,17,0,0,0,0,26
2019ilch_qm1,red,frc7560,frc3061,frc3488,37,26,0,6,2,0,5,2,2,5,5,5,12,0,0,0,3,6,3,0,0,9,0,0,5,3,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,31,0,0,0,0,37
2019ilch_qm10,blue,frc2062,frc4292,frc5822,39,15,0,12,2,5,5,0,0,5,0,0,9,0,0,0,3,0,3,0,0,6,0,5,5,5,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,27,0,0,0,2,39
2019ilch_qm10,red,frc3067,frc7608,frc5148,15,39,0,3,2,2,2,0,0,5,5,2,6,0,0,0,0,3,3,0,0,6,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,12,0,0,0,0,15
2019ilch_qm11,blue,frc16,frc2022,frc1675,63,41,0,12,5,5,5,5,5,5,5,5,27,0,0,0,12,3,3,0,0,18,30,5,5,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,1,51,0,0,0,0,63
2019ilch_qm11,red,frc111,frc6968,frc4787,41,63,0,6,2,2,2,0,0,2,2,2,12,0,0,0,0,0,3,0,10,3,0,5,5,3,10,0,2,0,0,0,5,0,5,2,2,2,2,2,2,3,3,3,0,6,0,25,0,5,0,5,41
2019ilch_qm12,blue,frc6906,frc2725,frc2016,24,52,0,6,5,5,5,0,0,2,5,2,12,0,0,0,0,0,6,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,1,18,0,0,0,0,24
2019ilch_qm12,red,frc4702,frc7738,frc2830,52,24,0,15,2,5,2,0,2,5,5,5,12,0,0,0,3,3,3,0,10,9,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,27,0,0,0,0,52
2019ilch_qm13,blue,frc101,frc930,frc6823,42,16,0,9,2,2,2,0,0,2,2,2,9,0,0,0,0,0,0,0,6,0,0,5,5,0,18,0,2,0,2,2,5,0,5,2,2,2,2,2,2,6,3,3,2,9,0,27,2,5,0,2,42
2019ilch_qm13,red,frc2709,frc2358,frc7609,16,42,0,6,2,2,2,2,2,2,2,2,0,0,0,0,0,3,3,2,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,10,0,0,0,0,16
2019ilch_qm14,blue,frc1736,frc7237,frc2151,25,45,0,9,0,2,2,2,5,2,2,0,3,0,0,0,0,3,0,0,0,3,0,5,5,3,10,0,0,2,0,0,0,0,2,2,2,2,2,2,2,6,3,3,0,9,0,16,0,0,0,2,25
2019ilch_qm14,red,frc2136,frc5934,frc3695,45,25,0,9,5,5,5,0,0,5,5,5,24,0,0,0,0,3,3,0,0,6,0,3,5,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,3,6,2,9,0,36,0,0,0,0,45
2019ilch_qm15,blue,frc1797,frc2338,frc3488,65,35,0,9,5,5,5,5,2,5,5,5,21,0,0,0,0,12,3,0,10,15,30,5,5,5,10,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,46,2,0,0,0,65
2019ilch_qm15,red,frc3110,frc1781,frc2252,35,65,0,9,2,5,5,5,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,9,1,26,0,0,0,0,35
2019ilch_qm16,blue,frc4296,frc1884,frc3061,34,48,0,9,2,2,2,0,2,5,5,5,9,0,0,0,3,3,6,1,0,12,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,25,0,0,0,0,34
2019ilch_qm16,red,frc48,frc4156,frc4241,48,34,0,15,2,2,5,5,0,5,5,5,18,0,0,0,3,3,0,0,3,6,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,30,0,0,0,0,48
2019ilch_qm17,blue,frc4096,frc7560,frc5350,23,31,0,3,2,2,2,5,5,2,2,0,6,0,0,0,3,3,0,0,0,6,0,5,3,0,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,20,0,0,0,0,23
2019ilch_qm17,red,frc2039,frc6651,frc5125,31,23,0,15,2,2,0,0,2,2,2,5,3,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,16,0,0,0,0,31
2019ilch_qm18,blue,frc4645,frc1739,frc7237,15,62,0,6,2,2,2,0,0,5,2,2,3,0,0,0,0,3,3,0,0,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,9,0,0,0,0,15
2019ilch_qm18,red,frc5847,frc2451,frc16,62,15,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,47,0,0,2,0,62
2019ilch_qm19,blue,frc7609,frc5148,frc5934,31,18,0,9,5,5,5,5,0,2,2,2,12,0,0,0,0,0,3,0,3,3,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,19,0,0,0,0,31
2019ilch_qm19,red,frc3734,frc3067,frc1797,18,31,0,3,5,5,5,0,0,5,2,2,12,0,0,0,3,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,3,0,15,0,0,0,0,18
2019ilch_qm2,blue,frc4702,frc2151,frc111,33,23,0,6,0,5,0,0,0,0,2,0,3,0,0,0,3,0,3,0,10,6,0,5,3,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,17,0,0,0,2,33
2019ilch_qm2,red,frc7608,frc1884,frc2338,23,33,0,6,2,2,2,2,0,5,2,2,3,0,0,0,0,0,0,0,0,0,0,3,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,6,1,17,2,0,2,0,23
2019ilch_qm20,blue,frc2338,frc4156,frc930,55,20,0,9,2,5,5,0,0,5,5,2,18,30,0,0,3,12,3,0,0,18,30,5,5,5,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,3,3,4,9,0,46,2,0,2,0,55
