Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4256,26.54,15.49,0.00,4.62,1.84,1.60,0.93,2.16,1.32,1.62,2.09,2.33,11.31,1.77,0.00,-0.66,2.24,0.69,1.78,-0.01,0.47,4.70,9.57,1.63,1.65,0.85,5.44,0.61,1.72,1.51,1.12,0.25,0.25,0.12,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.33,1.47,1.20,1.17,4.62,-0.02,21.45,-0.28,-0.00,-0.29,-0.23,26.54,
frc4212,4.63,22.58,0.00,1.42,1.69,1.68,0.86,0.16,1.24,1.24,1.36,1.41,3.71,-1.50,0.00,-0.83,-0.93,0.73,0.05,-0.07,-0.19,-0.15,-7.62,0.79,1.61,0.97,-0.15,0.33,-0.40,0.05,-0.55,0.20,-0.26,0.10,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.56,0.73,1.71,-0.89,1.42,-0.01,3.41,-0.32,-0.30,-0.14,-0.19,4.63,
frc4241,16.42,22.31,0.00,5.14,0.64,1.32,2.01,1.26,0.83,1.51,0.33,0.30,3.63,-1.59,0.00,-0.40,1.97,1.54,0.89,0.39,1.71,4.40,4.95,1.62,1.25,1.91,1.55,0.22,-0.46,0.75,-0.31,-0.17,-0.12,-0.05,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.11,1.73,0.27,5.14,-0.02,9.57,0.04,0.20,0.23,0.02,16.42,
frc81,17.18,17.91,0.00,2.96,0.99,1.24,1.03,1.50,0.89,1.94,1.80,1.75,6.94,2.20,0.00,-0.15,1.34,0.72,3.65,0.08,0.11,5.71,5.57,1.33,1.51,1.69,1.47,-0.24,1.02,0.45,0.09,-0.26,0.32,-0.16,0.42,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.35,1.68,1.01,2.96,0.08,14.12,-0.21,0.15,-0.30,-0.03,17.18,
frc2704,8.46,22.26,0.00,3.76,0.20,0.98,0.85,-0.07,0.66,0.96,0.37,0.46,-1.26,-1.88,0.00,-0.89,1.19,2.17,0.58,-0.10,0.88,3.94,3.82,1.45,1.54,1.17,1.14,-0.30,-0.02,-0.21,-0.00,-0.31,-0.16,-0.11,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.91,2.26,-0.33,3.76,0.08,3.82,-0.32,-0.17,-0.14,0.04,8.46,
frc1781,25.40,22.15,0.00,3.75,2.24,2.08,1.56,2.64,2.20,1.86,1.66,1.56,9.67,-0.46,0.00,0.21,1.63,3.10,4.29,-0.06,-0.07,9.02,18.25,1.29,1.53,1.81,3.03,0.33,-0.15,-0.07,-0.49,0.18,0.20,0.13,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.51,1.29,0.67,3.75,-0.02,21.72,0.17,-0.03,0.19,-0.10,25.40,
frc2039,22.94,13.26,0.00,5.97,1.38,1.83,1.97,0.73,-0.79,1.17,2.06,1.92,9.12,2.30,0.00,2.71,2.43,0.98,2.56,0.03,-0.17,5.97,6.01,1.77,1.68,1.90,2.05,0.60,1.33,0.01,1.15,0.00,0.80,-0.31,1.45,0.67,0.67,0.67,0.67,0.67,0.67,2.52,1.07,1.84,1.02,5.97,-0.05,17.14,-0.32,0.33,-0.34,0.24,22.94,
frc2022,20.03,22.14,0.00,3.93,1.59,1.62,1.71,1.50,1.94,0.64,2.01,1.63,10.07,2.86,0.00,-0.20,1.36,1.28,-0.35,-0.23,0.25,2.28,0.68,1.57,1.83,1.61,3.49,1.09,1.15,1.31,1.13,-0.43,-0.31,0.29,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.58,1.13,0.55,3.93,-0.02,15.84,0.32,-0.00,0.26,-0.04,20.03,
frc1288,16.00,17.54,0.00,3.97,1.51,1.97,0.48,0.22,0.68,1.21,1.61,1.33,6.90,-1.14,0.00,-0.38,1.09,0.15,0.49,0.52,1.13,1.73,-0.74,1.72,1.64,1.63,2.27,0.31,0.21,0.79,0.40,0.44,0.02,0.46,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.15,1.51,0.64,3.97,-0.00,10.90,0.19,0.14,0.16,0.05,16.00,
frc2013,13.66,22.35,0.00,5.91,1.17,1.45,1.80,-0.08,1.23,1.66,1.76,1.43,4.24,-0.13,0.00,-0.01,0.58,1.81,0.58,-0.13,0.46,2.98,-0.55,1.65,1.73,1.74,0.08,-0.59,-0.39,-0.92,0.18,0.04,-0.26,-0.01,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.29,2.44,1.90,0.03,5.91,0.10,7.30,0.28,-0.08,-0.03,-0.03,13.66,
