MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019incmp_qm1,blue,frc4103,frc5484,frc7617,74,87,0,12,5,5,5,0,5,5,5,5,33,0,0,0,3,6,6,0,0,15,30,5,5,5,14,2,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,1,12,0,62,2,0,5,0,74
2019incmp_qm1,red,frc234,frc1018,frc5010,87,74,0,15,2,2,5,5,5,0,5,5,33,30,0,30,12,3,6,0,0,21,30,5,5,5,18,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,72,0,5,0,5,87
2019incmp_qm10,blue,frc1024,frc461,frc7454,73,65,0,15,5,5,5,2,0,5,5,5,18,0,0,0,6,6,3,0,21,15,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,1,37,0,0,0,0,73
2019incmp_qm10,red,frc1018,frc3494,frc7457,65,73,0,15,5,5,0,2,5,5,5,5,18,0,0,0,3,3,12,7,10,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,40,0,0,0,0,65
2019incmp_qm11,blue,frc3559,frc3176,frc3947,62,94,0,15,2,2,2,5,2,2,2,2,9,0,0,0,3,3,12,0,0,18,30,5,5,5,20,2,2,0,2,2,5,0,2,2,2,2,2,2,2,6,3,6,1,15,0,47,0,2,0,5,62
2019incmp_qm11,red,frc1501,frc5010,frc1741,94,62,0,15,5,5,5,5,5,5,5,5,42,30,30,0,12,3,6,0,0,21,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,79,5,0,5,0,94
2019incmp_qm12,blue,frc5188,frc7617,frc868,89,89,0,15,2,5,5,0,5,5,5,5,36,30,0,30,6,6,12,0,0,24,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,74,0,5,0,5,89
2019incmp_qm12,red,frc71,frc2867,frc461,89,89,0,15,5,5,5,5,0,5,5,5,39,30,30,0,12,3,6,0,0,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,74,5,0,5,0,89
2019incmp_qm13,blue,frc1018,frc1747,frc6498,68,63,0,12,5,5,5,5,5,2,5,5,33,0,0,0,0,3,0,0,0,3,0,5,5,5,20,5,5,5,5,2,0,2,0,2,2,2,2,2,2,6,3,3,2,12,0,56,2,0,2,0,68
2019incmp_qm13,red,frc7502,frc4926,frc6956,63,68,0,18,5,5,5,5,5,0,5,5,21,0,0,0,0,12,6,0,0,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,1,18,0,45,0,0,0,0,63
2019incmp_qm14,blue,frc1646,frc135,frc3494,74,76,0,15,2,2,5,0,5,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,5,5,14,5,5,5,5,0,0,0,2,2,2,2,2,2,2,6,6,3,1,15,0,59,0,0,0,2,74
2019incmp_qm14,red,frc1741,frc1501,frc7454,76,74,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,12,3,0,0,21,30,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,61,0,0,0,0,76
2019incmp_qm15,blue,frc4103,frc7457,frc3559,72,101,0,15,5,5,5,5,5,2,5,5,33,0,0,0,0,12,0,2,0,12,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,0,15,0,57,0,0,0,0,72
2019incmp_qm15,red,frc829,frc4272,frc1720,101,72,0,15,2,5,2,0,5,5,5,5,36,0,0,0,6,6,12,0,6,24,30,5,5,5,20,5,5,5,5,5,5,2,5,2,2,2,2,2,2,3,6,6,3,15,0,80,0,2,0,0,101
2019incmp_qm16,blue,frc3176,frc234,frc3940,79,62,0,15,5,5,5,5,2,2,2,2,30,30,30,0,3,3,12,0,0,18,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,0,64,5,0,5,0,79
2019incmp_qm16,red,frc2197,frc5484,frc1024,62,79,0,15,2,2,5,5,0,5,2,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,20,5,2,5,2,5,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,47,2,0,2,0,62
2019incmp_qm17,blue,frc4272,frc7502,frc1646,72,64,0,15,5,5,5,5,5,5,5,2,36,0,0,0,0,0,3,0,0,3,0,5,5,5,18,5,0,5,2,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,57,2,0,5,0,72
2019incmp_qm17,red,frc3947,frc4103,frc2867,64,72,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,0,0,0,15,30,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,49,0,0,0,0,64
2019incmp_qm18,blue,frc234,frc461,frc7457,87,81,0,15,2,5,5,5,5,5,2,5,30,0,0,0,0,3,12,0,3,15,30,5,5,5,24,2,5,0,5,2,5,0,2,2,2,2,2,2,2,6,3,6,3,15,0,69,5,2,2,2,87
2019incmp_qm18,red,frc1741,frc3940,frc135,81,87,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,12,3,1,0,21,30,5,5,5,18,2,2,5,2,2,0,2,0,2,2,2,2,2,2,6,3,6,1,15,0,66,0,0,2,0,81
2019incmp_qm19,blue,frc71,frc2197,frc6956,62,82,0,15,5,5,5,0,5,5,5,5,24,0,0,0,6,6,3,1,0,15,30,5,5,5,8,0,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,6,1,15,1,47,0,0,0,0,62
2019incmp_qm19,red,frc3176,frc1501,frc1018,82,62,0,15,5,2,2,0,5,5,5,5,21,0,0,0,3,12,6,0,13,21,30,5,5,5,12,5,2,2,5,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,54,0,0,0,0,82
2019incmp_qm2,blue,frc1720,frc868,frc7454,73,56,0,15,5,5,5,5,5,2,5,5,27,0,0,0,12,3,3,0,3,18,30,5,5,5,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,1,55,0,0,0,0,73
2019incmp_qm2,red,frc3176,frc6498,frc5188,56,73,0,6,5,5,5,5,0,5,5,5,21,0,0,0,0,3,6,1,10,9,0,3,3,5,10,0,2,2,0,0,2,0,2,2,2,2,2,2,2,3,6,6,0,6,0,40,0,0,0,0,56
2019incmp_qm20,blue,frc3494,frc5010,frc868,76,61,0,12,2,5,5,0,5,5,5,5,30,0,0,0,12,3,0,0,3,15,30,5,5,5,16,5,5,5,5,0,2,0,2,2,2,2,2,2,2,3,6,3,3,12,0,61,0,0,0,0,76
2019incmp_qm20,red,frc3559,frc4926,frc6498,61,76,0,15,5,5,0,5,0,5,2,5,21,0,0,0,3,12,0,1,0,15,30,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,46,0,0,0,0,61
2019incmp_qm21,blue,frc7617,frc1024,frc829,56,71,0,15,2,2,5,0,0,0,5,5,15,0,0,0,3,3,12,0,0,18,30,5,5,5,8,2,2,5,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,41,0,0,0,0,56
2019incmp_qm21,red,frc1747,frc7454,frc5188,71,56,0,12,2,5,5,0,5,5,5,5,36,30,0,30,0,3,6,0,0,9,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,59,0,5,0,5,71
2019incmp_qm22,blue,frc5484,frc135,frc71,83,77,0,15,5,2,2,5,5,5,5,5,21,30,0,0,6,12,6,0,9,24,30,5,5,5,14,2,0,0,5,0,2,0,2,2,2,2,2,2,2,6,6,3,4,15,0,59,0,0,0,2,83
2019incmp_qm22,red,frc1720,frc3494,frc3176,77,83,0,15,5,5,5,5,0,2,5,2,21,0,0,0,12,6,3,3,0,21,30,5,5,5,20,2,5,2,5,0,0,2,0,2,2,2,2,2,2,6,6,3,1,15,0,62,2,0,2,0,77
