Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4103,26.11,31.52,0.00,3.94,1.31,1.55,1.64,0.63,2.28,1.37,1.44,1.76,11.64,0.65,1.16,-1.98,2.48,0.85,0.05,0.40,0.20,3.38,1.67,1.70,1.67,1.68,6.93,1.45,2.04,1.54,1.04,1.65,0.62,2.10,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.40,0.76,0.23,3.94,-0.03,21.96,0.09,-0.34,0.46,-0.16,26.11,
frc5484,28.44,23.98,0.00,4.57,0.98,0.62,1.28,2.08,1.16,1.83,1.22,1.02,9.80,3.64,1.50,-2.04,0.39,3.75,0.83,-0.26,1.58,4.97,5.84,1.68,1.67,1.50,7.52,1.15,-0.30,1.48,0.31,2.07,1.10,1.68,1.97,0.67,0.67,0.67,0.67,0.67,0.67,1.85,1.27,1.89,0.87,4.57,-0.04,22.29,0.43,0.34,0.60,0.53,28.44,
frc7617,21.81,28.41,0.00,4.08,1.24,1.64,1.34,1.41,-0.02,1.62,1.63,1.27,9.67,3.83,-1.28,6.78,1.20,2.45,3.00,0.08,-1.53,6.65,7.52,1.65,1.66,1.67,2.95,1.06,-0.17,1.62,0.01,0.44,0.10,0.43,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.91,1.04,0.18,4.08,-0.07,19.27,0.33,0.81,0.80,0.73,21.81,
frc234,30.45,20.89,0.00,5.35,0.64,1.40,1.88,1.73,0.28,0.85,0.19,0.71,9.16,11.29,6.10,6.74,1.64,2.54,4.30,-0.03,0.40,8.48,12.18,1.68,1.69,1.69,7.05,0.59,1.55,0.55,0.97,0.98,1.17,0.99,0.98,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.02,2.72,1.97,5.35,-0.07,24.69,1.27,1.42,0.92,1.12,30.45,
frc1018,19.82,23.33,0.00,5.19,1.83,1.38,1.58,-0.07,1.69,0.88,1.94,1.89,6.10,2.92,-1.40,2.85,1.83,1.69,2.04,0.79,1.44,5.57,6.67,1.68,1.67,1.67,1.52,0.67,0.08,-0.02,0.79,-0.74,0.12,-0.53,0.14,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.29,1.78,0.48,5.19,0.06,13.19,-0.29,0.24,-0.34,0.35,19.82,
frc5010,35.33,22.18,0.00,5.22,0.76,1.35,1.30,1.85,1.96,1.41,1.50,1.68,15.62,6.60,1.42,5.35,2.54,0.41,-0.42,-0.09,1.48,2.54,4.88,1.68,1.67,1.68,10.46,1.74,2.43,1.53,2.89,0.42,1.83,0.84,2.03,0.67,0.67,0.67,0.67,0.67,0.67,2.31,1.81,1.02,1.27,5.22,0.06,28.62,0.66,1.40,0.60,1.45,35.33,
frc1024,17.43,28.27,0.00,4.73,0.81,0.84,1.10,0.18,0.40,1.43,1.46,1.26,3.62,-2.03,-1.04,0.27,1.32,0.39,1.52,-0.04,2.22,3.23,5.35,1.53,1.69,1.69,3.63,0.28,0.97,-0.10,0.87,0.01,0.43,-0.14,0.13,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.27,1.66,-0.07,4.73,0.04,10.47,-0.21,0.00,-0.26,-0.21,17.43,
frc461,30.30,27.66,0.00,4.27,0.72,1.89,1.82,1.02,0.44,2.07,1.51,1.76,13.16,3.08,1.02,0.52,2.28,0.93,1.77,0.16,1.53,4.98,11.09,1.70,1.67,1.69,6.36,0.62,2.29,0.74,2.27,0.35,1.91,0.14,1.75,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.39,1.48,0.97,4.27,0.14,24.50,0.56,0.72,0.22,0.78,30.30,
frc7454,22.50,18.71,0.00,4.93,1.60,1.60,2.13,0.16,1.52,1.67,1.97,1.99,8.29,5.91,-1.38,3.28,1.08,2.60,0.71,0.06,3.26,4.39,2.75,1.70,1.67,1.69,1.63,-0.61,0.77,-0.55,-0.16,-0.42,1.19,-0.50,1.22,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.41,2.14,1.13,4.93,0.11,14.31,-0.45,0.60,-0.52,0.80,22.50,
frc3494,17.76,23.25,0.00,4.74,1.28,1.24,1.28,0.03,0.26,1.54,1.55,1.01,4.18,-5.06,-1.78,-2.55,2.35,0.41,2.21,0.88,1.38,4.97,4.13,1.70,1.69,1.69,2.48,0.68,1.35,0.16,0.99,-0.61,0.28,-0.88,0.49,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.78,1.21,-0.20,4.74,-0.04,11.63,-0.22,-0.17,-0.29,0.07,17.76,
