MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ingre_qm1,blue,frc3947,frc6721,frc5944,45,18,0,12,2,2,5,0,0,5,5,5,12,0,0,0,12,3,0,0,0,15,30,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,33,0,0,0,0,45
2019ingre_qm1,red,frc3176,frc7502,frc292,18,45,0,6,2,2,2,0,2,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,3,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,12,0,0,0,0,18
2019ingre_qm10,blue,frc3559,frc6451,frc7502,43,37,0,15,2,2,2,0,5,5,5,5,12,0,0,0,3,6,3,1,0,12,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,0,0,0,43
2019ingre_qm10,red,frc5403,frc4926,frc1018,37,43,0,9,5,5,5,2,5,2,2,2,12,0,0,0,3,3,3,0,3,9,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,25,0,0,0,0,37
2019ingre_qm11,blue,frc4008,frc7457,frc2867,67,57,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,1,0,18,30,5,5,5,10,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,52,0,0,0,2,67
2019ingre_qm11,red,frc5010,frc5402,frc4580,57,67,0,15,5,5,5,0,0,5,5,5,24,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,39,0,0,0,0,57
2019ingre_qm12,blue,frc3487,frc1741,frc3176,59,65,0,15,5,5,2,5,5,0,5,5,18,0,0,0,3,6,3,0,0,12,0,5,5,5,14,0,0,2,0,2,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,44,2,0,2,0,59
2019ingre_qm12,red,frc3947,frc5403,frc5188,65,59,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,50,0,0,0,0,65
2019ingre_qm13,blue,frc1024,frc1555,frc4008,43,84,0,15,2,2,2,0,0,5,5,5,9,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,28,2,0,0,0,43
2019ingre_qm13,red,frc7457,frc6451,frc5944,84,43,0,15,5,5,5,5,5,5,5,5,30,0,0,0,12,6,3,0,0,21,30,5,5,5,18,5,2,5,2,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,69,0,0,2,0,84
2019ingre_qm14,blue,frc1747,frc5484,frc292,70,61,0,15,5,5,5,0,0,5,5,5,33,0,0,0,3,0,3,0,0,6,0,5,5,5,16,5,2,5,5,2,5,2,5,2,2,2,2,2,2,3,6,6,2,15,0,55,0,0,0,0,70
2019ingre_qm14,red,frc1529,frc1501,frc7502,61,70,0,15,5,5,5,5,2,5,5,5,21,0,0,0,0,12,3,0,0,15,30,5,5,5,10,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,6,3,1,15,0,46,0,0,0,0,61
2019ingre_qm15,blue,frc1018,frc3176,frc5010,61,67,0,6,5,5,2,5,0,2,5,5,33,30,0,30,0,3,3,0,0,6,0,0,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,1,6,0,55,2,5,0,5,61
2019ingre_qm15,red,frc5402,frc447,frc3559,67,61,0,15,2,2,5,5,5,2,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,52,0,2,0,2,67
2019ingre_qm16,blue,frc4926,frc7695,frc6721,43,68,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,34,0,0,0,0,43
2019ingre_qm16,red,frc5188,frc829,frc4580,68,43,0,15,5,2,5,5,0,5,5,5,27,0,0,0,3,6,3,0,0,12,0,5,5,5,14,5,5,2,5,2,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,53,0,0,0,0,68
