Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3947,15.70,19.11,0.00,2.94,1.22,1.35,1.40,0.77,0.20,1.57,1.35,1.37,3.81,-0.87,-0.84,0.29,2.33,1.08,2.54,0.18,1.44,5.94,11.97,1.14,1.50,1.30,1.56,0.98,0.06,1.44,-0.56,0.10,-0.37,-0.28,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.01,1.81,0.66,2.94,0.04,11.31,-0.14,-0.13,-0.16,-0.06,15.70,
frc6721,17.88,17.66,0.00,5.15,1.13,1.17,1.96,-0.15,0.60,2.05,1.57,1.14,6.35,-1.88,-0.29,-1.27,1.22,1.40,0.07,0.04,1.41,2.70,2.20,1.81,1.70,1.58,2.28,-0.18,1.23,-0.08,1.18,-0.35,0.96,-0.22,0.73,0.67,0.67,0.67,0.67,0.67,0.67,2.46,0.88,1.80,0.43,5.15,0.13,11.32,0.27,-0.13,-0.01,-0.42,17.88,
frc5944,20.03,22.97,0.00,4.36,0.33,1.55,1.71,2.78,2.07,1.70,1.17,1.44,8.35,-1.27,-0.24,-0.52,1.20,0.07,0.56,0.30,-1.02,1.81,0.36,1.47,1.80,1.85,6.53,1.95,0.25,1.61,-0.20,0.22,0.34,0.17,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.40,1.91,1.04,0.05,4.36,0.04,16.69,0.14,0.19,0.43,0.20,20.03,
frc3176,18.57,20.71,0.00,2.44,1.68,1.66,1.24,1.46,2.00,0.98,1.89,1.50,9.32,5.64,2.11,1.33,0.55,0.76,1.02,0.01,0.32,2.38,0.05,0.95,1.80,1.61,4.11,0.13,1.50,0.15,0.61,0.31,0.50,0.26,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.27,0.82,1.10,0.49,2.44,-0.05,15.81,0.48,0.15,0.51,0.24,18.57,
frc7502,20.13,17.75,0.00,5.25,0.80,0.62,0.69,2.02,1.68,1.16,1.30,1.42,5.51,-0.08,0.02,0.17,0.32,2.49,1.06,0.03,1.47,3.90,3.91,1.76,1.86,1.57,4.00,0.98,1.42,0.89,1.88,-0.54,-0.03,-0.31,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.25,1.16,1.70,0.68,5.25,0.02,13.41,-0.43,0.02,-0.40,-0.08,20.13,
frc292,5.62,21.65,0.00,2.93,1.27,1.17,1.83,-0.41,0.02,0.79,0.68,0.26,-0.01,-2.46,-0.60,-1.34,1.21,0.22,1.08,0.16,-0.12,2.31,0.32,1.46,0.88,1.34,0.51,0.16,-0.16,0.23,0.62,-0.16,-0.32,-0.27,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.41,1.76,1.50,-0.33,2.93,-0.03,2.81,0.24,-0.67,0.13,-0.49,5.62,
frc3559,18.06,17.46,0.00,4.53,0.45,0.60,0.93,1.47,1.55,1.27,1.51,1.62,5.90,0.62,-0.49,1.58,0.06,1.17,1.63,0.12,-1.02,2.65,-0.65,1.58,1.38,1.54,6.00,0.19,0.71,0.62,0.32,0.30,1.04,0.10,1.04,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.34,2.61,0.49,4.53,0.05,14.55,0.49,0.94,0.43,0.58,18.06,
frc6451,25.15,22.27,0.00,4.31,1.79,1.68,1.73,-0.01,2.41,1.96,1.59,1.98,10.57,-1.16,-0.09,-0.57,2.36,0.92,2.59,0.04,0.19,5.86,6.76,1.58,1.59,1.79,4.22,2.16,-0.38,1.82,0.68,0.87,-0.01,1.10,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.46,1.48,1.01,0.49,4.31,0.05,20.65,-0.17,-0.31,0.25,-0.30,25.15,
frc5403,20.69,20.06,0.00,4.65,1.92,1.91,1.80,0.72,0.94,1.51,1.22,1.72,9.78,1.29,-0.02,-0.71,0.99,1.48,0.67,-0.30,0.05,3.15,-0.75,1.62,1.83,1.79,3.06,0.95,-0.33,1.28,-0.11,0.52,0.43,0.75,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.75,1.03,1.67,0.40,4.65,-0.08,15.99,0.21,0.54,0.14,0.37,20.69,
frc4926,19.51,19.08,0.00,3.82,1.30,1.86,1.46,2.89,2.07,1.21,1.81,1.70,8.43,-0.15,-0.07,-0.50,1.43,1.97,-0.04,0.19,1.01,3.37,4.47,1.33,1.77,1.62,2.88,0.61,0.76,0.68,0.07,-0.04,-0.22,-0.24,-0.49,0.67,0.67,0.67,0.67,0.67,0.67,2.20,1.00,1.82,0.39,3.82,0.03,14.68,0.16,-0.08,0.23,-0.32,19.51,
