MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019inmis_qm1,blue,frc829,frc1555,frc292,25,24,0,6,2,2,2,0,0,5,5,5,9,0,0,0,3,3,0,1,0,6,0,5,3,0,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,2,6,0,19,2,0,0,0,25
2019inmis_qm1,red,frc2867,frc45,frc1741,24,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,6,0,0,0,0,24
2019inmis_qm10,blue,frc7477,frc7695,frc4982,29,57,0,12,2,2,2,2,0,5,2,2,3,0,0,0,3,3,0,7,6,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,11,0,0,0,0,29
2019inmis_qm10,red,frc7502,frc3559,frc3180,57,29,0,15,2,2,0,2,2,2,2,2,0,0,0,0,3,3,3,2,21,9,0,5,5,5,12,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,21,0,0,0,0,57
2019inmis_qm11,blue,frc1501,frc2867,frc2909,53,60,0,12,5,5,5,5,0,5,5,5,21,0,0,0,12,6,0,0,0,18,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,12,0,41,0,0,0,0,53
2019inmis_qm11,red,frc7198,frc5484,frc135,60,53,0,15,5,5,5,5,0,5,2,2,21,0,0,0,3,3,12,0,0,18,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,45,0,0,0,0,60
2019inmis_qm12,blue,frc3865,frc2197,frc45,23,36,0,9,2,2,2,0,2,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,14,0,0,0,0,23
2019inmis_qm12,red,frc1529,frc3176,frc3947,36,23,0,9,0,0,2,5,5,5,5,5,15,0,0,0,6,3,3,0,0,6,0,0,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,27,0,0,0,0,36
2019inmis_qm13,blue,frc292,frc1646,frc447,43,17,0,15,5,2,5,0,0,5,5,5,15,0,0,0,3,3,0,2,3,6,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,0,0,43
2019inmis_qm13,red,frc3936,frc4580,frc1018,17,43,0,6,2,2,2,0,0,2,2,5,3,0,0,0,0,0,0,1,6,0,0,3,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,5,0,0,0,0,17
2019inmis_qm14,blue,frc6956,frc6498,frc1741,28,68,0,12,0,2,0,0,0,5,2,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,16,0,0,0,0,28
2019inmis_qm14,red,frc234,frc6721,frc7454,68,28,0,15,5,0,5,5,0,5,0,5,24,0,0,0,12,0,0,0,3,12,0,5,5,5,14,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,6,3,2,15,0,50,0,2,0,2,68
2019inmis_qm15,blue,frc4103,frc1529,frc1501,74,59,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,12,1,3,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,56,0,0,0,0,74
