Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc829,22.15,13.75,0.00,5.24,1.55,1.39,2.11,-0.89,0.57,1.34,1.55,1.70,6.87,-0.30,0.00,0.00,1.85,1.67,3.25,-0.16,0.61,6.76,10.62,1.72,1.76,1.47,2.66,0.30,0.42,0.04,0.42,-0.12,0.26,0.15,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.25,1.24,1.41,0.80,5.24,0.09,16.30,0.56,0.63,0.00,0.35,22.15,
frc1555,8.70,21.59,0.00,3.77,0.60,0.97,1.08,-0.38,0.13,1.71,1.05,0.60,0.65,0.09,0.00,0.00,0.53,-0.12,0.37,0.17,1.83,0.91,-3.31,1.56,1.74,0.82,1.54,0.18,-0.70,0.47,-0.18,0.45,-0.37,0.53,0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.24,0.93,2.51,-0.22,3.77,0.01,3.11,0.06,0.13,0.00,-0.05,8.70,
frc292,11.66,15.51,0.00,3.57,1.41,0.42,1.19,1.29,0.37,1.33,1.79,1.66,4.05,0.09,0.00,0.00,1.10,0.58,0.34,0.45,0.03,2.22,-1.77,1.82,1.24,1.36,1.78,0.63,-0.16,0.70,-0.34,0.22,-0.15,0.19,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.86,2.23,0.29,3.57,-0.07,8.06,0.29,-0.23,-0.03,-0.09,11.66,
frc2867,18.01,15.17,0.00,5.63,2.33,1.69,1.31,1.89,0.68,1.67,1.93,1.41,8.78,-0.27,0.00,0.00,1.16,2.26,0.30,0.13,-0.73,3.95,2.44,1.92,1.72,1.50,0.39,0.37,0.12,0.38,0.05,-0.49,0.27,-0.26,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.80,2.18,0.32,5.63,-0.08,13.11,-0.21,-0.03,-0.10,-0.17,18.01,
frc45,15.34,22.62,0.00,3.22,0.07,1.13,0.67,-0.20,1.76,1.70,1.14,1.20,5.26,-0.24,0.00,0.00,-0.14,0.83,1.81,0.38,-0.69,2.62,1.31,1.64,1.82,1.76,4.93,0.90,1.03,0.84,0.80,0.89,0.71,0.62,0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.45,1.19,1.51,-0.21,3.22,0.17,12.81,0.09,-0.15,0.09,-0.14,15.34,
frc1741,8.27,11.67,0.00,4.97,0.19,0.54,0.51,1.23,-0.70,0.15,-0.29,-0.67,-2.33,2.48,0.00,0.00,1.42,1.24,0.70,0.29,0.85,3.43,2.38,1.79,1.70,1.78,1.35,0.02,-0.09,-0.69,-0.14,0.30,-0.40,0.11,-0.53,0.67,0.67,0.67,0.67,0.67,0.67,2.52,1.18,0.90,0.29,4.97,-0.02,2.45,-0.14,0.20,-0.13,-0.17,8.27,
frc7477,6.80,15.78,0.00,4.75,0.91,0.61,1.21,0.70,0.78,0.23,0.43,-0.15,-1.55,0.31,0.00,0.00,0.75,2.42,-0.14,0.54,0.63,2.97,-0.14,1.87,1.82,1.12,-0.00,-0.74,-0.27,-0.83,-0.23,-0.26,-0.14,-0.26,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.19,2.20,-0.30,4.75,-0.06,1.42,-0.11,-0.19,-0.13,-0.16,6.80,
frc7695,14.72,20.64,0.00,4.28,1.18,1.20,1.14,2.20,1.24,1.21,1.05,1.07,4.41,0.10,0.00,0.00,0.41,1.90,1.18,1.07,0.43,3.27,1.91,1.76,1.43,2.00,2.33,0.01,0.63,-0.07,0.29,-0.03,-0.07,0.29,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.77,0.57,1.05,-0.15,4.28,0.03,10.01,0.01,-0.02,0.07,0.11,14.72,
frc4982,10.75,18.09,0.00,3.80,1.01,1.15,1.05,0.27,-0.37,2.12,1.59,1.39,2.93,-0.26,0.00,0.00,1.71,1.34,0.77,1.23,0.82,4.00,4.02,1.90,1.21,1.73,-0.80,0.36,-0.28,0.03,-0.41,0.12,-0.25,0.07,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.80,0.98,0.49,3.80,0.31,6.14,-0.15,-0.23,-0.10,-0.33,10.75,
frc7502,16.92,6.91,0.00,5.76,0.21,0.41,0.16,1.05,0.63,0.58,0.73,1.01,0.44,-0.23,0.00,0.00,0.83,0.92,0.50,-0.01,1.92,2.38,-1.75,1.62,1.97,1.96,6.42,0.70,1.96,1.37,1.67,-0.44,0.35,-0.27,0.87,0.67,0.67,0.67,0.67,0.67,0.67,1.61,1.76,1.69,0.54,5.76,0.10,9.24,-0.11,0.08,-0.09,0.30,16.92,
frc3559,14.22,10.43,0.00,4.79,1.08,-0.08,0.44,1.81,1.52,0.37,-0.15,0.18,-1.33,-0.20,0.00,0.00,0.96,1.64,2.21,-0.13,0.47,4.00,3.60,1.82,0.79,1.57,6.30,0.41,0.54,0.90,0.34,-0.13,0.01,-0.20,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.65,2.00,2.01,0.59,4.79,-0.02,8.96,-0.10,-0.04,-0.09,-0.01,14.22,
frc3180,10.84,15.54,0.00,3.26,0.64,1.00,0.91,0.02,0.04,1.27,1.52,1.25,2.24,0.04,0.00,0.00,-0.47,-0.64,0.94,0.18,3.92,0.02,-3.23,1.47,1.45,1.12,1.40,0.48,-0.22,0.38,0.05,0.24,-0.12,0.18,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.21,1.88,1.19,-0.01,3.26,0.05,3.66,0.37,-0.23,0.03,-0.21,10.84,
frc1501,29.55,20.72,0.00,5.08,1.86,2.72,2.03,1.64,0.32,1.88,2.07,1.43,10.62,-0.27,0.00,0.00,3.17,3.00,3.20,0.20,2.40,9.43,19.21,1.56,1.72,1.80,2.01,0.24,0.17,0.48,-0.18,0.21,0.44,0.40,0.66,0.67,0.67,0.67,0.67,0.67,0.67,1.18,2.81,1.59,0.98,5.08,-0.05,22.06,0.33,-0.02,0.27,-0.19,29.55,
frc2909,8.54,20.01,0.00,1.83,1.11,1.30,1.16,0.24,-0.03,1.08,0.89,1.33,3.52,0.05,0.00,0.00,1.94,-0.15,0.72,-0.10,0.31,2.23,2.27,0.77,1.49,1.54,0.66,0.56,-0.34,0.51,-0.19,0.76,-0.28,-0.06,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.54,0.68,1.11,-0.43,1.83,0.01,6.40,0.09,0.29,-0.14,0.27,8.54,
frc7198,13.04,17.60,0.00,3.24,1.03,2.13,1.83,0.62,0.72,0.67,1.10,1.84,5.31,-0.22,0.00,0.00,1.67,-0.32,3.30,-0.38,-0.54,4.66,2.82,1.48,1.92,1.78,0.37,0.26,0.44,-0.26,-0.26,-0.40,0.06,-0.35,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.41,0.86,0.43,3.24,0.24,10.34,-0.10,-0.24,-0.04,-0.16,13.04,
frc5484,17.05,14.95,0.00,4.02,1.47,1.75,1.22,0.96,-0.01,1.38,1.55,1.50,6.28,-0.51,0.00,0.00,0.90,1.76,1.99,0.25,-0.50,4.76,4.36,1.63,1.43,1.83,2.49,0.93,0.13,1.13,0.15,0.22,0.09,0.64,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.32,1.89,0.51,4.02,-0.07,13.53,-0.05,0.13,0.03,0.12,17.05,
frc135,28.79,18.65,0.00,6.02,1.79,1.52,1.27,0.94,0.78,1.36,0.41,0.06,8.21,-0.16,0.00,0.00,3.35,2.49,3.94,-0.16,0.41,9.96,20.73,1.56,1.83,1.23,4.20,2.04,1.43,2.18,1.31,0.20,-0.11,0.94,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.79,1.79,1.47,6.02,-0.03,22.37,0.45,0.10,0.83,0.13,28.79,
frc3865,10.70,14.97,0.00,3.75,1.58,1.32,1.58,0.95,0.47,1.09,0.38,0.75,5.47,0.24,0.00,0.00,0.31,0.69,0.83,-0.01,-0.46,1.99,-2.53,1.68,1.31,1.21,-0.04,0.43,-0.45,0.91,0.63,-0.03,0.05,-0.15,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.89,1.69,0.92,0.25,3.75,0.05,7.41,-0.06,-0.11,-0.08,-0.22,10.70,
frc2197,12.15,14.22,0.00,3.88,0.07,0.75,0.41,1.51,1.75,0.67,0.88,0.91,1.88,0.04,0.00,0.00,0.83,-0.09,0.43,-0.13,0.39,1.30,-3.69,1.68,2.01,1.86,4.70,0.68,0.45,0.33,0.98,-0.19,0.20,-0.25,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.14,0.76,0.21,3.88,-0.06,7.88,-0.03,0.33,-0.09,0.34,12.15,
frc1529,10.31,18.01,0.00,3.87,0.25,-0.18,-0.30,0.99,1.34,0.17,-0.26,-0.10,-0.91,0.08,0.00,0.00,0.47,0.27,1.21,0.25,2.26,1.38,2.53,1.19,1.20,2.00,3.71,0.82,-0.61,0.37,-0.42,0.67,0.22,0.05,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.32,1.58,-0.05,3.87,0.22,4.18,0.03,0.19,0.33,0.39,10.31,
frc3176,20.20,10.48,0.00,4.21,0.54,1.11,1.34,2.91,1.81,1.08,2.05,1.58,6.89,-0.42,0.00,0.00,1.48,1.13,0.06,0.18,1.16,2.11,1.07,1.36,1.93,1.81,5.83,0.09,1.47,0.55,1.45,-0.25,0.33,-0.08,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.48,1.34,0.95,4.21,0.10,14.83,-0.13,0.11,0.02,-0.01,20.20,
frc3947,20.32,11.88,0.00,5.63,1.14,0.84,1.60,0.94,0.75,2.43,2.39,2.61,8.10,-0.13,0.00,0.00,2.03,1.59,1.97,0.03,0.24,5.17,6.71,1.33,1.90,1.74,1.19,-0.26,0.93,0.31,0.53,-0.44,-0.16,-0.42,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.51,2.19,1.99,0.88,5.63,-0.03,14.46,-0.18,-0.01,-0.20,0.18,20.32,
