MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019inwla_qm1,blue,frc2171,frc2909,frc2197,43,55,0,15,2,2,5,2,2,5,2,2,6,0,0,0,3,3,3,0,3,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,25,0,0,0,0,43
2019inwla_qm1,red,frc1747,frc3940,frc3487,55,43,0,12,5,2,2,0,0,5,5,5,18,0,0,0,3,12,0,1,0,15,30,5,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,3,3,12,0,43,0,2,2,0,55
2019inwla_qm10,blue,frc5188,frc7457,frc6956,44,54,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,3,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,32,0,0,0,0,44
2019inwla_qm10,red,frc5402,frc2171,frc3494,54,44,0,15,2,2,5,0,0,5,2,2,12,0,0,0,3,3,6,0,9,12,0,5,5,5,6,0,5,0,0,0,5,0,0,2,2,2,2,2,2,3,6,6,2,15,0,30,0,2,0,0,54
2019inwla_qm11,blue,frc4485,frc7657,frc1646,56,72,0,12,5,5,5,0,0,5,5,5,21,0,0,0,3,3,3,0,10,9,0,3,5,5,4,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,34,0,0,0,0,56
2019inwla_qm11,red,frc868,frc4103,frc7617,72,56,0,9,5,5,5,5,0,5,5,5,33,0,0,0,12,3,3,0,0,18,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,1,63,0,2,0,0,72
2019inwla_qm12,blue,frc7198,frc45,frc4008,54,38,0,12,5,2,5,5,5,5,5,5,21,0,0,0,6,3,0,0,6,9,0,5,5,0,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,36,0,0,0,0,54
2019inwla_qm12,red,frc5944,frc7477,frc5403,38,54,0,15,2,2,2,0,5,5,5,5,12,0,0,0,3,3,3,2,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,23,0,0,0,0,38
2019inwla_qm13,blue,frc2909,frc3940,frc6498,67,47,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,0,18,30,3,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,58,0,0,0,0,67
2019inwla_qm13,red,frc3936,frc135,frc4926,47,67,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,6,0,0,0,6,0,5,5,5,8,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,32,0,0,0,0,47
2019inwla_qm14,blue,frc1018,frc2197,frc5484,75,48,0,15,2,5,5,0,0,2,2,2,24,30,30,0,6,12,6,0,0,24,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,60,5,0,5,0,75
2019inwla_qm14,red,frc7657,frc4103,frc5188,48,75,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,36,0,0,0,0,48
2019inwla_qm15,blue,frc5403,frc5010,frc45,59,81,0,15,5,5,5,5,0,5,5,5,27,0,0,0,3,3,3,3,0,9,0,5,5,5,8,0,0,0,5,0,2,0,5,2,2,2,2,2,2,6,3,6,0,15,0,44,0,0,0,0,59
2019inwla_qm15,red,frc7457,frc2171,frc71,81,59,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,9,18,30,5,5,5,12,5,2,5,0,0,2,0,0,2,2,2,2,2,2,3,6,3,3,12,0,60,0,0,0,0,81
2019inwla_qm16,blue,frc135,frc3147,frc7617,68,68,0,12,5,5,5,0,0,5,5,2,24,0,0,0,12,6,6,0,0,24,30,5,5,3,8,2,5,5,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,56,0,0,0,0,68
