Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2171,16.37,22.79,0.00,5.24,1.32,1.05,1.86,0.13,-0.07,1.80,1.15,0.70,4.43,-0.67,-0.47,-0.20,2.51,-0.40,0.75,0.04,2.22,2.99,-0.30,1.90,1.69,1.64,1.49,0.53,1.20,0.12,0.34,-0.64,1.18,-0.55,0.56,0.67,0.67,0.67,0.67,0.67,0.67,1.84,0.89,2.63,-0.09,5.24,0.08,8.91,-0.27,0.15,-0.29,-0.05,16.37,
frc2909,13.50,16.94,0.00,4.03,1.62,1.12,1.50,1.34,1.71,2.02,1.66,1.74,5.95,-0.99,-0.81,-0.18,0.07,1.61,0.72,0.51,-1.20,2.47,0.13,1.63,1.84,1.59,2.25,-0.43,0.55,-0.30,0.18,-0.12,0.46,-0.50,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.35,1.75,0.95,-0.06,4.03,0.04,10.67,-0.40,-0.12,-0.44,0.12,13.50,
frc2197,21.05,19.44,0.00,4.99,1.27,0.96,1.38,0.55,0.94,1.59,1.40,1.01,4.94,2.21,2.20,0.00,0.81,3.74,2.19,-0.17,1.25,6.23,10.18,1.31,1.41,1.88,3.63,0.89,0.84,1.00,0.90,0.40,-0.73,0.38,-0.63,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.27,2.09,0.59,4.99,-0.04,14.81,0.34,-0.10,0.31,-0.13,21.05,
frc1747,25.97,17.10,0.00,2.79,1.55,1.35,1.05,0.34,0.30,1.25,1.78,1.56,11.85,1.14,-1.31,2.46,0.15,0.67,0.94,-0.16,1.23,1.52,-4.31,1.19,1.28,1.66,8.57,1.20,2.12,1.17,2.59,0.94,1.74,1.09,1.41,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.78,0.99,0.53,2.79,0.14,21.95,0.38,1.42,0.08,1.28,25.97,
frc3940,24.06,20.21,0.00,3.20,1.81,1.26,1.12,1.37,1.76,1.43,2.14,1.55,8.11,0.11,-0.01,0.12,2.73,3.04,2.49,-0.11,0.42,8.35,20.22,1.50,1.67,1.61,3.97,-0.10,1.20,0.08,1.38,-0.08,0.14,-0.29,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.55,1.58,1.16,3.20,0.03,20.43,0.28,0.01,0.49,-0.24,24.06,
frc3487,21.84,21.54,0.00,4.39,1.34,1.57,1.36,1.57,1.61,1.87,1.35,1.15,8.68,-1.96,-1.58,-0.38,1.95,1.03,0.01,-0.15,0.31,3.13,3.13,1.74,1.94,1.79,5.33,1.48,1.42,1.46,1.29,0.20,0.13,-0.17,0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.63,1.81,1.31,0.37,4.39,-0.02,17.14,-0.27,-0.13,0.19,-0.01,21.84,
frc5188,12.14,24.15,0.00,3.06,1.34,1.12,1.53,-0.14,1.16,1.20,1.11,1.76,5.06,-1.41,-1.45,0.04,1.92,0.60,0.09,0.53,-0.69,2.68,5.12,1.85,1.40,1.53,2.02,0.53,-0.47,0.50,-0.05,0.69,0.12,0.91,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.33,1.45,0.22,3.06,0.14,9.77,-0.24,0.35,-0.20,0.59,12.14,
frc7457,27.98,19.91,0.00,4.19,1.41,1.50,1.98,2.13,2.55,1.51,1.85,1.86,10.43,1.31,1.43,-0.12,3.19,3.63,1.77,0.39,0.19,8.71,18.74,1.29,1.93,1.58,4.46,1.28,0.67,1.33,0.12,0.08,0.17,0.22,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.30,1.90,1.27,4.19,-0.01,23.60,0.16,-0.01,0.15,-0.16,27.98,
frc6956,18.15,17.44,0.00,5.47,2.44,2.14,2.21,1.09,2.13,2.10,1.85,1.37,10.56,1.35,1.84,-0.49,0.52,1.70,0.62,0.42,-1.76,2.86,1.28,1.51,1.83,1.82,1.02,0.54,0.27,0.12,-0.01,0.22,-0.25,0.10,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.54,2.14,0.30,5.47,-0.04,14.44,0.28,-0.32,0.14,-0.33,18.15,
frc5402,21.62,19.96,0.00,5.67,1.13,1.61,1.75,-0.55,0.56,1.25,0.96,0.59,6.84,-0.82,-0.87,0.05,0.40,0.06,1.47,-0.04,1.95,2.03,-2.57,1.80,1.67,1.71,5.13,0.63,1.77,0.70,1.35,0.33,0.96,0.36,0.86,0.67,0.67,0.67,0.67,0.67,0.67,1.46,2.47,1.38,0.39,5.67,-0.01,14.00,0.50,0.44,0.47,0.12,21.62,
frc3494,13.75,13.80,0.00,3.96,0.73,1.07,0.98,0.51,0.62,1.55,1.19,1.53,4.53,-1.11,-0.96,-0.15,0.05,0.56,3.28,0.65,0.23,3.86,2.54,1.41,1.38,1.69,1.16,0.26,1.27,0.12,0.20,-0.57,0.63,-0.56,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.95,1.87,0.59,3.96,-0.05,9.55,-0.17,0.40,-0.14,0.04,13.75,
frc4485,12.03,21.33,0.00,2.33,0.86,1.04,1.34,1.03,1.51,1.07,0.81,0.89,3.72,1.85,-0.64,2.49,-0.21,0.80,2.11,0.02,1.79,2.85,2.10,1.14,1.37,1.26,1.35,-0.58,0.14,-0.71,0.55,-0.40,0.61,-0.37,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.43,0.97,1.38,0.09,2.33,-0.01,7.92,-0.25,0.48,-0.21,0.36,12.03,
frc7657,16.24,24.25,0.00,5.05,1.86,1.83,1.22,-0.12,-0.21,2.01,2.02,1.65,7.00,-0.82,-0.64,-0.18,0.12,0.58,2.19,-0.14,0.95,2.96,-0.96,1.53,1.84,1.66,0.28,-0.18,0.87,0.02,0.22,-0.35,0.23,-0.36,0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.61,1.82,1.52,-0.24,5.05,-0.03,10.24,-0.05,-0.20,0.21,-0.05,16.24,
frc1646,26.62,17.36,0.00,4.71,1.91,1.81,1.68,0.39,-0.11,2.08,2.15,1.96,12.74,-1.21,-1.11,-0.11,1.55,2.05,-1.06,0.07,2.48,2.59,-2.35,1.45,1.90,1.61,4.10,2.16,1.67,2.10,2.11,0.18,0.20,0.17,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.84,1.63,1.96,0.38,4.71,-0.00,19.43,-0.09,0.21,-0.10,0.16,26.62,
frc868,26.55,17.78,0.00,3.52,0.93,1.36,1.25,1.60,-0.78,1.78,1.21,1.79,9.98,1.98,2.35,-0.37,3.79,1.91,1.01,0.26,0.25,6.77,12.55,2.01,1.73,1.38,6.04,1.52,1.25,1.49,0.47,0.94,1.21,1.32,1.37,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.50,1.29,1.41,3.52,0.05,22.79,0.70,0.53,0.50,-0.07,26.55,
frc4103,27.47,17.13,0.00,4.21,1.40,1.71,1.67,2.53,2.50,1.74,1.78,1.75,13.21,-0.33,-0.36,0.03,2.11,0.91,1.24,-0.12,0.29,4.34,6.31,1.94,1.80,1.79,5.43,1.32,1.56,1.51,1.84,0.89,0.42,0.64,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.66,0.51,0.89,0.96,4.21,0.06,22.97,0.13,-0.11,-0.26,-0.09,27.47,
frc7617,17.89,24.62,0.00,3.18,1.48,1.70,1.56,-0.06,1.12,1.66,1.47,1.10,6.76,-2.04,-2.11,0.07,2.86,0.66,2.63,0.11,0.65,6.27,9.17,1.22,1.72,1.59,1.03,0.03,1.30,-0.16,0.65,-0.85,0.29,-0.77,0.65,0.67,0.67,0.67,0.67,0.67,0.67,0.54,1.59,1.25,0.18,3.18,0.17,14.06,-0.11,0.01,-0.06,-0.18,17.89,
frc7198,18.82,19.72,0.00,4.86,1.57,1.37,1.41,1.76,2.48,1.73,1.65,2.00,7.47,0.62,0.79,-0.16,3.20,1.56,1.50,0.04,-0.97,5.94,6.95,2.02,1.40,1.17,1.51,-0.47,-0.03,-0.70,-0.28,-0.07,0.35,-0.08,0.27,0.67,0.67,0.67,0.67,0.67,0.67,2.38,1.42,1.45,0.29,4.86,-0.05,14.92,0.01,0.17,0.04,0.17,18.82,
frc45,19.12,14.39,0.00,5.30,1.72,1.34,1.41,2.16,-0.45,1.96,2.16,1.79,6.74,-1.59,-1.38,-0.21,1.87,0.05,1.57,0.12,1.06,3.55,1.90,1.89,1.63,1.28,2.47,0.51,0.61,0.39,0.90,-0.20,-0.01,-0.02,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.65,1.38,1.40,0.80,5.30,0.06,12.76,-0.04,-0.27,-0.11,-0.21,19.12,
frc4008,11.25,25.86,0.00,3.63,1.21,0.69,1.66,0.71,0.27,1.55,1.95,2.22,5.25,-2.11,-1.94,-0.17,0.04,1.31,-0.65,-0.36,1.66,0.44,-0.41,1.09,1.20,1.38,0.26,-0.37,0.45,-0.31,0.40,-0.64,0.20,-0.69,0.36,0.67,0.67,0.67,0.67,0.67,0.67,0.56,1.64,1.88,-0.33,3.63,0.14,5.96,-0.45,-0.21,-0.45,-0.22,11.25,
frc5944,12.25,21.52,0.00,4.37,0.59,0.50,0.13,1.05,2.21,-0.04,0.13,-0.16,1.06,2.12,2.02,0.10,0.45,0.53,1.38,0.28,-0.61,2.46,0.72,1.99,1.46,1.84,4.97,0.32,0.24,0.41,-0.13,-0.18,0.38,-0.17,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.48,0.95,0.31,4.37,-0.03,8.49,0.10,0.01,0.04,0.17,12.25,
frc7477,7.09,21.27,0.00,2.61,0.99,1.21,1.10,0.59,0.98,1.90,2.13,1.55,4.29,-1.92,-1.46,-0.46,0.69,-0.19,0.71,0.34,0.07,0.77,-4.69,0.93,0.93,1.44,-0.65,-0.05,-0.26,-0.42,0.14,-0.46,-0.27,-0.30,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.41,1.51,2.10,-0.54,2.61,-0.02,4.41,-0.50,0.18,-0.51,0.16,7.09,
frc5403,14.31,21.46,0.00,2.79,1.67,2.00,1.87,1.38,1.07,1.37,1.67,1.59,9.26,-0.88,-0.71,-0.18,0.79,-0.53,0.60,0.73,-0.34,1.03,-0.61,1.78,1.34,1.21,1.57,0.48,0.00,0.19,1.22,-0.04,0.17,0.15,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.17,0.99,1.46,0.01,2.79,-0.04,11.86,0.06,-0.18,0.62,-0.02,14.31,
frc6498,19.58,22.61,0.00,4.52,1.92,2.16,2.20,0.88,1.33,2.11,1.08,1.17,8.33,2.10,2.35,-0.25,1.54,1.93,1.57,0.57,-0.47,4.92,1.18,1.23,1.74,1.85,2.29,0.32,0.04,0.12,0.34,0.44,-0.11,0.44,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.75,0.54,2.33,0.25,4.52,0.22,15.54,0.23,-0.03,0.21,-0.04,19.58,
frc3936,10.44,21.35,0.00,5.22,1.06,1.74,1.76,-0.13,-0.11,1.38,0.89,1.26,4.46,4.72,2.17,2.55,0.47,-0.12,0.95,0.93,-0.59,1.42,-2.72,1.47,1.43,1.64,-0.08,-0.86,-0.01,-0.67,-0.31,-0.15,0.39,0.05,0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.26,1.89,0.31,5.22,0.06,5.81,0.23,0.59,0.19,0.60,10.44,
frc135,28.34,20.38,0.00,5.39,1.70,1.94,1.42,0.80,0.71,1.16,1.66,1.35,12.16,4.10,4.38,-0.28,2.18,2.81,0.57,0.22,-0.22,5.51,10.54,1.78,1.65,1.59,5.50,2.38,0.45,3.15,0.25,1.96,-0.20,1.76,-0.49,0.67,0.67,0.67,0.67,0.67,0.67,2.51,1.89,1.02,1.12,5.39,-0.05,23.17,1.04,-0.07,1.03,0.01,28.34,
frc4926,18.39,21.99,0.00,2.33,1.44,0.90,1.50,1.60,1.23,1.13,1.38,0.68,5.93,-2.13,-1.98,-0.15,1.60,2.34,1.18,-0.05,0.84,5.11,11.05,1.38,1.61,1.57,4.18,0.84,0.44,1.09,0.67,0.38,-0.14,0.57,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,0.59,1.46,1.27,0.52,2.33,0.07,15.22,0.07,-0.17,0.13,-0.27,18.39,
frc1018,17.41,18.02,0.00,3.49,0.63,0.77,1.55,0.56,0.74,1.03,0.94,1.01,6.69,2.09,2.50,-0.41,1.20,2.10,0.81,0.12,-0.61,4.14,9.20,1.55,1.52,1.25,3.69,-0.03,0.35,0.39,0.97,0.08,0.94,-0.07,1.07,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.51,2.06,0.89,3.49,-0.05,14.52,0.74,0.95,0.92,1.03,17.41,
frc5484,24.55,14.19,0.00,6.28,-0.49,0.68,0.85,0.33,-1.32,0.54,1.03,1.02,8.07,4.64,4.60,0.04,0.53,1.86,1.40,0.05,0.78,3.90,0.99,2.01,1.83,1.81,5.53,1.17,0.85,0.72,-0.15,1.81,2.12,2.07,2.13,0.67,0.67,0.67,0.67,0.67,0.67,2.01,0.91,2.27,0.83,6.28,0.06,17.50,1.58,0.54,1.79,0.95,24.55,
frc5010,21.44,15.13,0.00,4.55,1.46,1.73,1.77,1.19,0.96,1.48,1.06,1.71,9.86,1.74,1.47,0.27,0.98,-0.28,1.88,-0.01,0.96,2.62,-0.02,1.69,1.79,1.84,3.44,0.08,0.96,0.14,1.61,0.45,0.98,0.17,1.43,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.52,1.15,0.55,4.55,-0.04,15.92,0.02,0.07,0.02,-0.04,21.44,
frc71,31.53,16.30,0.00,3.17,2.03,2.29,1.47,3.06,2.85,1.33,2.00,1.96,12.06,0.16,0.51,-0.35,2.40,1.51,4.53,-0.09,2.91,8.59,13.59,2.18,1.29,1.83,4.79,0.49,0.57,0.36,0.70,1.08,-0.18,0.69,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.51,0.22,0.48,1.48,3.17,-0.05,25.44,0.13,-0.31,0.16,0.16,31.53,
frc3147,11.43,14.34,0.00,4.68,1.62,1.20,1.60,0.10,-1.10,1.78,1.60,0.76,2.23,-0.95,-1.19,0.24,2.31,2.40,0.02,-0.05,0.44,4.76,3.42,1.75,1.87,1.16,-0.67,-0.17,-0.40,0.03,-0.33,-0.11,-0.38,-0.09,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.87,2.05,1.45,0.52,4.68,-0.02,6.32,0.05,-0.14,-0.19,0.01,11.43,
