MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019iscmp_qm1,blue,frc5291,frc3388,frc5635,65,46,0,12,2,5,5,5,5,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,53,0,0,0,0,65
2019iscmp_qm1,red,frc5614,frc3034,frc1574,46,65,0,9,2,5,5,0,0,2,2,2,21,0,0,0,0,3,3,0,0,6,0,5,3,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,0,9,0,37,0,0,5,0,46
2019iscmp_qm10,blue,frc5554,frc5038,frc7845,80,41,0,12,5,5,0,5,5,5,5,5,30,0,0,0,12,6,3,0,3,21,30,5,5,5,14,5,0,2,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,65,0,0,2,0,80
2019iscmp_qm10,red,frc2230,frc6741,frc7112,41,80,0,12,2,2,5,5,0,5,5,5,15,0,0,0,3,0,3,1,0,6,0,5,5,5,8,0,2,2,0,0,2,0,0,2,2,2,2,2,2,6,3,3,0,12,0,29,0,0,0,0,41
2019iscmp_qm11,blue,frc5951,frc7177,frc2630,58,74,0,12,5,5,5,2,5,5,5,5,21,0,0,0,6,6,3,0,0,15,30,5,5,5,10,2,0,2,0,0,0,0,2,2,2,2,2,2,2,6,3,3,1,12,0,46,0,0,0,0,58
2019iscmp_qm11,red,frc3034,frc3065,frc2212,74,58,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,6,0,0,0,9,0,5,5,5,14,5,5,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,59,0,0,0,0,74
2019iscmp_qm12,blue,frc4784,frc3211,frc7039,52,21,0,12,5,0,2,0,0,2,2,2,6,0,0,0,6,3,12,1,3,21,30,5,5,5,10,0,5,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,3,12,0,37,0,0,0,2,52
2019iscmp_qm12,red,frc7554,frc1937,frc6736,21,52,0,6,2,2,2,0,0,2,2,2,0,0,0,0,6,0,6,1,3,12,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,12,0,0,0,0,21
2019iscmp_qm13,blue,frc5135,frc1690,frc5654,50,55,0,12,5,5,5,0,0,2,5,5,15,0,0,0,3,12,3,3,3,18,30,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,35,0,0,0,0,50
2019iscmp_qm13,red,frc6740,frc6104,frc1657,55,50,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,0,1,9,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,0,0,0,55
