Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5291,18.21,20.64,0.00,5.88,0.78,1.00,0.98,0.75,1.17,1.49,1.45,1.09,4.40,-4.48,-1.97,-0.73,0.89,1.16,2.67,0.24,1.06,4.84,6.21,1.31,1.88,1.80,2.03,0.11,0.09,-0.65,-0.01,0.44,0.07,1.05,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.89,2.12,1.69,0.50,5.88,0.02,11.27,0.35,-0.18,0.19,0.02,18.21,
frc3388,23.32,18.27,0.00,3.05,0.54,1.20,2.18,1.25,1.72,1.64,1.18,1.68,10.06,5.83,3.36,-0.18,1.27,2.42,2.28,-0.24,-0.12,5.97,12.33,1.70,1.60,1.82,4.35,0.39,1.72,0.64,1.57,0.36,0.27,0.13,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.00,1.02,1.00,3.05,0.07,20.39,0.48,0.63,0.45,0.31,23.32,
frc5635,17.76,21.23,0.00,3.12,1.07,1.94,2.00,0.98,1.50,1.81,1.75,0.85,5.18,-1.23,-0.19,-0.32,1.80,1.43,1.06,0.38,1.60,4.32,6.81,1.69,1.75,1.49,3.55,0.40,0.59,-0.43,1.66,-0.58,0.13,-0.55,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.41,0.81,0.64,3.12,0.05,13.05,-0.24,0.04,-0.24,0.17,17.76,
frc5614,19.36,22.63,0.00,4.72,1.26,1.90,2.06,-0.22,-0.61,1.63,1.31,1.38,7.70,5.81,1.37,-0.32,0.14,1.50,-0.63,-0.57,3.41,0.70,-1.28,1.30,1.43,1.68,2.83,0.98,-0.41,0.88,-0.16,1.91,0.06,1.96,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.12,2.50,1.83,0.34,4.72,0.06,11.23,0.43,-0.33,1.06,-0.10,19.36,
frc3034,19.88,23.38,0.00,5.71,0.81,1.57,1.71,0.31,1.76,1.48,1.16,1.15,7.48,-1.63,-2.10,1.71,2.68,1.58,0.50,0.45,-1.23,4.81,6.17,1.74,1.54,1.78,3.12,0.40,0.94,0.22,0.35,0.64,0.53,0.97,0.62,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.86,2.34,0.54,5.71,0.01,15.40,-0.33,0.17,0.06,0.25,19.88,
frc1574,20.45,12.80,0.00,2.32,0.61,1.16,0.35,1.76,1.82,0.61,1.15,1.71,7.89,-1.90,-1.67,1.52,-0.04,3.65,2.34,-0.08,-0.02,6.01,7.02,1.63,1.47,1.69,4.25,-0.31,1.76,-0.66,2.50,0.19,0.99,0.24,0.95,0.67,0.67,0.67,0.67,0.67,0.67,1.22,0.58,1.24,0.87,2.32,-0.02,18.15,-0.37,0.42,0.15,0.26,20.45,
frc5554,25.70,27.11,0.00,3.26,1.69,1.43,1.61,1.85,1.11,1.24,1.80,2.10,11.10,6.10,2.00,-0.36,1.43,1.16,2.45,-0.18,0.85,5.04,4.36,1.69,1.69,1.64,5.45,2.07,1.04,1.46,0.61,0.49,0.13,1.19,0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.89,1.51,0.37,3.26,0.01,21.59,0.17,-0.21,0.55,-0.19,25.70,
frc5038,22.09,23.56,0.00,3.39,1.28,1.07,0.78,2.21,2.29,1.14,1.43,0.96,6.85,-1.98,0.34,-0.77,3.05,1.46,2.69,0.92,-1.39,7.16,11.04,1.68,1.66,1.73,6.08,1.50,0.00,1.85,0.89,0.51,-0.09,0.18,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.45,0.32,1.42,0.57,3.39,0.05,20.09,0.04,0.21,0.42,0.40,22.09,
frc7845,17.97,17.96,0.00,5.39,1.67,1.71,0.12,1.52,-0.31,1.66,1.24,1.52,6.28,-2.39,-0.35,-0.04,3.25,1.84,-0.67,0.22,1.20,4.41,4.06,1.69,1.62,1.73,0.69,0.28,-0.49,-0.50,-0.60,1.03,-0.25,1.07,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,2.12,2.16,1.14,0.62,5.39,0.01,11.38,0.07,0.10,0.34,0.07,17.97,
frc2230,14.80,21.04,0.00,4.57,1.12,1.47,1.89,3.04,1.48,1.88,1.41,1.35,5.77,-3.82,-1.18,-1.65,0.19,-0.40,2.53,-0.18,-0.07,2.31,1.86,1.78,1.45,1.20,2.21,0.23,0.36,-0.23,0.88,-0.49,-0.22,-0.37,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.97,1.94,0.65,-0.01,4.57,-0.00,10.29,-0.35,-0.39,-0.39,-0.37,14.80,
