MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019isde2_qm1,blue,frc5038,frc4744,frc3835,28,42,0,12,2,5,2,0,0,2,5,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,16,0,0,0,0,28
2019isde2_qm1,red,frc3316,frc2096,frc3388,42,28,0,9,5,5,5,0,0,5,5,5,24,0,0,0,0,3,0,0,0,3,0,5,5,5,6,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,3,3,2,9,0,33,0,2,0,0,42
2019isde2_qm10,blue,frc5990,frc1573,frc1942,27,50,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,0,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,15,0,0,0,0,27
2019isde2_qm10,red,frc5951,frc5654,frc2630,50,27,0,12,5,5,5,0,5,5,5,5,21,0,0,0,12,3,0,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,38,0,0,0,0,50
2019isde2_qm11,blue,frc6104,frc3075,frc2096,41,36,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,26,0,0,0,0,41
2019isde2_qm11,red,frc1954,frc3835,frc2231,36,41,0,9,2,2,2,0,0,5,5,2,12,0,0,0,3,3,3,0,0,9,0,3,5,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,9,0,27,0,0,0,0,36
2019isde2_qm12,blue,frc5928,frc5951,frc4784,29,29,0,15,2,2,5,5,0,2,5,2,9,0,0,0,3,0,0,0,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,14,0,0,0,0,29
2019isde2_qm12,red,frc3316,frc4320,frc5715,29,29,0,6,5,5,5,0,0,5,2,5,15,0,0,0,0,3,3,0,0,6,0,5,5,3,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,1,6,0,23,0,0,0,0,29
2019isde2_qm13,blue,frc3388,frc5038,frc4586,45,28,0,9,5,5,5,0,0,5,2,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,5,5,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,36,0,0,0,0,45
2019isde2_qm13,red,frc3075,frc5614,frc5635,28,45,0,9,2,5,5,0,0,2,2,2,9,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,0,2,0,0,2,0,2,2,2,2,2,2,2,3,3,3,0,9,0,19,0,5,0,0,28
2019isde2_qm14,blue,frc7079,frc6104,frc1943,74,43,0,15,5,5,5,5,5,5,5,5,30,0,0,0,12,3,6,0,0,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,59,0,0,0,0,74
2019isde2_qm14,red,frc4744,frc2630,frc3316,43,74,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,31,0,0,0,0,43
2019isde2_qm15,blue,frc1954,frc4319,frc5990,15,30,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,0,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,0,6,0,9,0,0,0,0,15
