Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5038,17.76,11.01,0.00,4.12,1.24,1.56,1.26,1.04,0.98,1.74,1.17,0.50,5.56,2.38,0.00,0.00,0.45,0.10,3.37,0.18,0.95,3.97,1.45,1.88,1.71,1.92,3.16,0.54,1.35,0.97,1.08,-0.26,-0.13,-0.13,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.43,1.38,0.94,4.12,0.07,12.69,-0.09,-0.06,-0.02,-0.04,17.76,
frc4744,15.06,24.96,0.00,4.04,2.09,1.98,1.57,2.80,1.23,1.17,2.10,1.79,8.15,-0.55,0.00,0.00,1.05,0.13,1.08,-0.10,-0.95,2.22,-2.89,1.32,1.59,1.62,1.59,0.25,-0.22,0.45,-0.05,-0.24,-0.18,-0.16,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.39,2.14,1.46,-0.27,4.04,0.15,11.96,-0.02,-0.12,-0.02,-0.01,15.06,
frc3835,13.73,18.44,0.00,2.98,0.41,1.01,1.45,0.10,-0.63,1.74,1.82,0.83,4.45,-0.18,0.00,0.00,2.16,0.64,1.49,0.41,0.19,4.28,4.46,1.56,1.57,1.90,1.82,1.28,0.15,1.46,-0.50,0.41,0.06,0.39,0.47,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.16,1.12,0.19,2.98,-0.02,10.56,-0.01,0.15,-0.01,0.01,13.73,
frc3316,15.96,10.11,0.00,4.92,2.25,2.21,2.42,-1.30,-0.24,1.98,0.89,1.63,6.90,0.06,0.00,0.00,1.07,0.48,1.25,0.22,0.70,2.90,3.99,1.90,1.90,1.75,0.55,-0.33,0.44,-0.61,0.08,0.44,0.73,-0.06,1.15,0.67,0.67,0.67,0.67,0.67,0.67,1.30,0.81,1.87,0.96,4.92,-0.03,10.34,-0.05,0.09,-0.02,0.00,15.96,
frc2096,12.79,12.91,0.00,5.93,0.64,1.35,2.33,0.26,-0.48,1.68,1.63,1.77,4.77,-0.31,0.00,0.00,0.48,0.97,0.92,0.54,-0.10,2.40,-1.80,1.75,1.95,1.69,-0.21,0.05,-0.43,-0.38,-0.44,-0.19,0.35,-0.04,0.56,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.75,2.28,0.58,5.93,0.05,6.96,-0.03,0.15,0.01,-0.01,12.79,
frc3388,16.46,11.44,0.00,3.02,1.72,1.59,1.64,0.29,0.29,1.92,1.60,1.61,8.37,-0.83,0.00,0.00,0.22,1.35,-0.05,-0.39,1.82,1.02,1.77,1.37,1.95,1.30,2.23,0.46,0.88,1.12,0.70,0.02,0.26,0.04,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.08,0.52,0.54,3.02,0.07,11.62,0.01,0.12,-0.03,0.01,16.46,
frc5990,12.68,15.95,0.00,3.82,1.04,1.49,1.69,1.36,0.53,1.35,1.15,0.85,4.72,-0.49,0.00,0.00,0.44,0.90,0.72,0.70,-0.03,2.15,0.35,1.68,1.60,1.40,2.02,0.06,0.12,0.55,0.12,-0.05,-0.14,-0.17,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.13,0.70,0.08,3.82,-0.06,8.89,0.02,0.20,-0.04,0.00,12.68,
frc1573,13.22,17.40,0.00,5.18,1.46,1.36,0.62,0.30,-0.28,0.44,1.62,1.50,2.73,-0.75,0.00,0.00,0.26,0.93,1.28,0.70,3.19,2.51,1.20,1.59,1.71,1.72,-0.39,0.02,-0.27,-0.90,0.20,0.08,-0.07,-0.06,0.08,0.67,0.67,0.67,0.67,0.67,0.67,2.07,1.76,1.88,0.49,5.18,-0.01,4.85,-0.05,-0.02,-0.01,-0.01,13.22,
frc1942,16.56,18.92,0.00,1.53,2.34,1.80,1.70,-0.48,-0.21,1.89,1.37,1.74,7.34,2.43,0.00,0.00,1.41,3.58,1.56,0.37,1.35,6.58,11.04,1.19,1.38,1.44,-0.25,0.45,-0.35,0.47,-0.05,0.01,0.37,0.01,0.43,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.39,0.82,0.41,1.53,-0.00,13.68,-0.07,-0.07,-0.01,0.00,16.56,
frc5951,18.07,13.70,0.00,5.73,1.18,1.40,1.58,1.68,0.79,1.84,2.05,0.89,6.75,-0.67,0.00,0.00,1.16,1.43,1.99,0.11,-0.67,4.55,1.02,1.79,1.80,1.51,1.71,0.43,0.17,0.84,0.18,-0.26,0.00,-0.20,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.98,2.37,0.13,5.73,-0.01,13.01,-0.04,-0.13,-0.01,-0.04,18.07,
frc5654,11.49,3.43,0.00,2.46,0.63,1.34,1.44,-0.17,0.46,1.30,1.01,1.16,3.03,-0.26,0.00,0.00,2.09,2.38,-0.23,-0.41,1.20,4.33,10.66,1.54,1.69,1.59,0.46,-0.42,0.44,-0.32,0.44,0.31,-0.05,0.04,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.30,0.51,0.79,2.46,-0.06,7.82,0.19,0.03,-0.04,-0.01,11.49,
frc2630,14.76,16.50,0.00,3.03,1.50,1.62,2.16,1.41,0.57,1.56,1.70,1.38,7.59,-0.96,0.00,0.00,1.79,0.49,-0.28,0.67,0.32,2.01,1.60,1.79,1.29,1.79,1.82,0.24,0.56,0.02,0.29,0.00,0.25,0.06,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.11,0.47,1.17,0.48,3.03,-0.02,11.41,0.01,-0.15,0.18,-0.01,14.76,
frc6104,23.56,19.50,0.00,5.61,2.07,2.32,2.17,1.80,0.88,2.11,1.85,2.24,9.99,2.00,0.00,0.00,1.34,1.35,0.20,-0.12,3.78,2.92,2.13,1.88,1.56,1.76,1.26,0.64,0.15,-0.17,-0.25,-0.15,0.08,0.08,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,2.04,1.29,2.02,0.65,5.61,-0.00,14.17,-0.04,-0.05,0.03,0.01,23.56,
frc3075,13.08,16.35,0.00,3.37,0.89,1.24,0.90,0.82,0.60,1.17,1.88,1.71,5.12,2.07,0.00,0.00,0.11,1.31,0.47,0.30,0.10,1.99,1.78,1.66,1.86,1.81,2.50,-0.19,0.20,0.29,0.52,-0.17,0.33,-0.10,0.56,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.33,0.55,3.37,-0.06,9.61,-0.01,0.41,-0.02,0.01,13.08,
frc1954,9.66,9.03,0.00,2.34,0.52,1.47,0.59,0.52,1.08,0.99,1.31,0.72,3.81,-0.70,0.00,0.00,0.10,2.40,-0.65,0.04,1.84,1.75,1.79,1.02,1.78,0.93,-0.08,-0.19,-0.00,-0.20,0.12,-0.13,-0.20,0.01,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.47,1.69,1.37,0.12,2.34,-0.02,5.49,-0.02,-0.12,0.01,-0.02,9.66,
frc2231,21.03,14.48,0.00,5.18,0.77,0.63,1.86,1.79,1.53,1.50,1.76,1.52,7.44,-0.33,0.00,0.00,1.19,-0.21,0.85,0.32,2.40,1.82,-4.41,1.52,1.40,1.85,4.19,1.36,0.15,1.26,0.65,0.49,0.09,0.30,0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.19,1.69,0.99,0.71,5.18,-0.02,13.44,0.18,0.12,-0.02,0.18,21.03,
frc5928,12.27,16.80,0.00,2.96,1.05,1.28,1.49,1.79,0.40,1.54,0.92,1.54,4.97,-0.32,0.00,0.00,0.37,1.12,1.18,-0.23,-0.11,2.71,1.88,1.61,1.57,1.60,1.75,0.46,-0.26,-0.01,-0.13,0.55,-0.03,0.16,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.55,0.67,1.29,0.37,2.96,0.14,9.43,-0.01,-0.02,0.01,0.04,12.27,
frc4784,11.38,13.05,0.00,4.67,0.57,0.68,0.28,0.71,1.10,1.45,1.10,1.78,3.24,-0.32,0.00,0.00,0.61,2.31,0.36,0.23,1.39,2.75,6.47,1.14,1.10,1.83,-0.68,0.02,-0.74,0.18,-0.53,-0.08,-0.04,-0.09,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.61,1.92,1.44,0.88,4.67,0.16,5.31,-0.08,-0.14,-0.01,-0.03,11.38,
frc4320,15.58,14.95,0.00,2.03,2.03,1.63,1.86,0.61,1.82,1.77,1.71,1.99,9.27,2.88,0.00,0.00,-0.10,1.28,0.15,0.73,1.86,1.35,-3.38,1.52,1.25,1.71,1.07,0.03,-0.28,1.15,-0.06,0.36,0.13,0.48,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.77,1.54,1.03,0.25,2.03,-0.01,11.69,-0.04,-0.08,-0.03,-0.02,15.58,
frc5715,5.29,13.64,0.00,2.87,1.29,1.62,1.32,0.48,-0.65,1.46,1.23,1.46,2.86,-0.53,0.00,0.00,-0.19,0.23,-0.14,0.25,-0.10,-0.07,-0.63,1.88,0.70,0.94,-0.27,-0.29,-0.02,-0.47,-0.28,-0.15,0.01,-0.07,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.46,0.65,0.98,-0.24,2.87,-0.01,2.53,-0.03,-0.05,0.01,0.01,5.29,
frc4586,16.02,17.79,0.00,3.83,2.17,1.51,1.54,0.29,-0.72,1.99,1.38,1.88,9.36,2.58,0.00,0.00,-0.34,0.47,0.23,0.03,0.12,0.40,-3.06,1.68,1.88,1.82,2.31,1.34,1.02,1.74,0.27,0.36,0.38,0.28,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.58,1.10,0.14,3.83,0.07,12.07,-0.03,-0.05,-0.03,-0.04,16.02,
