Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5614,23.62,17.63,0.00,5.01,1.59,1.26,1.44,1.80,0.78,2.12,1.89,2.22,9.23,2.52,0.15,0.00,3.52,0.82,0.86,0.91,1.15,5.23,6.95,1.81,1.83,1.36,3.00,0.24,1.12,0.45,1.66,-0.06,-0.07,-0.09,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.12,2.33,1.43,0.94,5.01,-0.03,17.47,-0.01,-0.06,-0.06,-0.06,23.62,
frc3835,12.54,15.31,0.00,3.96,2.03,1.55,1.93,-0.06,-0.22,1.79,1.74,1.55,4.93,-0.80,-0.12,0.00,1.48,1.92,1.20,0.88,0.34,4.59,-0.50,1.84,1.96,1.32,-1.29,0.12,-0.73,-0.56,-0.39,-0.21,-0.35,-0.25,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.01,1.82,0.46,0.11,3.96,-0.02,8.24,-0.12,-0.04,-0.18,-0.02,12.54,
frc4649,4.16,12.93,0.00,0.59,2.23,1.97,1.79,-0.42,0.44,1.51,1.13,0.03,4.86,2.33,0.12,0.00,0.39,0.27,-0.95,0.21,-1.11,-0.53,-3.93,0.74,0.84,0.71,0.36,-0.40,-0.09,-0.05,0.32,-0.05,0.23,-0.10,0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.09,0.72,0.44,0.06,0.59,-0.04,4.68,-0.18,0.46,-0.16,0.46,4.16,
frc1574,14.87,17.63,0.00,1.89,1.15,1.02,1.87,0.26,0.15,1.28,1.06,0.25,7.22,2.59,2.74,0.00,0.38,2.83,-0.15,0.51,-1.06,2.80,2.87,1.89,0.92,1.33,4.02,0.81,0.59,1.46,0.34,0.80,0.31,0.80,0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.30,0.47,0.97,0.51,1.89,-0.03,14.04,0.74,0.27,0.67,0.57,14.87,
frc7554,5.31,13.69,0.00,3.77,0.45,1.25,1.12,1.00,-0.35,0.75,1.15,1.32,1.98,-1.69,-0.43,0.00,0.01,0.69,0.10,-0.36,-1.90,0.59,-4.63,1.80,1.43,1.81,0.87,-0.60,0.26,-0.32,0.71,0.03,0.17,0.05,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.16,0.75,-0.54,3.77,-0.00,3.44,-0.10,-0.03,-0.09,-0.06,5.31,
frc3388,18.14,17.84,0.00,2.98,0.98,0.97,1.34,1.23,0.88,1.75,2.21,2.06,6.02,-1.60,-0.45,0.00,1.88,1.68,3.58,0.29,1.03,6.90,13.70,1.58,1.40,1.67,1.22,0.04,0.15,0.29,0.25,-0.03,0.10,-0.23,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.07,0.69,0.67,2.98,0.06,14.14,-0.04,-0.06,-0.23,-0.07,18.14,
frc7112,9.62,15.26,0.00,3.17,1.36,1.63,1.75,0.13,-0.22,1.62,1.27,1.69,4.71,-1.25,-0.21,0.00,0.49,-0.49,1.97,0.39,-0.45,1.93,1.10,1.96,0.98,1.78,0.26,0.11,-0.22,0.19,-0.24,0.14,-0.16,0.14,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.88,0.95,0.38,0.02,3.17,-0.03,6.90,-0.09,-0.02,0.13,0.01,9.62,
frc5747,18.91,18.61,0.00,5.45,1.28,1.18,1.37,-0.07,0.61,1.69,1.65,1.56,4.95,2.32,-0.41,0.00,0.63,1.79,2.12,0.69,2.63,4.57,4.40,1.78,1.65,1.70,1.31,0.12,0.84,-0.19,0.37,-0.22,0.05,-0.22,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.95,1.92,1.99,0.76,5.45,0.08,10.84,-0.12,0.32,-0.15,0.14,18.91,
frc1576,7.70,16.54,0.00,1.63,1.02,1.19,1.14,0.22,-0.90,1.03,1.35,1.08,2.19,-0.65,0.14,0.00,-0.38,2.82,-0.08,-0.02,1.24,2.41,0.49,1.06,1.65,1.54,0.22,0.51,-0.12,0.17,0.16,-0.05,-0.11,-0.04,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.61,0.96,1.26,-0.28,1.63,0.06,4.82,-0.10,-0.08,-0.06,-0.09,7.70,
frc4586,24.75,17.54,0.00,3.53,1.37,1.78,1.85,1.53,1.17,0.74,1.47,1.82,8.43,-0.73,-0.46,0.00,4.36,0.01,2.27,-0.16,1.09,6.40,12.65,2.01,1.20,1.84,5.29,0.39,0.89,0.16,0.73,0.51,0.42,0.53,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.05,1.31,0.67,3.53,-0.01,20.13,0.32,0.07,0.36,0.35,24.75,
frc5654,13.22,23.75,0.00,3.63,0.69,1.31,2.02,0.57,1.43,1.55,1.64,1.09,3.66,-0.77,-0.16,0.00,1.83,0.22,0.30,1.69,2.66,2.44,1.92,1.67,1.98,1.65,0.83,0.09,-0.12,-0.35,-0.08,-0.19,0.02,-0.20,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.11,1.03,-0.03,3.63,-0.03,6.93,-0.19,-0.12,-0.17,-0.13,13.22,
frc5636,20.27,19.38,0.00,4.93,1.44,1.68,1.60,0.06,0.13,1.63,1.46,1.23,4.82,2.37,0.22,0.00,1.84,0.50,0.39,0.59,7.15,2.77,2.22,1.93,1.67,1.68,0.60,0.60,-0.12,0.01,-0.22,0.01,-0.04,0.19,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.34,2.60,1.20,0.29,4.93,0.06,8.18,-0.09,-0.12,0.12,-0.09,20.27,
frc4757,11.87,15.61,0.00,4.83,1.04,1.80,1.12,0.54,0.25,1.39,2.13,1.64,6.37,-0.96,-0.26,0.00,0.13,0.73,-0.50,-0.02,-0.84,0.37,-4.16,1.61,1.84,1.62,1.14,0.28,0.28,0.82,0.15,-0.09,0.50,0.05,0.25,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.26,1.72,0.19,4.83,0.08,7.88,-0.07,-0.09,-0.12,-0.11,11.87,
frc3211,25.65,21.96,0.00,2.57,1.43,0.52,1.38,1.28,0.85,1.43,1.60,1.67,7.24,-1.24,-0.22,0.00,3.13,3.01,2.48,-0.10,3.18,8.65,18.16,1.65,1.89,1.18,4.01,0.55,0.76,0.60,1.32,0.05,0.48,0.02,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.78,0.91,1.29,1.22,2.57,-0.03,19.90,0.58,-0.16,0.54,-0.15,25.65,
frc1943,16.73,15.60,0.00,2.97,-0.07,0.34,0.56,1.94,3.00,1.40,0.41,0.67,3.44,-1.67,-0.53,0.00,2.43,2.35,2.02,-0.06,-1.42,6.79,4.00,1.50,1.97,1.53,4.94,0.43,1.50,0.59,0.53,-0.22,0.06,-0.23,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.25,0.74,1.51,0.40,2.97,0.08,15.18,-0.18,0.63,-0.21,0.62,16.73,
frc6149,10.99,22.08,0.00,3.03,1.32,2.30,2.10,0.13,0.59,1.66,1.06,1.23,4.89,2.10,-0.12,0.00,2.66,0.16,-0.12,1.12,0.91,2.72,2.61,1.70,0.98,1.45,-0.56,0.17,-0.75,0.16,-1.09,0.18,-0.30,0.17,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.75,2.01,0.28,3.03,0.08,7.05,-0.09,-0.12,0.11,-0.09,10.99,
frc2679,11.57,14.80,0.00,2.91,1.32,1.08,1.63,0.80,-0.52,1.18,0.95,1.10,6.21,-0.57,-0.18,0.00,0.77,-0.57,1.93,0.92,-1.80,2.17,5.94,1.47,1.55,1.50,2.08,0.62,0.50,0.75,0.58,0.36,0.24,0.34,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.26,1.37,1.04,2.91,0.09,10.46,0.78,-0.06,0.48,-0.11,11.57,
frc4661,2.54,23.26,0.00,0.97,1.55,0.76,1.09,-0.51,0.53,1.36,1.35,1.04,1.08,-0.57,-0.39,0.00,-0.90,0.11,1.41,0.35,1.10,0.63,3.29,0.61,-0.00,1.55,-1.23,-0.17,-0.75,-0.05,-0.93,-0.05,-0.26,-0.30,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,0.65,0.32,0.78,-0.13,0.97,-0.03,0.48,-0.18,-0.13,-0.20,-0.15,2.54,
frc1657,9.88,10.64,0.00,6.16,1.50,1.74,1.85,-0.22,-0.18,2.09,1.20,1.49,4.93,0.62,0.33,0.00,-0.17,-0.22,1.33,0.24,-1.37,1.00,-5.12,1.35,1.91,1.66,-0.83,0.05,-0.78,0.38,-0.53,0.16,-0.32,0.14,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.69,2.16,1.99,0.03,6.16,-0.03,5.09,-0.01,-0.11,-0.03,-0.09,9.88,
frc2231,27.83,2.57,0.00,6.41,1.91,2.33,1.98,1.27,1.72,1.88,2.20,2.07,12.27,1.94,-0.36,0.00,0.81,2.43,-0.94,-0.11,3.17,2.34,1.08,1.19,1.96,1.79,3.65,1.39,1.44,1.35,0.98,-0.01,0.15,0.01,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.39,1.84,2.53,1.11,6.41,-0.02,18.25,-0.14,-0.07,-0.16,-0.10,27.83,
frc4416,12.97,21.26,0.00,3.84,1.20,0.82,1.50,1.35,-0.94,2.10,1.36,1.07,4.64,-0.59,-0.09,0.00,-0.03,0.42,1.73,1.41,1.64,2.16,1.56,1.90,2.01,1.71,0.69,0.00,0.21,-0.32,0.69,-0.18,-0.06,-0.22,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.11,0.53,-0.16,3.84,0.05,7.49,-0.13,0.11,-0.13,0.08,12.97,
