MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019isde4_qm1,blue,frc6740,frc3316,frc1954,32,37,0,9,5,5,5,0,0,5,2,5,15,0,0,0,0,0,0,0,6,0,0,0,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,17,0,0,0,0,32
2019isde4_qm1,red,frc3083,frc4590,frc6738,37,32,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,0,0,2,0,3,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,22,0,0,0,0,37
2019isde4_qm10,blue,frc3339,frc5928,frc1690,66,36,0,9,5,5,5,5,0,5,2,2,24,0,0,0,12,3,6,0,0,21,30,5,5,5,12,2,0,5,0,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,57,0,2,0,0,66
2019isde4_qm10,red,frc2230,frc6149,frc7845,36,66,0,15,0,0,0,2,5,5,5,2,9,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019isde4_qm11,blue,frc2679,frc1954,frc4590,35,41,0,15,2,2,2,5,2,5,5,2,9,0,0,0,0,3,0,0,0,3,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,20,0,0,0,0,35
2019isde4_qm11,red,frc3316,frc4661,frc1576,41,35,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,29,0,0,0,0,41
2019isde4_qm12,blue,frc7177,frc3065,frc5038,66,48,0,12,5,5,5,5,5,5,5,5,27,0,0,0,6,3,6,0,0,15,30,5,5,5,12,2,5,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,3,12,0,54,0,0,0,0,66
2019isde4_qm12,red,frc4320,frc2096,frc7067,48,66,0,12,5,5,5,0,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,36,0,0,0,0,48
2019isde4_qm13,blue,frc7079,frc7039,frc6104,47,79,0,9,5,5,5,5,0,5,2,2,15,0,0,0,12,6,3,2,0,21,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,38,0,0,0,0,47
2019isde4_qm13,red,frc1690,frc2230,frc5990,79,47,0,12,2,5,5,0,5,2,2,2,27,30,0,30,12,3,3,0,6,18,30,5,5,5,16,0,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,4,12,0,61,0,5,0,5,79
2019isde4_qm14,blue,frc4590,frc4649,frc1576,26,55,0,9,2,2,2,0,0,5,5,5,9,0,0,0,3,0,3,1,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,17,0,0,0,0,26
2019isde4_qm14,red,frc7845,frc6230,frc5715,55,26,0,12,2,5,5,5,0,5,5,5,24,0,0,0,3,3,0,0,3,6,0,5,5,5,10,0,0,0,0,0,5,0,5,2,2,2,2,2,2,6,3,3,2,12,0,40,0,0,0,0,55
2019isde4_qm15,blue,frc5928,frc1942,frc6740,41,74,0,12,5,5,5,0,0,2,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,5,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,29,0,0,0,0,41
2019isde4_qm15,red,frc2096,frc1937,frc2630,74,41,0,12,5,5,5,5,0,5,5,5,30,0,0,0,0,12,6,0,0,18,30,5,5,5,14,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,3,3,12,0,62,2,0,2,0,74
2019isde4_qm16,blue,frc3083,frc4320,frc4661,40,62,0,12,5,5,5,0,0,5,5,5,21,0,0,0,3,0,0,2,0,3,0,5,5,5,4,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,28,0,0,0,0,40
2019isde4_qm16,red,frc5987,frc5635,frc3316,62,40,0,12,5,5,5,0,5,5,5,5,30,0,0,0,3,0,3,0,6,6,0,5,5,5,8,5,5,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,44,0,0,0,0,62
2019isde4_qm17,blue,frc7177,frc1954,frc6168,46,67,0,15,5,5,5,0,0,5,5,5,18,0,0,0,6,0,3,0,0,9,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019isde4_qm17,red,frc5951,frc5038,frc3339,67,46,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,5,5,10,5,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,55,0,0,0,0,67
2019isde4_qm18,blue,frc2679,frc6738,frc5554,68,43,0,15,2,5,5,5,0,5,5,5,30,0,0,0,0,6,3,0,0,9,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,0,53,0,2,0,2,68
2019isde4_qm18,red,frc3065,frc7067,frc6149,43,68,0,12,5,5,5,5,5,2,2,2,15,0,0,0,6,3,3,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,31,0,0,0,0,43
2019isde4_qm19,blue,frc1942,frc2630,frc3083,71,47,0,9,2,2,2,5,5,5,5,5,27,0,0,0,12,6,3,0,0,21,30,5,5,5,14,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,62,0,0,0,0,71
2019isde4_qm19,red,frc6104,frc5715,frc4320,47,71,0,12,5,5,5,0,5,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,35,0,0,0,0,47
2019isde4_qm2,blue,frc4661,frc4649,frc1937,44,50,0,6,5,5,5,2,0,5,5,5,18,0,0,0,3,3,3,1,9,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,29,0,0,0,0,44
2019isde4_qm2,red,frc5554,frc5715,frc7067,50,44,0,6,5,5,5,5,5,5,5,5,27,0,0,0,3,0,3,3,3,6,0,5,0,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,0,3,2,6,0,41,0,0,0,0,50
2019isde4_qm20,blue,frc5038,frc1690,frc1937,74,36,0,9,5,5,5,5,5,5,5,2,24,0,0,0,0,6,12,0,15,18,30,5,5,5,8,2,0,0,0,5,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,50,0,0,0,0,74
2019isde4_qm20,red,frc4661,frc7845,frc7177,36,74,0,15,5,5,0,0,0,5,5,5,15,0,0,0,3,0,3,5,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019isde4_qm21,blue,frc5990,frc5635,frc7079,57,69,0,12,5,5,5,0,5,5,5,2,18,0,0,0,3,3,12,0,3,18,30,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,1,42,0,0,0,0,57
2019isde4_qm21,red,frc3065,frc1954,frc1576,69,57,0,15,5,5,5,0,5,5,5,5,21,0,0,0,6,12,3,1,10,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,44,0,0,0,0,69
2019isde4_qm22,blue,frc6740,frc7067,frc4590,41,55,0,15,2,2,5,0,5,5,5,5,15,0,0,0,3,0,0,1,0,3,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,26,0,0,0,0,41
2019isde4_qm22,red,frc5554,frc5928,frc2230,55,41,0,6,5,5,5,0,5,5,2,2,21,0,0,0,3,0,12,0,3,15,30,5,5,3,10,5,2,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,6,0,46,0,0,0,0,55
2019isde4_qm23,blue,frc3316,frc2679,frc6230,55,37,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,0,0,0,12,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,28,0,0,0,0,55
2019isde4_qm23,red,frc7039,frc4649,frc6168,37,55,0,6,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,4,0,3,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,31,0,0,0,0,37
