MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ksla_qm1,blue,frc4522,frc7513,frc1825,49,49,0,6,5,5,5,5,2,5,2,2,21,0,0,0,0,3,3,2,0,6,0,5,3,5,16,0,0,2,2,2,0,2,0,2,2,2,2,2,2,3,3,3,1,6,0,43,5,0,5,0,49
2019ksla_qm1,red,frc6424,frc1730,frc2457,49,49,0,12,5,5,0,2,5,2,5,5,15,0,0,0,6,3,3,0,6,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,31,0,0,0,0,49
2019ksla_qm10,blue,frc3465,frc6907,frc1764,26,44,0,12,2,2,2,5,0,5,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,14,0,0,0,0,26
2019ksla_qm10,red,frc1730,frc5013,frc4786,44,26,0,15,5,5,5,0,5,5,5,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,29,0,0,0,0,44
2019ksla_qm11,blue,frc3184,frc2560,frc6424,47,56,0,15,2,5,5,0,0,5,5,2,15,0,0,0,0,3,6,1,0,9,0,5,5,5,8,2,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,32,2,0,0,0,47
2019ksla_qm11,red,frc4400,frc935,frc1997,56,47,0,12,5,5,5,5,0,5,5,2,24,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,41,0,0,0,0,56
2019ksla_qm12,blue,frc6359,frc1825,frc2220,40,56,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,3,5,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,31,0,0,0,0,40
2019ksla_qm12,red,frc5801,frc6941,frc2345,56,40,0,9,2,5,5,5,0,5,5,5,24,0,0,0,12,3,3,0,0,15,30,5,5,0,8,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,3,3,9,0,47,0,0,0,0,56
2019ksla_qm13,blue,frc938,frc5013,frc3160,9,51,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,0,6,0,3,0,0,0,0,9
2019ksla_qm13,red,frc4522,frc1827,frc1987,51,9,0,15,2,2,2,0,2,5,5,5,21,0,0,0,3,0,0,0,0,3,0,5,5,5,12,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,36,0,5,0,5,51
