MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019lake_qm1,blue,frc4978,frc5965,frc1421,51,28,0,6,5,5,5,5,5,5,5,2,21,0,0,0,3,3,12,0,0,18,30,3,3,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,6,0,45,0,0,0,0,51
2019lake_qm1,red,frc3937,frc6923,frc6677,28,51,0,3,0,0,2,0,0,2,2,2,12,0,0,0,3,0,0,0,0,3,0,5,3,3,10,0,2,0,0,0,5,0,5,2,2,2,2,2,2,3,3,6,0,3,0,25,0,5,0,5,28
2019lake_qm10,blue,frc456,frc3616,frc3337,77,22,0,9,5,5,0,5,5,0,5,5,18,0,0,0,12,3,0,0,27,15,30,5,5,0,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,0,3,9,0,41,0,0,0,0,77
2019lake_qm10,red,frc7661,frc3468,frc7874,22,77,0,6,0,0,0,0,2,5,0,0,3,0,0,0,3,3,3,9,0,9,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,16,0,0,0,0,22
2019lake_qm11,blue,frc6923,frc7316,frc7562,27,75,0,6,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,21,0,0,0,0,27
2019lake_qm11,red,frc1369,frc3946,frc6025,75,27,0,15,5,5,5,5,5,5,5,5,33,0,0,0,12,0,3,0,0,15,30,5,5,5,12,2,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,60,0,0,0,0,75
2019lake_qm12,blue,frc7648,frc3039,frc5168,49,66,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,6,3,2,0,12,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,40,0,0,0,0,49
2019lake_qm12,red,frc5785,frc1421,frc2992,66,49,0,15,2,2,2,0,5,2,2,2,15,0,0,0,3,3,12,0,6,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,45,0,0,2,0,66
2019lake_qm13,blue,frc7836,frc7474,frc1927,32,44,0,6,2,0,5,2,2,2,0,2,3,0,0,0,3,0,0,0,16,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,10,0,0,0,0,32
2019lake_qm13,red,frc4336,frc5997,frc3753,44,32,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,3,3,2,0,9,0,5,5,3,14,2,0,2,0,2,2,2,0,2,2,2,2,2,2,6,6,3,2,12,1,32,2,0,2,0,44
2019lake_qm14,blue,frc6677,frc2221,frc7331,14,48,0,6,2,2,2,2,0,2,2,2,0,0,0,0,3,0,3,2,0,6,0,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,8,0,0,0,0,14
2019lake_qm14,red,frc3606,frc4087,frc7834,48,14,0,15,2,2,2,2,2,2,2,2,0,0,0,0,0,12,3,0,6,15,30,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,27,0,0,0,0,48
2019lake_qm15,blue,frc3937,frc5971,frc5863,45,57,0,9,2,2,2,0,0,2,0,0,18,30,30,0,3,0,0,2,3,3,0,5,3,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,1,9,0,33,5,0,5,0,45
2019lake_qm15,red,frc281,frc6419,frc7412,57,45,0,12,0,0,0,5,5,5,5,2,12,0,0,0,12,6,3,1,6,21,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,39,0,0,0,0,57
2019lake_qm16,blue,frc2080,frc3468,frc6068,37,52,0,12,5,5,5,5,5,2,2,2,15,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,25,0,0,0,0,37
2019lake_qm16,red,frc2283,frc4013,frc1818,52,37,0,9,5,5,5,5,2,5,5,5,21,0,0,0,12,3,3,0,0,18,30,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,43,0,0,0,0,52
2019lake_qm17,blue,frc5965,frc3991,frc590,30,52,0,9,5,5,5,0,0,5,5,2,15,0,0,0,3,0,3,1,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,21,0,0,0,0,30
