Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4978,5.72,27.81,0.00,3.04,1.21,1.37,1.99,0.05,0.11,1.33,1.12,0.72,1.65,-1.47,-0.65,-0.14,-0.73,1.63,1.28,1.89,-1.59,2.21,1.82,1.47,1.72,1.69,0.40,0.33,-0.37,0.45,-0.40,0.01,-0.41,-0.02,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.46,1.13,-0.28,3.04,-0.07,4.27,-0.10,-0.05,-0.18,0.00,5.72,
frc5965,11.35,9.13,0.00,2.75,1.12,1.56,1.84,-0.30,1.56,1.82,1.59,1.12,4.17,3.28,0.29,-0.37,3.57,0.94,1.15,-0.32,0.09,5.60,10.67,1.15,1.65,1.31,-1.25,-0.78,-0.36,-1.16,0.30,-0.59,-0.09,-0.81,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.32,2.00,1.42,0.90,2.75,0.10,8.52,0.05,-0.24,-0.08,-0.13,11.35,
frc1421,34.51,8.48,0.00,5.53,2.00,2.09,1.77,2.16,2.64,1.46,1.40,1.71,13.74,6.97,0.37,3.17,2.83,1.97,3.78,-0.59,-0.84,8.60,18.15,1.93,1.33,1.72,7.48,1.22,0.58,1.39,0.91,1.19,1.04,1.23,0.73,0.67,0.67,0.67,0.67,0.67,0.67,1.77,2.12,2.26,1.97,5.53,-0.02,29.81,0.16,0.88,0.37,0.80,34.51,
frc3937,25.40,23.13,0.00,2.80,1.36,1.40,1.37,-0.46,0.60,1.30,1.60,1.59,12.27,6.89,6.83,-0.71,0.94,-0.37,1.30,1.54,0.03,1.92,-0.02,1.71,1.37,1.53,8.38,0.99,1.07,1.26,0.38,1.63,0.70,1.99,0.70,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.61,1.30,0.59,2.80,-0.04,22.57,2.39,1.00,2.50,1.11,25.40,
frc6923,6.52,18.85,0.00,0.97,0.14,0.51,1.28,0.28,-0.08,0.91,0.46,0.31,2.15,-2.06,-0.67,0.07,0.09,0.94,1.38,0.91,-0.12,1.77,-1.20,0.83,1.12,1.32,1.75,-0.13,0.64,-0.29,0.72,0.10,0.91,-0.12,0.99,0.67,0.67,0.67,0.67,0.67,0.67,-0.14,2.09,1.77,0.09,0.97,-0.09,5.66,-0.20,0.55,-0.42,0.87,6.52,
frc6677,7.20,19.90,0.00,2.38,1.03,0.41,-0.37,0.74,0.98,0.94,1.04,1.45,2.39,-1.35,-1.06,0.11,1.20,0.58,-0.14,0.75,1.59,1.82,1.80,1.42,1.77,0.63,-0.98,0.08,-0.21,-0.49,-0.38,-0.67,0.32,-0.81,0.48,0.67,0.67,0.67,0.67,0.67,0.67,2.05,0.91,1.48,0.01,2.38,0.02,3.23,-0.47,0.44,-0.47,0.52,7.20,
frc456,33.09,15.68,0.00,5.57,2.73,2.67,1.90,0.54,0.15,1.74,2.47,2.69,13.02,0.28,0.06,0.27,2.70,3.71,3.66,-0.06,3.06,9.86,22.42,1.71,1.24,1.66,1.58,0.27,0.84,0.15,0.30,0.17,0.92,0.28,1.10,0.67,0.67,0.67,0.67,0.67,0.67,3.00,1.55,1.28,1.76,5.57,-0.04,24.46,-0.01,-0.06,0.25,0.13,33.09,
frc3616,24.80,15.17,0.00,3.72,0.25,1.01,-0.21,2.26,1.78,-0.25,0.75,1.16,2.64,-0.32,0.32,-0.26,3.39,-0.62,3.48,0.04,6.88,6.25,14.63,1.79,1.77,1.30,5.31,0.70,1.52,0.38,1.28,-0.10,-0.18,-0.09,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.16,0.96,0.90,1.35,3.72,0.06,14.20,0.04,-0.21,0.01,0.01,24.80,
frc3337,9.06,12.29,0.00,1.07,0.86,0.48,0.77,0.18,2.30,1.16,1.05,1.34,4.13,1.33,-0.04,0.21,0.38,1.14,-0.07,-0.39,1.19,1.62,0.36,1.16,0.43,0.70,1.03,-0.30,0.04,-0.27,0.34,-0.36,0.14,-0.49,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,-0.04,0.72,1.51,0.31,1.07,0.04,6.79,-0.08,0.34,-0.18,0.04,9.06,
frc7661,14.81,16.00,0.00,2.88,1.32,1.28,1.05,0.31,-0.04,2.12,1.50,2.24,7.07,-1.57,0.05,-0.49,1.97,0.61,2.31,1.22,-0.02,4.25,2.72,1.59,1.22,1.03,0.63,0.13,-0.03,0.32,0.26,0.57,-0.26,0.25,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,2.21,0.68,0.95,0.88,2.88,0.05,11.95,0.14,-0.16,0.13,-0.13,14.81,
