MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mabos_qm1,blue,frc125,frc5687,frc5735,94,41,0,12,2,5,5,5,0,5,2,2,30,30,30,0,0,12,6,0,18,18,30,5,5,5,16,5,0,5,2,5,0,5,0,2,2,2,2,2,2,3,3,6,4,12,0,64,5,0,5,0,94
2019mabos_qm1,red,frc3597,frc7822,frc97,41,94,0,9,2,5,5,0,0,2,0,0,6,0,0,0,3,12,3,6,0,18,30,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,32,0,0,0,0,41
2019mabos_qm10,blue,frc6201,frc97,frc4311,43,25,0,15,2,2,5,2,2,2,2,2,3,0,0,0,0,0,6,0,3,6,0,5,5,5,16,2,2,0,2,2,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,25,2,0,0,0,43
2019mabos_qm10,red,frc3597,frc5752,frc348,25,43,0,12,0,0,2,2,2,2,2,2,0,0,0,0,0,0,3,1,0,3,0,5,5,5,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,13,0,0,0,0,25
2019mabos_qm11,blue,frc1307,frc7822,frc2423,25,63,0,6,2,2,2,5,2,2,2,0,3,0,0,0,3,3,0,0,0,6,0,5,5,0,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,19,0,0,0,0,25
2019mabos_qm11,red,frc125,frc1474,frc467,63,25,0,12,2,2,2,0,5,5,5,5,27,0,0,0,3,6,3,0,0,12,0,5,5,5,12,0,0,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,51,0,5,0,5,63
2019mabos_qm12,blue,frc6529,frc1768,frc1761,59,76,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,2,47,0,0,0,0,59
2019mabos_qm12,red,frc6201,frc6301,frc1721,76,59,0,12,2,2,2,0,5,2,2,2,12,0,0,0,12,3,3,0,20,18,30,5,5,5,14,5,2,5,0,2,0,5,0,2,2,2,2,2,2,6,3,3,3,12,0,44,2,0,0,0,76
2019mabos_qm13,blue,frc4909,frc7266,frc5563,67,60,0,15,2,5,5,5,5,5,5,5,21,0,0,0,12,3,3,2,3,18,30,5,5,5,10,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,67
2019mabos_qm13,red,frc5735,frc5556,frc7795,60,67,0,12,5,5,5,0,5,5,5,5,21,0,0,0,6,0,3,1,6,9,0,5,5,5,12,0,2,2,0,0,2,2,0,2,2,2,2,2,2,6,3,3,0,12,0,42,0,2,0,0,60
2019mabos_qm14,blue,frc246,frc5687,frc3597,53,33,0,6,0,0,0,0,0,5,5,5,12,0,0,0,3,12,0,0,18,15,30,5,5,0,2,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,29,0,0,0,0,53
2019mabos_qm14,red,frc6367,frc5491,frc6763,33,53,0,12,5,5,5,0,0,2,5,2,12,0,0,0,3,3,3,6,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,33
2019mabos_qm15,blue,frc1761,frc5752,frc97,53,36,0,9,2,2,5,2,2,2,2,2,3,0,0,0,12,3,0,0,16,15,30,5,5,5,10,0,2,0,2,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,28,0,0,0,0,53
2019mabos_qm15,red,frc7795,frc467,frc2423,36,53,0,9,5,5,5,0,0,5,2,5,15,0,0,0,3,0,3,2,0,6,0,5,5,5,6,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,27,0,0,0,0,36
2019mabos_qm16,blue,frc5735,frc1721,frc6367,31,51,0,12,2,2,2,0,5,5,2,2,9,0,0,0,0,0,0,1,0,0,0,5,5,5,10,2,0,0,5,0,2,0,2,2,2,2,2,2,2,6,3,3,0,12,0,19,0,0,0,0,31
