Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc125,24.91,15.30,0.00,3.51,1.15,2.38,2.13,0.06,-0.29,1.76,1.47,1.61,9.02,1.85,2.56,-0.67,1.36,3.14,2.25,0.27,1.38,6.81,11.71,1.74,1.73,1.66,4.18,1.38,0.45,-0.08,0.28,0.83,1.07,0.77,1.18,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.29,1.34,0.97,3.51,-0.05,20.02,0.72,0.73,0.64,0.71,24.91,
frc5687,35.41,14.76,0.00,2.72,1.19,1.95,0.76,0.51,0.58,2.24,1.70,1.81,13.92,7.61,2.55,5.10,1.98,2.89,4.26,0.25,2.34,8.73,21.33,1.18,1.80,1.38,7.70,0.87,2.02,2.09,1.78,0.53,1.84,0.65,1.61,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.03,1.35,1.91,2.72,-0.00,30.35,0.93,0.97,0.59,0.83,35.41,
frc5735,16.18,16.78,0.00,6.03,0.80,1.10,1.29,0.47,0.31,1.50,1.18,0.86,3.32,2.43,2.68,-0.73,0.87,1.77,1.58,0.23,1.30,4.29,6.96,1.77,1.73,1.72,1.24,0.05,-0.07,0.23,0.35,0.03,-0.10,0.56,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.66,1.41,2.07,0.56,6.03,0.08,8.85,0.20,-0.17,0.47,-0.34,16.18,
frc3597,12.14,17.60,0.00,2.82,0.28,0.34,0.46,0.91,1.27,0.86,1.45,0.58,2.51,-0.78,-0.39,-0.06,1.68,2.02,1.19,0.11,1.42,4.95,7.86,1.76,1.87,1.24,0.44,-0.47,0.35,-0.27,0.13,-0.47,-0.39,-0.37,-0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.63,1.13,1.02,0.53,2.82,-0.05,7.90,-0.23,-0.18,-0.08,-0.19,12.14,
frc7822,11.47,21.45,0.00,2.87,-0.73,-0.07,0.01,1.35,0.96,0.60,0.18,0.05,0.71,-0.31,-0.04,0.21,0.31,1.98,0.65,0.11,-0.72,2.99,0.48,1.72,1.42,1.20,5.62,0.46,0.20,0.34,-0.04,0.14,0.21,-0.01,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.45,0.82,-0.01,2.87,0.02,9.32,-0.15,0.01,-0.10,0.10,11.47,
frc97,15.08,16.48,0.00,3.29,1.04,1.32,1.28,-0.48,1.51,0.64,0.67,0.75,3.35,2.45,-0.04,2.75,2.45,0.10,1.05,0.76,1.79,3.71,7.95,1.80,0.91,1.93,2.94,-0.22,0.98,-0.04,0.62,-0.19,0.44,-0.28,0.52,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.25,0.62,0.64,3.29,-0.08,10.00,-0.05,0.38,-0.05,0.26,15.08,
frc6201,15.94,20.71,0.00,5.73,0.92,0.58,1.14,-0.58,0.41,0.68,0.79,1.10,1.50,-1.30,-0.11,-0.67,1.60,0.89,3.10,0.72,1.46,5.60,8.18,1.76,1.58,1.74,1.66,0.37,0.48,0.62,-0.29,0.86,0.26,0.72,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.93,2.08,0.83,5.73,0.24,8.76,0.34,0.13,-0.17,-0.20,15.94,
frc4311,28.95,11.72,0.00,5.43,0.32,0.67,1.41,1.66,1.43,1.43,1.02,0.19,4.19,-1.10,-0.62,-0.17,1.42,2.40,0.91,-0.19,4.06,4.79,2.31,1.78,1.82,1.36,10.49,1.02,0.69,0.73,1.17,0.61,0.35,-0.10,0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.91,2.32,0.90,5.43,-0.05,19.46,0.38,0.20,0.07,0.24,28.95,
frc5752,16.04,14.50,0.00,3.36,1.35,0.68,1.55,2.07,1.85,0.87,0.13,0.21,2.78,-1.29,-0.21,-0.78,1.81,1.77,-0.69,-0.35,1.40,2.95,0.26,1.77,1.68,1.84,5.55,0.10,0.73,0.65,-0.21,0.60,0.18,0.38,0.40,0.67,0.67,0.67,0.67,0.67,0.67,0.63,1.40,0.92,0.51,3.36,0.14,11.28,-0.05,0.06,0.16,0.22,16.04,
frc348,8.84,23.46,0.00,6.10,0.34,-0.45,0.44,0.55,0.43,0.45,0.87,0.63,-0.14,2.36,-0.06,-0.15,0.74,0.90,-0.36,1.43,-1.36,1.35,0.71,1.76,1.67,1.89,2.89,0.53,-0.29,0.61,0.61,0.10,-0.15,0.21,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.88,2.32,-0.02,6.10,-0.08,4.10,0.17,-0.05,-0.13,-0.23,8.84,
frc1307,12.15,20.25,0.00,4.45,1.50,1.94,1.52,0.88,0.59,1.53,1.73,1.02,5.20,1.32,-0.71,2.40,2.07,-0.30,-0.17,-0.08,-0.81,1.62,-3.53,1.71,1.81,1.40,1.69,0.23,0.21,-0.55,-0.00,-0.07,0.42,-0.39,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.24,1.34,1.61,-0.18,4.45,0.26,8.51,-0.03,0.60,-0.10,0.42,12.15,
frc2423,16.84,20.41,0.00,2.73,1.83,1.62,1.96,0.87,0.61,1.51,0.81,2.14,6.87,-0.38,0.04,-0.38,0.98,2.28,2.81,-0.04,0.17,6.19,11.10,1.79,1.32,1.30,0.87,0.55,0.15,0.45,0.11,-0.15,-0.09,0.09,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.80,1.17,0.69,2.73,0.00,13.93,-0.16,-0.16,0.05,0.06,16.84,
frc1474,28.11,15.60,0.00,5.69,2.28,2.10,1.98,2.81,2.49,2.30,2.22,2.03,12.64,-0.78,-0.30,-0.41,3.66,2.39,0.43,0.05,-0.61,6.53,2.64,1.56,1.75,1.85,3.86,0.02,0.02,-0.16,0.59,-0.14,0.65,-0.34,0.96,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.98,2.18,0.94,5.69,-0.11,23.03,-0.05,0.55,-0.06,0.54,28.11,
frc467,13.96,17.99,0.00,3.21,0.45,0.70,1.52,-0.44,-0.07,1.30,0.94,1.09,2.67,-0.86,-0.26,-0.50,0.99,1.73,0.55,0.39,2.74,3.45,2.91,1.85,1.72,1.68,1.88,0.33,0.75,0.11,0.56,0.19,0.25,0.18,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.42,0.41,0.09,3.21,0.09,8.01,-0.19,0.17,-0.17,0.20,13.96,
frc6529,13.77,22.42,0.00,4.51,1.16,1.43,0.69,1.82,1.24,1.65,1.35,1.76,4.35,-1.18,-0.01,-0.90,-0.01,0.71,1.50,-0.12,1.49,1.76,-1.56,1.37,1.81,1.85,1.66,0.38,0.27,0.72,0.10,-0.38,-0.48,0.05,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.99,0.89,1.57,-0.27,4.51,0.30,7.78,-0.22,-0.34,-0.16,-0.33,13.77,
frc1768,23.23,12.58,0.00,3.87,0.69,0.54,1.13,0.93,0.83,0.78,0.45,1.05,6.34,2.02,0.23,-0.81,0.59,1.34,1.66,-0.20,2.03,3.67,3.61,1.62,1.74,1.85,7.32,2.54,1.43,2.48,0.98,0.92,0.60,0.82,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.54,0.45,0.83,3.87,0.22,17.33,0.01,0.28,0.44,-0.09,23.23,
frc1761,20.63,12.13,0.00,3.17,1.41,1.84,1.59,0.91,1.00,2.09,2.32,1.39,7.52,-0.04,0.02,-0.02,0.99,0.65,1.12,0.21,5.69,2.77,0.94,1.53,1.80,1.77,1.48,0.51,0.21,0.21,-0.01,0.64,-0.28,-0.02,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.32,0.52,1.52,0.38,3.17,0.08,11.77,0.19,-0.21,0.20,-0.00,20.63,
frc6301,13.10,13.80,0.00,5.20,0.90,0.57,0.62,0.69,1.08,1.27,0.69,1.01,2.86,1.21,-0.29,2.02,2.54,1.07,0.93,0.06,-0.25,4.62,5.41,1.81,1.68,1.81,0.68,-0.47,0.36,-0.42,0.49,-0.35,0.12,-0.04,0.66,0.67,0.67,0.67,0.67,0.67,0.67,2.24,1.35,1.19,0.58,5.20,-0.06,8.15,-0.08,0.10,-0.25,0.56,13.10,
frc1721,18.15,18.80,0.00,3.36,0.31,0.79,1.14,0.24,1.98,1.19,1.22,1.16,6.42,-0.88,-0.29,-0.53,1.80,-0.80,0.60,0.44,0.49,1.67,1.18,1.76,1.74,1.41,6.21,2.46,0.02,2.55,0.49,0.77,-0.04,1.20,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.87,0.60,0.62,0.45,3.36,0.16,14.30,0.33,-0.28,0.68,-0.26,18.15,
frc4909,27.27,13.30,0.00,4.76,1.94,2.37,2.25,1.14,1.48,1.56,1.93,1.35,10.33,-0.52,-0.59,0.24,4.31,2.09,3.18,-0.16,0.44,9.07,15.30,1.29,1.86,1.62,2.68,-0.29,1.22,0.24,1.41,-0.03,-0.16,-0.40,0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.48,2.11,1.68,4.76,-0.01,22.07,-0.02,0.03,-0.13,0.09,27.27,
frc7266,13.31,28.57,0.00,3.79,0.55,1.05,0.93,0.92,0.24,1.87,1.76,1.83,3.59,-0.03,0.02,0.19,1.47,2.58,-0.18,2.75,0.77,3.96,4.25,1.57,1.51,1.61,1.20,-0.75,0.06,-0.41,0.42,-0.17,-0.25,0.26,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.81,0.73,1.94,-0.05,3.79,-0.05,8.75,0.14,0.01,0.05,0.06,13.31,
frc5563,16.39,13.91,0.00,5.27,-0.39,0.41,0.97,1.62,1.55,0.91,0.71,0.47,3.42,-1.05,-0.36,-0.35,1.50,1.14,0.43,-0.36,0.34,3.20,2.31,1.82,1.86,1.07,4.17,0.16,-0.22,0.82,-0.41,0.66,-0.32,0.29,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.81,1.43,1.48,0.44,5.27,-0.04,10.78,0.14,-0.22,0.11,0.05,16.39,
frc5556,17.53,17.08,0.00,2.47,0.66,0.56,0.87,0.96,2.31,0.20,0.39,0.55,1.76,-1.72,-0.58,-0.84,0.25,-0.68,2.83,-0.47,4.09,2.03,-3.21,1.22,1.32,1.83,7.18,1.11,0.63,0.93,0.62,0.53,0.42,1.13,0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.88,1.30,0.70,0.16,2.47,-0.05,10.97,0.38,0.03,0.13,0.05,17.53,
frc7795,17.64,13.79,0.00,2.82,2.74,2.69,2.13,-0.35,0.23,2.55,2.72,2.96,12.47,2.01,-0.36,2.67,0.53,-0.35,1.18,-0.22,-0.34,1.45,-4.62,1.62,1.74,1.76,1.24,0.79,0.18,0.42,0.06,-0.11,0.27,-0.42,0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.13,0.86,0.29,2.82,0.08,15.16,-0.08,0.45,-0.22,0.43,17.64,
frc246,7.16,10.48,0.00,4.15,-0.30,-0.42,0.13,0.85,-0.71,-0.01,0.02,-0.06,-0.36,-1.30,0.01,-1.09,-0.09,2.00,-1.51,0.21,0.22,0.48,-0.43,1.58,1.37,1.20,2.67,-0.05,0.38,0.41,0.69,0.11,0.26,0.29,0.68,0.67,0.67,0.67,0.67,0.67,0.67,1.63,1.87,2.22,0.18,4.15,-0.12,2.80,-0.05,0.16,0.17,0.05,7.16,
frc6367,6.71,14.53,0.00,2.57,1.76,0.31,1.36,-0.44,0.35,1.11,1.38,0.77,2.55,-1.00,-0.35,-0.30,-0.65,1.07,1.35,0.78,-0.78,1.89,0.44,1.59,1.31,1.71,0.49,-0.01,0.22,-1.05,0.92,-0.23,0.37,-0.17,0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.15,1.44,1.20,-0.07,2.57,-0.03,4.92,0.01,0.29,-0.01,-0.02,6.71,
frc5491,6.05,20.40,0.00,1.87,0.80,0.61,1.05,0.94,0.82,0.97,0.24,0.24,0.15,-0.97,-0.26,-0.64,1.22,-1.07,1.00,0.46,2.27,0.71,-2.99,1.34,0.88,1.48,1.05,0.16,-0.53,0.44,-0.52,0.36,-0.29,-0.15,-0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.21,0.39,-0.23,1.87,0.23,1.91,0.16,-0.20,0.18,-0.24,6.05,
frc6763,17.19,15.37,0.00,3.74,0.89,1.70,2.45,1.30,1.41,0.34,0.65,-0.13,5.81,2.23,0.23,-0.56,2.12,1.28,0.86,0.22,1.57,3.76,3.49,1.27,1.81,1.28,2.31,1.35,0.42,0.77,0.96,-0.26,-0.24,0.28,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.29,2.52,0.43,3.74,-0.04,11.88,0.01,-0.26,0.12,-0.20,17.19,
