MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mabri_qm1,blue,frc6333,frc5813,frc3205,26,57,0,6,5,0,5,0,0,5,0,5,12,0,0,0,3,0,3,0,0,6,0,5,0,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,20,0,0,0,0,26
2019mabri_qm1,red,frc6731,frc125,frc88,57,26,0,12,5,5,5,5,5,5,5,5,30,0,0,0,0,0,3,0,0,3,0,5,0,5,12,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,0,6,2,12,0,45,0,0,0,0,57
2019mabri_qm10,blue,frc3236,frc6763,frc3566,53,42,0,15,0,0,0,5,5,5,5,5,21,0,0,0,3,3,3,1,0,9,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,1,38,0,0,0,0,53
2019mabri_qm10,red,frc2523,frc5000,frc2079,42,53,0,15,2,2,2,0,0,2,2,2,3,0,0,0,6,3,0,0,13,9,0,5,5,5,2,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,14,0,0,0,0,42
2019mabri_qm11,blue,frc246,frc2877,frc121,31,33,0,6,2,2,2,0,5,0,0,5,6,0,0,0,0,0,3,1,10,3,0,0,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,3,3,0,6,0,15,0,0,0,0,31
2019mabri_qm11,red,frc6201,frc4048,frc5846,33,31,0,12,2,2,2,0,0,5,5,5,9,0,0,0,3,3,3,0,3,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,12,1,18,0,0,0,0,33
2019mabri_qm12,blue,frc97,frc5813,frc1100,29,20,0,15,2,2,5,0,0,2,2,0,3,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,14,0,0,0,0,29
2019mabri_qm12,red,frc172,frc6333,frc6529,20,29,0,6,2,2,2,2,0,0,0,0,0,0,0,0,6,3,3,0,0,12,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,14,0,0,0,0,20
2019mabri_qm13,blue,frc3205,frc3236,frc4151,43,52,0,12,5,5,2,0,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,3,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,31,0,0,0,0,43
2019mabri_qm13,red,frc4176,frc23,frc69,52,43,0,12,5,5,5,0,0,0,5,5,15,0,0,0,3,0,12,0,0,15,30,5,5,5,10,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,3,6,3,12,0,40,0,2,0,0,52
2019mabri_qm14,blue,frc2877,frc125,frc4048,41,29,0,6,2,2,2,0,5,5,5,5,12,0,0,0,3,0,12,0,0,15,30,5,5,3,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,35,2,0,0,0,41
2019mabri_qm14,red,frc2523,frc6224,frc6731,29,41,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,0,3,0,0,6,0,5,0,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,12,0,17,0,0,0,0,29
2019mabri_qm15,blue,frc5000,frc88,frc5112,42,30,0,9,5,5,5,2,5,0,5,5,18,0,0,0,3,3,3,1,0,9,0,5,3,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,33,0,0,0,0,42
2019mabri_qm15,red,frc1965,frc5422,frc5813,30,42,0,12,2,5,5,0,0,2,2,2,6,0,0,0,3,3,3,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,15,0,0,0,0,30
2019mabri_qm16,blue,frc4151,frc58,frc6529,48,42,0,15,2,2,0,0,0,0,2,2,0,0,0,0,3,12,3,1,3,18,30,5,5,5,12,2,0,2,2,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,30,2,0,0,0,48
2019mabri_qm16,red,frc6301,frc121,frc3205,42,48,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,27,0,0,0,0,42
2019mabri_qm17,blue,frc1153,frc6333,frc2168,67,70,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,0,6,1,0,18,30,5,5,5,10,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,1,15,0,52,0,0,0,0,67
