MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019macma_qm1,blue,frc125,frc1786,frc3205,69,42,0,15,2,5,5,2,5,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,12,0,0,0,2,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,54,2,0,0,0,69
2019macma_qm1,red,frc3623,frc1735,frc2262,42,69,0,12,5,5,5,2,0,5,5,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,30,0,0,0,0,42
2019macma_qm10,blue,frc2877,frc2079,frc4987,85,39,0,15,5,5,5,0,5,5,5,2,27,0,0,0,3,3,3,0,24,9,0,5,5,5,10,5,0,5,0,5,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,46,0,0,0,0,85
2019macma_qm10,red,frc7266,frc3323,frc5459,39,85,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,3,3,8,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,24,0,0,0,0,39
2019macma_qm11,blue,frc1786,frc4796,frc7438,52,73,0,15,5,5,5,5,0,0,5,5,18,0,0,0,3,3,6,5,3,12,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,0,52
2019macma_qm11,red,frc5422,frc172,frc4048,73,52,0,9,2,5,2,0,5,5,5,5,18,0,0,0,3,12,6,1,15,21,30,5,5,5,10,0,2,0,5,0,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,49,0,0,0,0,73
2019macma_qm12,blue,frc4908,frc1735,frc155,59,42,0,12,5,5,5,5,5,5,5,5,27,0,0,0,0,3,3,0,0,6,0,5,5,5,14,2,5,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,47,0,0,0,0,59
2019macma_qm12,red,frc3623,frc6731,frc61,42,59,0,9,2,5,2,2,5,5,2,2,9,0,0,0,3,0,3,0,0,6,0,5,3,5,18,0,2,2,0,0,2,2,0,2,2,2,2,2,2,3,6,6,0,9,0,33,0,2,2,0,42
2019macma_qm13,blue,frc2713,frc88,frc2785,46,76,0,15,5,2,5,5,0,5,5,5,18,0,0,0,3,0,3,0,3,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,28,0,0,0,0,46
2019macma_qm13,red,frc78,frc6328,frc58,76,46,0,15,5,5,5,5,5,2,2,2,27,0,0,0,12,3,3,1,0,18,30,5,5,5,16,5,2,2,5,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,61,0,0,0,0,76
2019macma_qm14,blue,frc172,frc2876,frc3323,53,52,0,15,5,2,5,5,5,0,5,5,18,0,0,0,3,3,3,2,3,9,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,53
2019macma_qm14,red,frc1965,frc4987,frc7266,52,53,0,15,5,5,5,2,0,5,5,5,18,0,0,0,3,3,3,1,6,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,31,0,0,0,0,52
2019macma_qm15,blue,frc5459,frc2262,frc190,55,47,0,9,2,2,2,0,0,5,5,5,9,0,0,0,3,3,12,0,13,18,30,3,5,5,6,0,2,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,3,9,0,33,0,0,0,0,55
2019macma_qm15,red,frc4796,frc6731,frc157,47,55,0,15,2,5,5,0,0,5,5,2,12,0,0,0,3,3,12,1,0,18,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,1,32,0,0,0,0,47
2019macma_qm16,blue,frc3623,frc6620,frc126,56,61,0,15,5,5,5,2,2,5,5,2,21,0,0,0,3,3,0,0,6,6,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,35,0,0,0,0,56
2019macma_qm16,red,frc88,frc1100,frc61,61,56,0,15,5,5,5,0,0,5,2,2,15,0,0,0,3,12,6,2,0,21,30,5,5,5,10,2,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,46,0,0,0,0,61
2019macma_qm17,blue,frc78,frc2877,frc7438,78,67,0,9,5,5,5,0,5,5,5,5,30,0,0,0,12,0,6,0,3,18,30,5,5,5,18,5,2,5,5,2,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,66,2,0,2,0,78
2019macma_qm17,red,frc1289,frc6328,frc4908,67,78,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,12,3,1,0,18,30,5,5,5,10,2,5,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,55,0,0,0,0,67
2019macma_qm18,blue,frc4048,frc155,frc2785,59,61,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,8,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,1,15,0,44,0,0,0,2,59
2019macma_qm18,red,frc3205,frc5813,frc2079,61,59,0,15,5,5,5,0,5,5,5,5,30,0,0,0,0,3,3,0,0,6,0,5,5,5,10,5,0,5,0,0,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,46,0,0,2,0,61
2019macma_qm19,blue,frc1735,frc2713,frc5422,37,50,0,9,5,5,5,2,5,5,5,5,21,0,0,0,3,0,0,0,0,3,0,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,28,0,0,0,0,37
2019macma_qm19,red,frc58,frc95,frc138,50,37,0,15,2,2,2,0,0,2,2,2,6,0,0,0,12,3,0,0,0,15,30,5,5,5,14,0,5,2,2,0,5,0,2,2,2,2,2,2,2,6,6,3,3,15,0,35,0,2,0,2,50
2019macma_qm2,blue,frc190,frc2079,frc5422,58,57,0,15,5,5,5,5,0,5,5,5,21,0,0,0,12,3,0,2,3,15,30,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,40,0,0,0,0,58
2019macma_qm2,red,frc172,frc1100,frc5491,57,58,0,12,5,5,0,2,5,5,2,5,15,0,0,0,3,12,3,1,6,18,30,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,39,0,2,0,0,57
2019macma_qm20,blue,frc125,frc5491,frc6328,85,33,0,15,2,2,5,5,5,5,5,2,33,30,30,0,3,3,12,0,3,18,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,0,67,5,0,5,0,85
2019macma_qm20,red,frc7266,frc1786,frc6731,33,85,0,15,2,2,2,2,0,2,5,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,18,0,0,0,0,33
