MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019marea_qm1,blue,frc3958,frc95,frc4909,53,33,0,12,2,2,2,2,0,0,0,0,15,0,0,0,0,0,3,0,3,3,0,5,5,5,20,5,0,5,2,5,0,5,2,2,2,2,2,2,2,3,6,3,2,12,0,38,2,0,5,2,53
2019marea_qm1,red,frc2084,frc7795,frc5556,33,53,0,12,5,5,5,0,0,5,5,2,15,0,0,0,0,3,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,33
2019marea_qm10,blue,frc7438,frc5459,frc1073,58,44,0,12,0,0,5,2,2,5,5,5,12,0,0,0,6,3,6,1,13,15,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,33,0,0,0,0,58
2019marea_qm10,red,frc4906,frc1757,frc2648,44,58,0,15,5,5,5,0,0,5,5,2,15,0,0,0,6,3,0,1,3,9,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,26,0,0,0,0,44
2019marea_qm11,blue,frc95,frc6161,frc7822,63,36,0,15,0,0,2,2,2,0,0,0,18,30,30,0,3,6,3,0,0,12,0,5,5,5,18,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,48,5,0,5,0,63
2019marea_qm11,red,frc23,frc4169,frc157,36,63,0,6,5,5,5,0,0,5,5,2,15,0,0,0,3,0,6,0,0,9,0,5,3,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,30,2,0,0,0,36
2019marea_qm12,blue,frc1761,frc2423,frc4311,33,44,0,12,0,2,0,5,0,2,2,2,3,0,0,0,3,3,6,1,0,12,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,21,0,0,0,0,33
2019marea_qm12,red,frc2876,frc2084,frc501,44,33,0,15,0,2,2,0,0,5,5,0,6,0,0,0,3,3,0,0,13,6,0,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,16,0,0,2,0,44
2019marea_qm13,blue,frc2713,frc4761,frc5563,48,38,0,6,2,0,2,0,5,5,2,2,6,0,0,0,3,12,3,0,10,18,30,3,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,32,0,0,0,0,48
2019marea_qm13,red,frc5265,frc1289,frc3958,38,48,0,6,0,2,2,2,5,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,3,5,20,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,32,0,0,0,0,38
2019marea_qm14,blue,frc1073,frc4169,frc7795,48,27,0,12,5,5,0,0,2,2,2,2,6,30,0,0,3,3,3,1,15,9,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,21,0,0,0,0,48
2019marea_qm14,red,frc5459,frc2262,frc1027,27,48,0,9,5,2,5,0,0,2,2,2,6,0,0,0,3,3,3,5,3,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,15,0,0,0,0,27
2019marea_qm15,blue,frc5735,frc4311,frc157,29,48,0,15,2,2,0,2,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,2,0,0,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,14,0,0,0,2,29
