MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mdbet_qm1,blue,frc2186,frc2900,frc1727,30,47,0,9,5,0,5,0,0,5,0,5,12,0,0,0,3,0,6,0,0,9,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,0,9,0,21,0,0,0,0,30
2019mdbet_qm1,red,frc5841,frc686,frc1885,47,30,0,6,5,2,2,0,0,5,5,5,18,0,0,0,3,12,0,0,0,15,30,3,5,5,8,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,3,3,6,0,41,0,0,0,0,47
2019mdbet_qm10,blue,frc1446,frc1885,frc2537,23,62,0,3,0,0,5,0,0,2,2,0,6,0,0,0,3,3,0,8,0,6,0,3,5,3,8,0,5,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,3,0,20,0,0,0,0,23
2019mdbet_qm10,red,frc3650,frc686,frc2912,62,23,0,9,2,2,5,5,5,2,2,0,9,0,0,0,3,3,6,0,24,12,0,3,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,29,0,0,0,0,62
2019mdbet_qm11,blue,frc5830,frc6893,frc1123,27,26,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,12,0,0,18,30,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,18,0,0,0,0,27
2019mdbet_qm11,red,frc7770,frc1915,frc1111,26,27,0,6,5,5,5,0,5,2,5,2,15,0,0,0,3,0,0,0,0,3,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,20,0,0,0,0,26
2019mdbet_qm12,blue,frc6326,frc2914,frc4456,18,23,0,3,5,5,5,0,0,5,2,2,12,0,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,15,0,0,0,0,18
2019mdbet_qm12,red,frc4464,frc2900,frc5587,23,18,0,12,2,2,5,0,0,0,5,5,9,0,0,0,0,0,0,0,0,0,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,11,0,0,0,0,23
2019mdbet_qm13,blue,frc686,frc4514,frc5115,32,21,0,9,5,2,5,0,2,5,5,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,23,0,0,0,0,32
2019mdbet_qm13,red,frc5841,frc6213,frc449,21,32,0,6,2,2,2,2,2,5,5,2,6,0,0,0,3,3,0,0,0,3,0,0,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,0,0,21
2019mdbet_qm14,blue,frc1885,frc7770,frc1727,46,36,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,34,0,0,0,0,46
2019mdbet_qm14,red,frc1389,frc3793,frc1111,36,46,0,9,2,2,2,0,0,5,5,5,9,0,0,0,3,12,3,0,0,18,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,27,0,0,0,0,36
