Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2186,4.73,20.25,0.00,1.86,1.60,1.08,0.96,-0.52,-0.92,0.97,0.35,1.75,3.42,1.56,0.00,0.00,1.89,-0.83,0.83,0.85,-1.53,1.66,-0.27,1.58,0.70,1.39,-0.69,-0.38,0.44,-0.34,0.66,-0.05,-0.05,-0.07,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.12,0.02,0.68,-0.05,1.86,0.05,4.40,0.00,-0.08,-0.02,-0.03,4.73,
frc2900,5.10,8.75,0.00,1.16,0.04,0.07,0.60,-0.49,-0.55,0.44,0.97,1.56,-0.08,1.41,0.00,0.00,0.05,0.88,1.08,-0.32,2.34,2.18,5.43,1.69,0.81,2.07,-0.50,0.07,0.02,-0.33,0.08,-0.05,0.07,-0.07,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.61,1.32,1.19,0.21,1.16,-0.06,1.60,0.00,-0.09,-0.03,-0.04,5.10,
frc1727,26.38,8.65,0.00,5.18,2.12,2.21,2.53,0.81,2.18,2.62,2.36,2.45,11.90,-0.79,0.00,0.00,2.01,1.86,2.17,-0.18,2.54,6.19,2.57,1.53,1.54,1.80,0.57,-0.20,0.21,-0.27,0.26,-0.05,-0.09,-0.07,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.28,1.50,2.24,0.99,5.18,-0.02,18.66,0.00,-0.05,-0.01,-0.01,26.38,
frc5841,6.53,16.13,0.00,3.96,0.51,0.32,0.11,0.35,0.98,0.11,0.08,0.42,-1.82,2.04,0.00,0.00,0.32,1.63,0.11,0.71,0.17,2.05,0.27,1.55,1.88,1.86,2.17,0.35,-0.03,0.41,-0.21,0.12,0.10,0.12,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.82,1.02,0.12,3.96,0.06,2.40,0.00,0.14,-0.03,-0.04,6.53,
frc686,18.22,17.15,0.00,2.29,2.33,1.46,1.97,0.66,0.13,1.82,1.93,1.88,8.31,-0.59,0.00,0.00,2.13,2.51,0.82,0.59,1.46,4.84,8.66,1.19,1.06,1.91,1.32,0.28,-0.15,0.32,0.27,0.14,0.08,0.13,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.82,1.06,0.76,2.29,-0.07,14.47,0.00,-0.11,-0.02,-0.06,18.22,
frc1885,22.17,15.56,0.00,2.64,1.62,1.59,1.52,1.64,0.86,1.89,2.24,1.63,11.10,1.80,0.00,0.00,-0.07,1.52,1.23,0.61,-0.44,2.86,4.04,1.79,2.01,1.51,6.01,1.36,1.35,1.48,1.35,0.35,0.86,0.32,0.69,0.67,0.67,0.67,0.67,0.67,0.67,0.79,1.00,1.18,0.96,2.64,-0.03,19.97,0.00,0.11,0.17,-0.05,22.17,
frc1446,7.87,13.03,0.00,2.65,0.74,0.96,1.24,-0.56,-0.34,0.55,0.31,0.10,0.86,-0.30,0.00,0.00,0.68,2.46,-0.08,0.80,1.54,2.47,2.22,1.46,0.55,1.46,0.34,-0.29,0.61,-0.30,0.10,-0.07,0.28,-0.07,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.05,2.17,0.04,2.65,0.02,3.67,0.00,0.19,-0.02,0.00,7.87,
frc2537,6.58,18.95,0.00,2.70,1.50,1.19,1.61,-0.83,-0.13,0.74,1.34,1.01,3.21,-0.22,0.00,0.00,0.51,0.51,1.00,1.83,-1.79,2.23,-2.98,1.56,1.36,1.74,0.24,-0.15,0.19,-0.13,0.37,-0.02,0.28,-0.00,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.68,1.20,-0.53,2.70,-0.02,5.68,0.00,-0.03,0.00,-0.01,6.58,
frc3650,7.69,17.82,0.00,2.74,0.18,0.46,1.32,1.14,-0.30,0.77,0.86,1.25,1.85,-0.33,0.00,0.00,0.76,-0.51,0.39,0.64,1.12,0.70,-1.92,1.09,1.46,1.38,1.29,-0.02,0.35,-0.09,0.41,0.00,-0.04,-0.04,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.99,1.61,-0.08,2.74,0.14,3.83,0.00,-0.03,0.01,-0.04,7.69,
frc2912,20.33,8.85,0.00,5.77,0.38,0.80,1.92,3.50,3.72,0.54,1.06,0.38,4.91,-0.31,0.00,0.00,0.81,1.34,2.38,-0.58,1.33,4.80,-0.13,1.66,1.95,1.63,3.52,-0.11,-0.17,0.14,-0.16,-0.01,-0.04,-0.04,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.58,1.83,1.52,0.90,5.77,0.06,13.23,0.00,0.01,-0.01,0.00,20.33,
frc5830,13.11,14.82,0.00,1.50,1.50,1.25,1.87,1.18,0.32,1.58,1.17,1.06,4.99,-0.28,0.00,0.00,0.66,2.11,2.50,-0.20,0.28,5.46,3.11,1.45,1.76,1.12,0.87,0.07,0.05,0.18,0.02,0.02,0.01,0.04,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.65,1.19,1.09,0.34,1.50,-0.05,11.32,0.00,-0.04,0.02,-0.04,13.11,
frc6893,7.65,11.71,0.00,3.85,0.54,0.92,0.56,0.09,0.45,1.00,1.13,0.96,0.97,-0.42,0.00,0.00,0.71,-0.42,1.58,0.30,0.55,1.95,2.41,1.58,1.23,1.69,0.33,0.18,0.04,0.02,-0.25,-0.08,0.09,-0.09,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.22,2.42,0.37,3.85,0.15,3.25,0.00,0.38,-0.03,0.19,7.65,
frc1123,17.32,9.21,0.00,4.01,0.94,1.42,1.46,0.93,-0.06,1.41,1.03,0.48,2.18,2.53,0.00,0.00,4.19,3.77,3.54,0.18,0.99,11.15,22.83,1.10,2.31,1.66,-1.00,-0.46,-0.26,-0.42,-0.31,-0.03,-0.14,-0.04,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.57,1.71,1.64,4.01,-0.00,12.33,0.00,-0.05,-0.01,-0.02,17.32,
frc7770,18.79,12.65,0.00,4.90,2.07,2.11,2.11,0.75,1.83,1.88,1.67,0.93,8.05,1.99,0.00,0.00,0.88,-0.05,1.58,-0.04,1.71,2.48,0.18,1.98,0.98,1.87,1.64,0.65,-0.24,0.72,-0.25,-0.03,-0.08,0.14,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.51,2.07,0.56,4.90,-0.05,12.17,0.00,-0.05,-0.02,-0.02,18.79,
frc1915,6.05,5.31,0.00,1.98,0.72,1.42,1.26,0.93,0.83,0.83,1.11,0.64,2.26,-0.61,0.00,0.00,1.33,0.85,0.73,-0.42,0.09,1.97,-0.77,1.16,-0.12,1.23,-0.26,-0.27,-0.26,-0.23,-0.36,0.01,-0.07,-0.03,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.63,1.81,0.32,1.98,-0.04,3.98,0.00,-0.02,-0.00,-0.03,6.05,
