MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mdowi_qm1,blue,frc5945,frc2849,frc5830,52,35,0,15,5,5,5,2,5,5,5,2,18,0,0,0,3,0,6,0,6,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,31,0,0,0,0,52
2019mdowi_qm1,red,frc3373,frc6584,frc888,35,52,0,12,0,0,2,2,2,5,5,5,12,0,0,0,3,0,0,2,0,3,0,5,5,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,35
2019mdowi_qm10,blue,frc2199,frc4505,frc7886,66,28,0,9,5,5,5,0,2,5,5,5,24,0,0,0,12,3,3,0,9,18,30,5,5,3,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,48,0,0,0,0,66
2019mdowi_qm10,red,frc4949,frc5830,frc6584,28,66,0,12,2,2,2,2,2,0,2,2,0,0,0,0,3,6,3,3,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,16,0,0,0,0,28
2019mdowi_qm11,blue,frc2988,frc5338,frc614,51,36,0,15,2,2,0,2,0,5,5,2,6,0,0,0,6,12,6,1,0,24,30,5,5,5,6,2,0,0,0,0,0,0,2,2,2,2,2,2,2,6,3,6,3,15,0,36,0,0,0,0,51
2019mdowi_qm11,red,frc1389,frc3373,frc1629,36,51,0,12,2,2,2,0,0,2,2,2,0,0,0,0,0,3,12,0,3,15,30,5,5,5,6,0,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,3,1,12,0,21,0,0,0,0,36
2019mdowi_qm12,blue,frc6863,frc4638,frc4541,34,50,0,9,2,2,5,0,5,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,3,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,9,0,25,0,0,0,0,34
2019mdowi_qm12,red,frc888,frc2961,frc2537,50,34,0,12,5,5,5,0,2,5,5,5,18,0,0,0,12,0,6,0,0,18,30,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,12,0,38,0,0,0,0,50
2019mdowi_qm13,blue,frc4505,frc1111,frc2377,55,71,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,10,0,0,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,40,0,0,0,0,55
2019mdowi_qm13,red,frc6239,frc1719,frc3748,71,55,0,12,5,5,5,5,5,5,5,2,24,0,0,0,6,12,3,0,0,21,30,5,3,5,14,0,2,2,5,0,2,0,2,2,2,2,2,2,2,6,3,6,3,12,0,59,0,0,0,0,71
