MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mdoxo_qm1,blue,frc4472,frc4541,frc339,52,57,0,12,5,5,5,2,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,10,5,0,2,0,2,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,40,0,0,0,0,52
2019mdoxo_qm1,red,frc4242,frc5587,frc1895,57,52,0,15,5,5,5,5,5,2,5,5,21,0,0,0,0,3,6,0,0,9,0,5,5,5,12,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,42,0,0,2,0,57
2019mdoxo_qm10,blue,frc2900,frc4541,frc6543,41,40,0,12,5,5,5,0,5,2,5,2,15,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,26,0,0,0,0,41
2019mdoxo_qm10,red,frc3714,frc4472,frc5243,40,41,0,9,5,5,5,5,2,5,5,5,21,0,0,0,0,3,3,1,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,31,0,0,0,0,40
2019mdoxo_qm11,blue,frc5724,frc1895,frc611,29,44,0,12,2,2,2,5,0,2,2,2,3,0,0,0,3,0,6,2,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,14,0,0,0,0,29
2019mdoxo_qm11,red,frc7714,frc1418,frc7879,44,29,0,6,2,2,5,0,0,5,5,5,12,0,0,0,3,6,3,1,6,12,0,3,5,5,8,0,2,2,2,0,2,0,0,2,2,2,2,2,2,3,3,3,2,6,0,32,0,0,0,0,44
2019mdoxo_qm12,blue,frc2534,frc1727,frc1731,56,55,0,12,2,2,2,5,0,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,14,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,6,3,2,12,0,44,0,5,0,2,56
2019mdoxo_qm12,red,frc620,frc3650,frc2912,55,56,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,3,6,0,0,9,0,5,3,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,43,0,0,0,0,55
2019mdoxo_qm13,blue,frc4242,frc6893,frc1446,50,42,0,15,5,5,5,0,5,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,35,0,0,0,0,50
2019mdoxo_qm13,red,frc2421,frc623,frc4821,42,50,0,9,5,2,5,0,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,33,0,2,0,0,42
2019mdoxo_qm14,blue,frc4472,frc5587,frc611,60,46,0,12,5,5,5,0,0,5,5,5,33,0,0,0,0,0,3,0,0,3,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,2,12,0,48,5,0,2,0,60
2019mdoxo_qm14,red,frc2914,frc6543,frc612,46,60,0,12,0,5,5,0,0,2,5,5,12,0,0,0,3,3,12,0,0,18,30,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,34,0,0,0,0,46
2019mdoxo_qm15,blue,frc7879,frc6213,frc6312,26,74,0,12,2,2,2,0,5,2,2,2,3,0,0,0,3,3,0,2,3,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,11,0,0,0,0,26
2019mdoxo_qm15,red,frc2534,frc116,frc620,74,26,0,12,5,5,5,0,5,5,5,5,27,0,0,0,12,3,6,1,6,21,30,5,5,5,8,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,3,6,3,12,0,56,0,0,0,0,74
2019mdoxo_qm16,blue,frc3714,frc5115,frc2421,3,77,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,9,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,0,0,0,0,0,3
2019mdoxo_qm16,red,frc836,frc6893,frc1895,77,3,0,12,2,5,5,5,0,5,5,5,24,0,0,0,3,0,3,0,27,6,0,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,38,0,0,0,0,77
