Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4472,19.44,20.57,0.00,2.48,1.52,1.83,1.64,2.46,1.36,1.10,1.70,1.05,9.10,0.97,1.83,0.02,-0.17,1.58,2.49,-0.34,-1.24,3.70,-0.83,1.25,1.51,1.89,5.40,1.60,0.30,1.03,0.60,0.86,-0.30,0.55,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.77,1.15,1.42,0.22,2.48,-0.04,18.20,0.78,-0.05,0.73,-0.02,19.44,
frc4541,19.70,19.53,0.00,2.81,1.43,1.83,1.00,1.54,2.71,1.30,1.25,0.97,9.73,-0.25,-0.08,-0.19,0.14,1.35,1.56,-0.52,-1.05,2.88,1.51,1.73,1.66,1.45,5.32,0.99,0.75,0.89,0.95,0.67,0.21,0.61,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.24,1.12,0.18,2.81,0.13,17.93,0.68,0.18,0.60,0.29,19.70,
frc339,15.20,15.64,0.00,5.96,1.00,1.28,1.80,-0.15,0.94,1.36,1.91,1.10,4.97,-0.72,-0.02,0.03,1.13,0.03,1.86,-0.09,-0.49,2.91,5.28,1.90,1.88,1.33,1.85,0.31,1.16,-0.07,0.22,0.16,0.04,-0.19,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.81,2.13,1.67,0.53,5.96,0.07,9.73,-0.05,0.01,-0.07,0.28,15.20,
frc4242,26.73,12.98,0.00,5.27,2.52,2.15,2.37,1.21,1.36,1.98,1.94,2.06,11.82,0.34,-0.21,-0.19,0.77,2.41,1.36,-0.58,1.77,4.34,1.73,1.63,1.43,1.79,3.53,0.95,0.90,1.10,0.68,0.08,0.03,0.06,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.65,1.76,2.03,0.96,5.27,-0.05,19.70,-0.06,-0.04,0.09,0.32,26.73,
frc5587,21.52,14.83,0.00,6.16,1.04,1.47,1.69,1.55,2.32,1.87,1.46,1.60,9.61,2.33,-0.13,-0.21,0.28,0.11,0.74,-0.45,-0.75,1.23,-0.01,1.39,1.50,2.00,5.26,1.27,-0.01,0.93,0.56,0.63,0.06,0.89,0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.16,1.91,1.56,0.98,6.16,-0.03,16.11,0.50,-0.09,0.67,-0.07,21.52,
frc1895,19.40,17.54,0.00,4.48,1.70,1.57,1.62,2.30,0.41,1.14,1.36,1.86,6.36,-2.19,-1.17,-0.18,-0.10,0.55,3.31,0.35,2.14,3.74,4.52,1.75,1.66,1.72,2.68,0.69,0.28,0.46,0.57,-0.18,0.33,0.03,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.27,1.76,0.16,4.48,0.07,12.77,-0.25,-0.06,-0.11,-0.21,19.40,
frc2900,11.39,16.20,0.00,5.12,1.18,1.25,1.45,0.40,0.89,1.05,1.21,1.19,2.77,4.06,1.96,-0.40,0.15,1.78,0.48,1.02,0.02,2.47,3.70,1.52,1.85,1.28,1.01,0.44,-0.68,0.46,-0.68,0.31,-0.29,0.30,-0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.90,1.29,2.06,0.27,5.12,0.04,6.25,0.08,-0.03,0.12,-0.21,11.39,
frc6543,14.10,17.02,0.00,3.97,1.77,2.30,2.05,0.15,0.70,1.36,1.82,1.71,7.10,-1.10,-0.60,0.30,0.97,0.24,2.55,0.66,-1.19,3.55,-0.63,1.84,1.32,2.05,0.67,-0.43,0.63,-0.01,0.16,-0.27,-0.03,-0.16,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.60,0.66,1.19,0.29,3.97,-0.05,11.32,-0.10,-0.18,-0.10,-0.01,14.10,
frc3714,8.46,18.31,0.00,0.39,1.26,1.53,1.52,0.82,0.20,1.53,1.76,1.26,3.99,-1.72,-0.88,-0.20,1.25,-0.36,0.26,1.51,3.42,0.67,3.10,1.07,0.24,0.70,-0.02,-0.17,-0.02,-0.36,-0.30,-0.46,0.02,-0.38,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.36,0.51,2.45,0.11,0.39,0.07,4.64,-0.19,0.41,-0.27,0.24,8.46,
frc5243,16.54,14.35,0.00,5.60,1.61,1.57,1.89,0.83,-0.06,2.40,1.72,1.63,7.30,-1.68,-0.92,-0.41,0.08,1.62,0.77,-0.32,0.42,2.55,-2.05,1.63,2.00,1.67,0.67,-0.43,0.28,-0.27,0.13,0.28,0.51,0.12,0.94,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.80,1.82,0.29,5.60,0.04,10.52,-0.10,-0.37,-0.27,-0.05,16.54,
frc5724,17.88,24.86,0.00,4.98,0.73,0.61,1.08,1.23,0.85,1.49,1.58,1.80,5.02,-1.55,-0.65,-0.21,1.41,2.30,0.50,0.33,1.68,4.32,-2.58,1.43,1.93,1.95,1.87,0.20,0.52,0.05,0.13,0.04,-0.29,0.06,0.60,0.67,0.67,0.67,0.67,0.67,0.67,2.21,1.89,1.31,-0.14,4.98,0.06,11.21,-0.26,0.20,-0.35,0.37,17.88,
frc611,19.19,17.12,0.00,2.59,1.24,0.82,1.32,0.93,0.53,1.32,1.14,1.31,7.56,1.41,-0.33,-0.21,0.27,1.49,2.94,-0.06,1.58,4.71,4.68,1.78,1.34,1.32,2.75,0.97,0.48,0.93,0.80,0.74,0.13,0.72,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.94,0.92,0.63,0.69,2.59,-0.05,15.02,0.39,-0.37,0.27,0.01,19.19,
frc7714,6.48,21.42,0.00,1.32,0.95,0.59,1.51,-0.52,0.07,0.80,0.84,1.18,-0.96,-2.54,-1.26,-0.24,1.12,1.21,-0.84,0.44,3.88,1.30,-0.01,0.94,1.35,0.86,0.94,-0.53,0.48,-0.57,0.54,-0.55,0.10,-0.34,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.88,0.97,1.43,-0.11,1.32,0.06,1.28,-0.38,0.12,-0.23,0.29,6.48,
frc1418,27.96,20.74,0.00,2.88,1.18,0.95,0.28,0.14,-0.33,0.59,0.57,0.49,10.72,9.50,4.42,2.42,0.86,1.91,0.56,-0.61,3.13,3.41,-2.69,1.69,1.60,1.96,7.82,1.47,1.13,1.37,1.99,1.68,2.21,1.24,1.78,0.67,0.67,0.67,0.67,0.67,0.67,1.47,0.55,0.79,1.02,2.88,-0.05,21.95,1.29,1.13,1.36,1.23,27.96,
frc7879,10.53,17.64,0.00,4.26,0.68,1.17,1.10,0.90,0.51,1.79,1.78,1.50,3.57,-2.50,-1.24,-0.19,0.52,1.61,1.73,0.98,-0.99,3.66,-0.94,1.43,1.28,1.57,0.03,0.17,-0.17,0.65,-0.71,-0.12,-0.37,-0.13,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,2.15,2.47,0.86,0.11,4.26,-0.01,7.26,-0.06,-0.31,-0.17,-0.30,10.53,
frc2534,30.20,11.66,0.00,3.74,1.54,2.22,2.29,0.19,1.82,2.29,2.17,2.40,13.73,4.62,-0.47,-0.21,2.63,2.82,0.92,-0.50,2.12,6.47,8.24,1.80,2.05,1.68,4.15,-0.09,1.47,0.26,1.76,-0.04,1.16,0.06,0.78,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.20,0.63,1.47,3.74,-0.04,24.34,-0.07,0.98,-0.11,0.51,30.20,
frc1727,21.88,20.32,0.00,5.45,1.29,1.99,1.62,2.15,1.00,2.14,2.60,2.19,11.66,-2.15,-0.72,-0.16,0.71,0.85,0.64,-0.08,-1.28,2.24,1.28,1.76,1.39,1.62,3.81,0.56,0.31,0.46,0.62,0.20,0.20,0.26,0.42,0.67,0.67,0.67,0.67,0.67,0.67,1.96,0.77,2.66,0.58,5.45,-0.05,17.71,0.37,0.47,0.61,0.22,21.88,
frc1731,23.92,21.40,0.00,3.27,0.76,0.82,0.17,0.48,0.09,2.04,1.28,1.35,7.42,1.27,1.91,-0.11,0.71,2.23,2.92,0.89,3.02,5.92,9.16,1.71,1.78,1.69,4.28,1.38,1.08,1.37,1.28,0.46,0.02,0.70,0.81,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.61,0.85,0.99,3.27,0.23,17.63,0.32,0.39,0.36,0.07,23.92,
frc620,18.86,10.23,0.00,4.41,1.25,2.14,1.61,0.57,1.71,1.37,1.72,1.73,8.37,-0.60,-0.45,0.08,1.25,3.08,0.33,-0.36,0.93,4.50,4.42,1.67,1.89,0.74,0.65,-0.10,0.64,-0.23,1.18,-0.33,0.42,-0.34,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.62,2.01,2.01,0.66,4.41,0.00,13.52,-0.31,-0.11,-0.25,-0.09,18.86,
frc3650,16.96,15.92,0.00,3.89,1.76,1.41,1.40,2.31,1.89,1.52,1.47,1.23,6.14,0.97,1.98,-0.44,1.07,1.66,0.14,-0.27,0.23,2.93,3.80,1.39,1.31,1.81,3.77,0.50,-0.25,0.14,-0.08,0.29,-0.20,0.09,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.43,2.55,0.69,3.89,-0.04,12.84,0.43,-0.25,0.25,-0.08,16.96,
frc2912,24.55,15.62,0.00,6.39,1.06,1.50,0.81,2.07,2.21,1.11,0.86,0.77,5.47,0.18,0.21,0.10,1.76,1.55,2.28,-0.18,2.58,5.65,4.95,1.88,1.79,2.00,4.46,0.90,0.47,1.17,0.43,0.28,-0.23,0.41,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.31,1.51,1.71,1.08,6.39,-0.05,15.58,0.41,-0.35,0.55,-0.21,24.55,
frc6893,9.42,14.60,0.00,3.78,1.09,1.57,1.40,-0.42,-0.32,1.39,0.30,0.74,2.31,5.40,2.66,0.33,1.32,1.45,-0.44,0.25,1.24,2.39,-1.68,1.23,1.66,1.51,-0.31,-0.07,-0.00,-0.23,0.06,0.01,-0.20,0.19,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.78,1.77,1.75,0.06,3.78,0.08,4.40,0.22,-0.05,0.41,-0.13,9.42,
frc1446,5.79,16.27,0.00,5.04,0.62,0.81,1.77,1.32,0.12,0.93,0.81,0.73,1.15,-2.09,-1.03,-0.19,1.11,-1.00,0.42,1.26,-0.56,0.59,-3.91,1.77,1.52,1.91,-0.43,-0.92,0.01,-0.78,0.63,-0.62,0.13,-0.46,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.44,2.07,-0.32,5.04,-0.04,1.31,-0.28,0.34,-0.46,0.03,5.79,
frc2421,9.28,19.97,0.00,4.06,1.32,0.70,1.67,-1.14,-0.07,1.62,1.10,1.20,4.28,-0.61,-0.04,-0.20,0.66,1.51,-1.60,0.79,1.52,0.71,-4.01,1.65,1.66,1.85,-1.29,0.73,0.27,0.29,0.14,0.16,-0.11,0.11,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.75,1.25,1.13,-0.28,4.06,0.05,3.70,-0.22,-0.01,-0.06,-0.13,9.28,
frc623,14.79,23.03,0.00,3.80,0.01,0.73,0.93,-0.20,-0.30,1.45,1.66,1.15,3.41,-0.80,0.15,-0.16,1.66,0.84,0.92,-0.02,0.61,3.30,6.00,1.74,1.83,1.53,3.67,-0.70,1.34,-0.46,1.32,-0.44,0.53,-0.16,0.53,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.04,1.51,0.03,3.80,-0.03,10.38,-0.09,1.52,0.08,1.41,14.79,
frc4821,20.27,15.34,0.00,2.01,1.91,2.03,1.45,0.79,0.43,2.02,0.78,1.60,7.80,2.42,-0.20,-0.17,1.89,1.02,0.25,0.30,6.24,3.02,-1.40,1.40,0.93,1.70,1.20,0.69,0.18,0.65,0.34,0.42,-0.27,0.14,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.11,1.14,0.97,0.08,2.01,-0.03,12.02,0.04,-0.01,-0.14,-0.15,20.27,
frc2914,11.11,8.12,0.00,3.28,1.07,2.39,1.15,1.51,-1.14,0.96,1.74,1.60,6.25,3.88,2.21,-0.16,0.93,-0.55,2.21,-0.29,-1.78,2.63,3.61,1.57,1.39,1.89,0.73,-0.11,0.14,0.42,0.55,-0.07,-0.19,0.00,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.97,0.90,1.59,0.90,3.28,-0.03,9.61,0.31,-0.21,0.28,-0.22,11.11,
frc612,24.81,17.31,0.00,3.66,1.22,1.75,1.36,1.06,1.76,1.49,1.76,1.03,6.17,-1.59,-0.70,-0.23,1.93,3.74,3.96,0.62,2.70,9.74,18.11,1.24,1.50,1.42,2.53,0.25,-0.03,0.82,0.37,0.08,0.03,-0.08,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.10,1.80,1.47,1.19,3.66,-0.01,18.45,-0.17,0.22,-0.18,-0.10,24.81,
frc6213,13.96,18.80,0.00,6.05,1.28,1.13,1.71,0.69,1.94,1.03,1.09,0.02,3.41,-1.07,-0.42,-0.16,1.06,1.88,-0.53,0.42,0.30,2.54,-4.21,1.77,2.08,1.56,1.65,0.19,-0.11,0.13,0.03,0.08,0.54,0.02,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.98,2.10,1.71,-0.21,6.05,0.05,7.61,-0.23,-0.24,-0.27,-0.03,13.96,
frc6312,5.61,18.78,0.00,2.42,1.25,0.48,0.05,-0.87,0.16,0.29,0.47,0.60,-1.84,1.00,-0.73,0.10,1.27,-0.38,0.56,0.63,2.71,1.44,0.89,1.49,0.73,0.57,0.89,-0.23,-0.14,-0.55,-0.14,-0.50,0.58,-0.48,0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.08,1.15,1.12,-0.30,2.42,-0.01,0.48,-0.24,0.68,0.00,0.24,5.61,
frc116,14.96,13.88,0.00,2.88,1.22,0.61,0.32,0.79,0.48,1.09,0.75,1.18,2.56,-1.85,-0.35,-0.37,2.07,1.75,2.51,0.15,-0.69,6.33,9.29,1.74,1.58,1.33,3.88,0.02,1.99,0.06,1.92,0.29,-0.14,-0.07,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.21,0.99,0.22,2.88,0.07,12.77,0.18,-0.11,-0.20,-0.04,14.96,
frc5115,7.90,17.98,0.00,3.28,-0.05,0.10,0.23,0.13,0.61,0.67,0.53,0.22,-0.03,1.59,2.21,-0.15,1.27,0.86,1.28,0.23,-1.83,3.45,-0.81,1.65,1.21,1.91,3.03,0.44,0.83,1.37,0.95,0.13,-0.12,0.07,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.66,0.66,0.16,3.28,-0.06,6.45,0.28,-0.23,0.20,0.10,7.90,
frc836,25.51,19.56,0.00,3.66,0.59,1.00,0.09,1.22,1.12,0.27,1.36,1.19,7.73,-1.42,-0.70,-0.13,1.67,3.14,1.41,1.33,2.28,6.29,13.42,1.87,1.36,2.03,5.55,1.43,2.88,1.41,2.33,-0.21,0.57,0.02,0.49,0.67,0.67,0.67,0.67,0.67,0.67,1.49,0.34,1.22,0.92,3.66,-0.04,19.57,-0.18,-0.14,-0.19,-0.09,25.51,
