MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019melew_qm1,blue,frc3609,frc237,frc2648,42,88,0,15,2,2,2,0,5,5,5,5,15,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,27,0,0,0,0,42
2019melew_qm1,red,frc3930,frc4906,frc5687,88,42,0,12,2,5,2,5,5,5,5,5,36,30,0,30,0,6,12,0,0,18,30,5,5,5,22,0,5,2,5,2,5,2,5,2,2,2,2,2,2,3,6,3,4,12,0,76,0,5,0,5,88
2019melew_qm10,blue,frc663,frc172,frc1768,70,48,0,9,2,2,5,5,5,5,5,5,36,30,0,30,6,3,0,0,0,9,0,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,61,0,5,0,5,70
2019melew_qm10,red,frc5633,frc4925,frc2523,48,70,0,12,5,5,5,0,0,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,36,0,0,0,0,48
2019melew_qm11,blue,frc2648,frc4564,frc4055,68,86,0,15,5,5,5,5,5,5,5,5,24,0,0,0,6,12,3,1,0,21,30,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,53,0,0,0,0,68
2019melew_qm11,red,frc4546,frc5687,frc6329,86,68,0,9,2,2,2,0,0,2,2,2,27,0,0,0,3,12,0,0,13,15,30,5,5,5,22,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,3,3,3,9,0,64,2,2,5,0,86
2019melew_qm12,blue,frc3467,frc5265,frc6153,70,58,0,12,5,2,5,5,0,5,5,5,24,0,0,0,12,3,3,0,6,18,30,5,5,5,10,2,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,3,3,12,0,52,0,0,0,0,70
2019melew_qm12,red,frc5494,frc1768,frc3609,58,70,0,12,2,5,5,5,5,5,5,5,21,0,0,0,0,12,3,2,0,15,30,5,5,5,10,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,1,12,0,46,0,0,0,0,58
2019melew_qm13,blue,frc2712,frc1729,frc237,56,63,0,12,2,5,5,0,0,5,2,5,15,0,0,0,12,6,3,0,0,21,30,5,5,5,8,0,5,2,2,0,0,0,2,2,2,2,2,2,2,6,3,3,1,12,0,44,0,0,0,0,56
2019melew_qm13,red,frc3525,frc4564,frc3930,63,56,0,9,2,5,5,2,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,3,5,5,12,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,6,3,9,0,54,0,0,0,0,63
2019melew_qm14,blue,frc4041,frc3451,frc133,64,54,0,12,2,2,5,5,0,5,5,5,18,0,0,0,6,6,12,0,0,24,30,5,5,5,10,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,52,0,0,0,0,64
2019melew_qm14,red,frc6172,frc4925,frc6161,54,64,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,3,6,0,0,12,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,39,0,0,0,0,54
2019melew_qm15,blue,frc2523,frc4906,frc663,63,57,0,15,2,2,2,0,5,5,5,2,15,0,0,0,6,3,3,0,9,12,0,5,5,5,12,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,39,2,0,2,0,63
2019melew_qm15,red,frc4546,frc6224,frc1519,57,63,0,15,2,2,2,0,0,5,2,2,15,0,0,0,0,3,12,3,0,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,1,15,0,42,0,0,2,0,57
2019melew_qm16,blue,frc6337,frc5687,frc2648,75,65,0,15,2,5,5,0,0,5,2,5,30,0,0,0,6,3,0,1,3,9,0,5,5,5,18,5,5,5,5,5,0,5,2,2,2,2,2,2,2,6,3,6,2,15,0,57,2,0,2,0,75
2019melew_qm16,red,frc4473,frc172,frc5633,65,75,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,1,3,18,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,50,0,0,0,0,65
2019melew_qm17,blue,frc1519,frc6161,frc2712,78,51,0,15,5,5,2,5,5,5,5,5,24,0,0,0,12,6,3,0,0,21,30,5,5,5,18,2,2,5,2,0,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,63,0,0,0,2,78
2019melew_qm17,red,frc4925,frc4041,frc3525,51,78,0,15,5,5,5,0,0,5,2,2,21,0,0,0,0,0,3,0,0,3,0,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,0,15,0,36,2,0,2,0,51
2019melew_qm18,blue,frc4473,frc2523,frc4055,62,44,0,15,5,5,5,0,0,5,5,5,27,0,0,0,3,6,3,0,0,12,0,5,5,5,8,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,47,0,0,0,0,62
2019melew_qm18,red,frc3609,frc6153,frc5633,44,62,0,15,2,2,2,0,5,2,2,2,12,0,0,0,0,0,3,0,0,3,0,5,5,5,14,0,5,2,5,0,2,0,5,2,2,2,2,2,2,6,3,6,0,15,0,29,0,2,0,0,44
2019melew_qm19,blue,frc6329,frc663,frc6172,78,44,0,9,5,5,5,0,0,5,2,2,30,30,30,0,6,6,12,0,3,24,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,66,5,0,5,0,78
2019melew_qm19,red,frc5494,frc5265,frc237,44,78,0,9,2,5,5,5,5,5,5,5,21,0,0,0,0,3,3,1,0,6,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,35,0,0,0,0,44
2019melew_qm2,blue,frc6161,frc6329,frc4925,69,57,0,15,5,5,5,2,5,2,5,2,21,0,0,0,6,6,3,1,0,15,30,5,5,5,18,5,2,2,2,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,54,5,0,0,0,69
2019melew_qm2,red,frc4055,frc663,frc5265,57,69,0,12,2,2,2,5,0,5,5,5,24,0,0,0,3,0,3,0,3,6,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,0,12,0,42,0,2,0,0,57
2019melew_qm20,blue,frc4546,frc3451,frc172,50,97,0,6,5,5,5,5,5,5,2,2,18,0,0,0,0,6,12,0,0,18,30,0,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,44,0,0,0,0,50
2019melew_qm20,red,frc4906,frc1768,frc133,97,50,0,15,5,5,5,5,5,5,5,5,42,30,30,0,6,0,12,0,0,18,30,5,5,5,22,5,2,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,82,5,0,5,0,97
2019melew_qm21,blue,frc6337,frc6224,frc4564,63,65,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,48,0,0,0,0,63
2019melew_qm21,red,frc2648,frc3930,frc3467,65,63,0,15,2,5,5,0,0,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,3,6,3,15,0,50,0,0,0,0,65
2019melew_qm22,blue,frc5687,frc1519,frc4473,82,64,0,15,5,5,2,2,0,5,5,5,33,30,30,0,12,3,3,0,0,18,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,0,67,5,0,5,0,82
2019melew_qm22,red,frc1729,frc6172,frc3451,64,82,0,9,2,5,5,5,0,5,5,5,24,0,0,0,6,3,12,0,0,21,30,5,5,5,10,0,0,2,5,0,2,0,5,2,2,2,2,2,2,3,3,3,1,9,0,55,0,0,0,0,64
2019melew_qm23,blue,frc4906,frc6224,frc4925,47,88,0,15,5,5,5,0,0,5,5,2,18,0,0,0,3,0,0,0,3,3,0,5,5,5,8,5,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,47
2019melew_qm23,red,frc3609,frc172,frc133,88,47,0,15,2,5,5,5,0,5,5,5,36,30,30,0,3,6,12,1,0,21,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,73,5,0,5,0,88
2019melew_qm24,blue,frc5494,frc5687,frc6161,62,50,0,12,2,2,2,2,5,2,2,2,15,0,0,0,3,12,6,0,0,21,30,5,5,5,14,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,50,0,0,0,0,62
2019melew_qm24,red,frc6337,frc2712,frc663,50,62,0,12,5,5,5,0,0,2,2,2,9,0,0,0,6,12,3,0,0,21,30,5,5,5,8,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,3,3,1,12,0,38,0,0,0,0,50
2019melew_qm25,blue,frc237,frc5633,frc3930,48,64,0,12,2,5,5,0,0,0,2,2,24,30,30,0,0,0,0,0,0,0,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,1,12,0,36,5,0,5,0,48
2019melew_qm25,red,frc4041,frc5265,frc2648,64,48,0,12,2,0,2,5,2,5,5,2,18,0,0,0,12,0,6,0,0,18,30,5,5,5,16,5,2,5,0,2,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,52,0,0,0,0,64
