Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3609,9.74,18.12,0.00,5.29,0.54,1.03,0.92,-0.26,0.90,1.28,1.49,1.23,2.70,0.26,-0.05,0.70,-1.07,0.95,1.05,-0.13,-0.86,0.93,-2.64,1.70,1.33,1.71,1.68,-0.55,0.02,0.70,-0.15,-0.12,0.25,-0.14,0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.95,1.35,2.12,-0.08,5.29,-0.06,5.31,-0.21,0.34,-0.06,0.05,9.74,
frc237,22.66,23.24,0.00,3.42,1.57,2.12,1.44,1.09,1.34,1.93,1.23,1.78,11.79,7.47,7.86,-0.29,2.82,-0.76,2.22,-0.14,-0.19,4.28,4.03,1.75,1.77,1.69,3.36,0.92,0.63,1.68,0.28,0.99,-0.50,0.85,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.21,0.74,1.02,0.99,3.42,-0.05,19.43,1.35,-0.22,1.26,-0.16,22.66,
frc2648,17.81,24.42,0.00,5.98,0.91,1.56,1.84,0.01,0.62,1.49,1.18,0.98,5.66,-5.21,-0.89,-4.18,2.58,1.30,0.46,-0.03,-0.22,4.34,4.36,1.68,1.62,1.70,2.04,1.39,0.26,1.16,0.57,1.04,-0.38,0.68,-0.54,0.67,0.67,0.67,0.67,0.67,0.67,2.37,1.61,2.23,0.13,5.98,0.05,12.05,-0.19,-0.99,-0.19,-0.74,17.81,
frc3930,16.86,20.14,0.00,4.18,0.73,1.75,1.62,-0.31,0.69,0.06,0.92,1.65,7.59,2.62,-0.25,2.95,-1.68,2.18,1.29,0.00,-0.03,1.80,2.37,1.55,1.71,1.49,3.32,-0.36,1.51,-0.11,2.10,-0.57,1.36,-0.50,1.35,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.31,2.01,0.51,4.18,0.08,12.71,-0.46,1.28,0.08,1.03,16.86,
frc4906,22.70,15.53,0.00,6.11,1.64,1.65,0.32,2.29,1.64,1.46,1.24,1.29,6.32,4.23,2.85,-0.97,2.22,-0.29,1.51,-0.23,3.11,3.44,0.81,1.72,1.82,1.73,3.72,1.42,-0.76,0.78,-0.62,0.76,-0.76,1.46,-0.92,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.98,1.85,0.70,6.11,-0.01,13.48,0.58,-0.49,0.36,-0.37,22.70,
frc5687,35.99,21.34,0.00,2.41,0.27,1.00,1.01,-0.21,0.77,1.43,1.45,0.95,15.88,15.36,6.77,8.73,2.67,1.93,1.99,0.07,0.74,6.58,14.84,1.70,1.50,1.70,10.37,2.44,1.55,1.92,2.13,2.64,1.90,2.96,2.09,0.67,0.67,0.67,0.67,0.67,0.67,0.26,1.26,1.26,1.96,2.41,-0.02,32.84,2.12,1.43,1.90,1.18,35.99,
frc663,19.46,13.53,0.00,2.59,0.92,1.13,1.37,1.24,1.41,1.27,1.68,1.55,7.27,1.26,1.02,0.67,1.47,2.14,0.97,-0.24,1.60,4.59,3.14,1.69,1.71,1.48,3.42,0.38,1.13,0.38,0.28,-0.26,0.70,-0.16,0.74,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.60,0.31,0.84,2.59,-0.04,15.27,0.07,0.38,0.09,0.33,19.46,
frc172,25.84,29.69,0.00,3.11,2.07,1.78,2.23,2.29,1.06,1.70,1.55,1.70,12.64,5.54,3.22,2.68,0.43,3.55,2.58,0.98,0.65,6.56,8.31,1.24,1.75,1.68,2.89,1.56,-0.12,0.82,0.31,0.24,0.17,0.52,0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.31,0.66,1.17,0.64,3.11,0.04,22.09,0.63,0.38,0.56,0.19,25.84,
frc1768,28.50,20.89,0.00,2.93,0.82,0.94,1.49,-0.01,0.33,0.39,0.90,0.61,10.14,13.31,8.32,4.96,1.88,2.29,1.38,0.39,1.65,5.55,8.20,1.80,1.55,1.72,8.25,1.83,0.55,2.18,1.05,1.79,1.00,1.80,1.05,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.82,1.43,1.34,2.93,0.09,23.93,1.54,0.98,1.75,1.03,28.50,
frc5633,7.87,28.09,0.00,2.89,0.71,0.64,1.18,0.18,1.08,0.67,0.91,0.85,2.30,-0.55,-0.83,-2.23,1.24,1.20,-0.58,0.98,-0.42,1.86,0.54,1.74,1.53,1.57,1.24,0.71,-0.25,1.01,-0.72,0.42,-0.13,0.40,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.35,0.91,1.11,-0.92,2.89,0.01,5.40,-0.32,0.14,-0.32,-0.11,7.87,
frc4925,12.39,34.03,0.00,5.35,2.01,1.96,2.34,-0.51,-0.24,1.61,1.51,1.16,4.22,-2.17,0.96,-2.77,2.05,-0.81,-0.21,0.17,0.92,1.03,0.35,1.67,1.67,1.72,0.86,1.37,-0.45,0.55,-0.55,0.41,-0.88,0.67,-1.10,0.67,0.67,0.67,0.67,0.67,0.67,2.71,0.73,1.64,-0.36,5.35,-0.03,6.11,0.59,-0.60,0.45,-0.64,12.39,
frc2523,25.62,13.03,0.00,4.08,1.87,1.35,1.57,-0.61,-0.53,1.72,2.33,1.66,10.54,5.16,-2.33,7.83,1.74,2.36,1.78,-0.26,0.60,5.88,6.56,1.48,1.76,1.53,4.52,1.09,1.17,1.07,1.06,0.13,1.25,0.53,0.99,0.67,0.67,0.67,0.67,0.67,0.67,1.16,2.31,1.37,1.53,4.08,-0.02,20.93,-0.06,1.28,0.07,1.31,25.62,
frc4564,25.71,23.67,0.00,2.32,0.87,1.43,1.37,1.86,1.70,1.64,1.50,1.71,8.69,1.88,3.72,-1.66,1.62,3.32,4.60,0.26,1.14,9.54,16.54,1.51,1.33,1.71,4.03,1.02,0.16,1.44,-0.07,1.59,-0.33,0.95,-0.70,0.67,0.67,0.67,0.67,0.67,0.67,1.80,1.02,0.66,1.07,2.32,0.05,22.26,0.95,-0.46,0.57,-0.50,25.71,
frc4055,20.66,26.00,0.00,5.71,2.07,1.93,1.70,0.16,-0.15,1.62,2.07,1.59,10.14,-0.52,-1.78,1.05,2.69,2.13,-1.69,1.15,0.29,3.13,3.00,1.77,1.81,1.69,1.38,0.43,0.80,0.39,1.10,-0.09,0.85,0.23,0.84,0.67,0.67,0.67,0.67,0.67,0.67,2.06,0.97,2.16,0.07,5.71,0.08,14.65,0.16,0.21,-0.18,0.19,20.66,
frc4546,14.38,25.24,0.00,3.42,1.54,1.54,1.65,0.51,-0.52,1.80,1.13,0.32,3.23,-2.95,-0.15,-2.66,0.71,2.09,2.36,0.21,1.92,5.16,9.18,1.26,1.81,1.52,0.65,-0.02,0.21,-0.32,0.30,0.21,0.04,0.16,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.44,1.19,0.29,3.42,0.05,9.04,-0.18,-0.05,0.44,-0.37,14.38,
frc6329,32.40,22.26,0.00,3.58,1.17,0.72,0.85,0.49,0.59,0.63,0.63,0.36,13.12,11.29,3.02,8.65,0.24,1.77,0.99,0.22,3.87,3.00,2.04,1.67,1.72,1.70,8.83,1.91,1.79,1.84,1.89,1.91,1.90,1.58,1.64,0.67,0.67,0.67,0.67,0.67,0.67,1.06,0.65,1.54,1.00,3.58,-0.05,24.95,1.49,1.35,1.25,1.29,32.40,
frc3467,29.58,23.38,0.00,5.10,1.14,1.11,1.70,0.37,0.23,1.90,2.01,1.71,9.26,1.78,-0.42,2.71,4.52,3.40,1.34,0.24,4.22,9.26,16.88,1.70,1.73,1.69,1.74,0.25,1.82,-0.31,0.77,-0.44,1.33,-0.49,1.09,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.61,1.58,1.29,5.10,-0.01,20.26,-0.30,0.76,-0.04,0.79,29.58,
