MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mial2_qm1,blue,frc4835,frc33,frc904,70,68,0,15,5,5,5,2,0,5,5,2,24,0,0,0,3,12,6,0,0,21,30,5,5,5,10,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,55,0,0,0,0,70
2019mial2_qm1,red,frc3538,frc3617,frc5239,68,70,0,15,2,2,2,2,0,5,2,2,21,30,0,30,12,3,3,0,0,18,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,0,53,0,5,0,5,68
2019mial2_qm10,blue,frc4375,frc5067,frc5535,59,86,0,15,2,2,5,5,5,5,5,5,18,0,0,0,6,3,6,1,3,15,30,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,41,0,0,0,0,59
2019mial2_qm10,red,frc33,frc5530,frc7172,86,59,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,12,3,1,3,18,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,68,0,2,0,0,86
2019mial2_qm11,blue,frc1701,frc7156,frc7768,35,42,0,15,5,5,5,0,2,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,20,0,0,0,0,35
2019mial2_qm11,red,frc7861,frc6557,frc2834,42,35,0,12,2,2,2,2,5,5,5,2,9,0,0,0,0,3,12,0,0,15,30,0,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,0,6,6,3,12,0,30,0,0,0,0,42
2019mial2_qm12,blue,frc7823,frc5114,frc4384,53,23,0,15,2,2,5,0,0,2,5,5,18,0,0,0,3,6,3,0,0,12,0,5,5,5,8,5,5,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,38,0,0,0,0,53
2019mial2_qm12,red,frc7751,frc5661,frc7826,23,53,0,9,2,2,2,0,0,5,5,2,6,0,0,0,0,3,3,0,0,6,0,0,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,9,0,14,0,0,0,0,23
2019mial2_qm13,blue,frc6077,frc5203,frc7084,42,59,0,15,2,2,0,2,2,2,2,2,0,0,0,0,3,3,0,0,3,6,0,5,5,5,18,2,2,2,2,2,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,24,0,0,0,0,42
2019mial2_qm13,red,frc4381,frc33,frc5230,59,42,0,9,5,5,5,5,2,5,5,5,24,0,0,0,3,12,3,1,0,18,30,3,5,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,50,0,0,0,0,59
2019mial2_qm14,blue,frc7768,frc5150,frc3538,88,43,0,15,2,2,5,0,0,5,5,5,30,30,0,30,3,6,12,0,10,21,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,63,0,5,0,5,88
2019mial2_qm14,red,frc4375,frc5612,frc6557,43,88,0,15,2,2,5,5,5,5,5,5,18,0,0,0,6,0,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,28,0,0,0,0,43
2019mial2_qm15,blue,frc2834,frc7751,frc7156,37,68,0,15,2,2,2,2,5,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,22,0,0,0,0,37
