Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4835,14.15,21.89,0.00,5.23,0.56,1.45,1.01,1.64,1.87,1.14,0.95,0.49,3.21,1.42,2.49,-0.50,0.59,2.31,-0.22,-0.04,-0.27,2.67,1.94,1.73,1.83,1.61,3.31,-0.01,-0.12,0.25,-0.39,0.59,-0.09,0.74,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.23,2.24,1.88,0.11,5.23,-0.07,9.19,0.35,-0.14,0.43,-0.15,14.15,
frc33,35.26,25.19,0.00,4.50,2.03,1.89,1.76,0.54,1.39,1.39,1.35,1.46,12.76,1.13,-1.07,-0.06,2.27,4.27,2.80,0.22,1.28,9.34,16.33,1.55,1.76,1.34,7.38,1.79,2.65,1.61,1.81,0.83,0.76,0.95,0.77,0.67,0.67,0.67,0.67,0.67,0.67,1.75,1.92,1.65,1.62,4.50,0.08,29.48,0.68,0.13,0.50,-0.10,35.26,
frc904,27.52,16.99,0.00,5.17,2.06,2.02,2.05,1.86,1.40,1.93,2.43,1.92,10.57,2.54,0.30,-0.39,0.61,1.88,4.02,0.04,1.65,6.51,7.00,1.81,1.59,1.82,3.62,0.98,-0.23,1.40,0.48,0.28,-0.17,0.47,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.16,2.06,1.11,5.17,-0.08,20.71,-0.06,-0.15,-0.00,0.01,27.52,
frc3538,42.19,17.17,0.00,5.50,1.25,1.03,1.56,0.57,1.64,1.48,1.24,1.23,16.23,12.14,7.51,4.98,3.09,2.63,4.44,0.01,0.43,10.16,23.00,1.87,1.74,1.81,9.88,2.94,0.86,3.04,0.97,1.83,1.56,2.03,1.93,0.67,0.67,0.67,0.67,0.67,0.67,2.18,1.40,1.38,2.02,5.50,-0.02,36.26,1.55,0.85,1.26,1.03,42.19,
frc3617,10.49,15.17,0.00,5.25,1.17,1.59,1.70,0.13,0.98,1.86,0.97,1.15,4.72,0.65,-1.04,2.22,1.40,-0.39,-0.53,0.18,0.19,0.49,-4.92,1.81,1.62,1.28,-0.17,-0.31,-0.25,-0.37,0.04,-0.15,0.25,-0.39,0.28,0.67,0.67,0.67,0.67,0.67,0.67,2.22,1.15,2.27,-0.11,5.25,0.02,5.05,-0.14,0.34,-0.32,0.32,10.49,
frc5239,10.72,17.76,0.00,2.89,0.42,0.87,0.64,1.02,-0.36,1.10,0.31,0.07,0.98,1.28,-0.98,2.33,0.51,1.03,0.50,-0.19,4.55,2.05,-1.08,0.97,1.63,1.56,0.25,-0.35,0.27,-0.27,0.05,-0.31,0.46,-0.19,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.77,1.35,0.31,2.89,0.01,3.28,-0.26,0.38,-0.15,0.34,10.72,
frc4375,25.42,23.34,0.00,5.64,1.41,1.21,1.91,3.26,2.81,1.61,1.22,1.53,10.80,2.59,-0.04,-0.03,1.87,1.72,0.81,0.20,-0.48,4.40,3.04,1.86,1.76,1.63,5.07,1.07,0.80,1.10,1.04,-0.05,0.03,-0.08,0.19,0.67,0.67,0.67,0.67,0.67,0.67,2.38,1.82,1.35,0.75,5.64,0.02,20.26,0.06,0.00,0.02,-0.03,25.42,
frc5067,22.59,19.54,0.00,5.19,2.13,1.44,2.09,0.42,0.39,1.48,1.67,1.23,9.70,1.10,2.49,-0.77,1.27,1.23,1.09,0.54,0.61,3.59,5.43,1.80,1.59,1.66,3.50,1.64,1.09,1.20,1.47,0.28,0.11,0.40,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.62,1.70,0.61,5.19,0.08,16.79,0.24,-0.20,0.36,-0.21,22.59,
frc5535,9.84,17.66,0.00,1.97,1.00,1.22,1.21,0.15,-0.66,1.30,1.77,1.28,2.92,-0.54,-0.31,0.35,1.67,1.34,0.76,0.06,2.74,3.77,1.87,1.25,1.56,1.30,-1.57,-0.03,-0.35,-0.73,-0.03,-0.28,-0.09,-0.35,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.33,1.63,1.03,0.13,1.97,0.12,5.12,-0.20,0.05,-0.19,0.05,9.84,
frc5530,25.66,19.56,0.00,3.40,1.49,1.57,1.95,1.04,1.42,0.64,1.13,1.32,9.74,-0.36,0.18,0.08,1.70,2.35,2.71,-0.14,-0.24,6.76,15.88,1.75,1.31,1.76,6.00,2.13,0.57,1.30,1.10,0.12,0.44,0.40,0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.15,1.13,1.12,3.40,-0.05,22.50,0.93,0.51,0.92,0.51,25.66,
