MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mialp_qm1,blue,frc3536,frc6573,frc7154,64,26,0,15,5,5,5,5,2,5,5,5,21,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,0,0,2,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,64
2019mialp_qm1,red,frc5560,frc5183,frc7244,26,64,0,6,2,2,2,0,0,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,3,8,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,6,0,20,0,0,0,0,26
2019mialp_qm10,blue,frc5525,frc5260,frc2246,27,38,0,6,2,2,5,0,5,2,2,2,6,0,0,0,3,0,0,0,0,3,0,3,5,5,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,6,0,21,2,0,0,0,27
2019mialp_qm10,red,frc7109,frc862,frc7020,38,27,0,9,5,5,5,0,5,5,5,5,21,30,0,0,0,3,3,0,0,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,29,0,0,0,0,38
2019mialp_qm11,blue,frc6079,frc4737,frc4983,55,63,0,15,2,5,5,0,5,5,5,5,18,0,0,0,6,3,3,3,6,12,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,0,55
2019mialp_qm11,red,frc4392,frc6573,frc6637,63,55,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,6,2,9,12,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,42,0,0,0,0,63
2019mialp_qm12,blue,frc6077,frc5072,frc5183,39,51,0,15,0,0,0,5,2,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,24,0,0,0,0,39
2019mialp_qm12,red,frc2075,frc5560,frc7155,51,39,0,6,5,5,5,5,5,2,5,5,21,0,0,0,12,6,0,0,0,18,30,5,5,3,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,6,0,45,0,0,0,0,51
2019mialp_qm13,blue,frc7084,frc5709,frc6599,11,50,0,9,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,2,0,0,0,0,11
2019mialp_qm13,red,frc3537,frc5314,frc5505,50,11,0,15,5,5,5,0,5,5,5,5,24,0,0,0,0,3,0,0,0,3,0,5,5,5,8,5,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,50
