Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3536,24.32,13.00,0.00,5.01,1.88,1.91,1.75,1.13,0.47,1.42,1.36,0.82,9.33,0.87,2.42,-1.06,1.29,2.64,3.50,-0.20,-0.47,7.26,16.23,1.93,0.79,2.01,3.20,0.88,-0.63,0.80,-0.68,2.31,0.09,2.56,0.13,0.67,0.67,0.67,0.67,0.67,0.67,2.18,1.31,1.66,0.99,5.01,0.14,19.79,0.39,-0.28,0.39,-0.24,24.32,
frc6573,14.68,16.16,0.00,6.14,0.84,1.43,1.77,2.55,1.39,1.64,1.75,2.14,5.41,-1.82,-0.72,-0.46,2.44,0.47,0.64,0.43,-1.43,3.28,0.75,2.18,2.03,1.40,1.27,-0.40,-0.66,0.01,0.06,-0.28,-0.30,-0.34,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.30,2.36,0.51,0.45,6.14,0.19,9.96,-0.16,-0.34,-0.13,0.02,14.68,
frc7154,19.25,12.76,0.00,4.05,1.41,1.54,1.18,2.34,0.25,1.59,1.68,1.63,5.94,-0.42,1.06,-0.92,3.45,0.96,0.02,0.05,2.43,4.61,6.65,1.49,0.81,1.90,2.22,-0.09,-0.04,-0.05,0.44,0.06,-0.09,0.11,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.35,1.65,0.78,4.05,-0.00,12.77,0.11,0.04,0.14,0.06,19.25,
frc5560,12.21,15.27,0.00,2.79,1.06,1.26,1.29,0.26,1.38,1.05,1.32,1.56,2.65,-1.89,-0.77,-0.54,1.46,1.18,4.08,0.58,-1.11,6.77,10.95,1.65,1.77,1.68,1.12,0.25,-0.52,0.34,-0.27,-0.09,-0.09,-0.06,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.41,0.74,0.78,2.79,-0.09,10.53,-0.27,-0.13,-0.18,0.04,12.21,
frc5183,11.97,20.33,0.00,4.94,0.37,0.06,0.44,1.14,0.22,1.20,0.96,0.68,1.62,-0.33,-0.65,0.31,0.21,0.09,1.48,0.33,2.30,1.83,-0.35,1.93,1.99,1.37,1.28,0.41,-0.10,0.24,0.17,0.08,0.12,0.09,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.24,1.59,1.10,-0.13,4.94,0.16,4.73,0.10,0.04,-0.09,-0.00,11.97,
frc7244,15.36,24.30,0.00,3.30,1.90,1.86,1.38,0.86,1.46,0.81,0.41,0.25,5.50,2.99,0.28,-0.49,0.95,1.50,0.12,-0.11,1.34,2.63,1.25,1.33,1.97,1.85,2.59,0.76,0.86,0.58,0.76,0.46,-0.27,0.32,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.31,1.29,1.04,0.24,3.30,0.07,10.72,-0.00,-0.03,0.02,-0.08,15.36,
frc5525,9.59,4.35,0.00,2.00,0.98,0.90,1.46,-0.21,-0.59,1.39,1.37,1.52,4.10,-0.76,-0.73,0.14,1.42,-0.83,0.00,-0.34,2.53,0.58,-2.97,1.66,0.93,1.85,0.37,0.19,0.76,-0.10,0.28,0.32,0.01,0.34,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.03,0.28,0.62,0.46,2.00,0.03,5.06,0.08,0.04,-0.12,0.00,9.59,
frc5260,18.47,16.04,0.00,3.52,0.69,0.24,0.63,-0.11,2.49,1.06,0.60,0.62,1.35,-1.06,-0.39,-0.42,0.89,1.38,-0.65,-1.06,3.60,1.59,3.12,1.63,1.47,1.60,8.40,0.98,0.58,0.75,0.30,1.03,0.44,1.07,0.79,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.10,1.76,0.05,3.52,0.04,11.35,0.60,0.49,0.15,0.41,18.47,
frc2246,0.92,17.53,0.00,2.23,0.46,0.97,1.27,0.06,0.89,0.61,-0.23,0.28,-0.68,-0.07,-0.61,0.55,0.77,0.42,-0.04,0.52,-2.16,1.24,-2.43,0.52,2.13,1.19,0.28,0.14,-0.24,0.07,0.12,-0.26,-0.00,-0.33,0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.52,0.29,-0.14,2.23,0.03,0.84,-0.01,0.04,-0.17,0.03,0.92,
frc7109,1.52,12.66,0.00,1.65,0.05,0.55,1.16,0.90,0.46,0.24,-0.11,0.02,-0.77,0.29,-2.26,-0.13,-1.11,0.69,0.38,-0.07,0.46,-0.35,-0.68,-0.65,0.82,1.02,0.53,-0.40,1.15,-0.42,0.55,-0.62,0.45,-0.75,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.08,2.23,0.26,1.65,0.20,-0.60,-0.31,0.48,-0.35,0.14,1.52,
frc862,28.40,6.53,0.00,3.72,1.67,2.01,2.45,1.59,0.49,2.26,1.69,1.08,11.20,4.52,0.61,-0.21,2.87,2.94,0.15,-0.17,3.38,6.03,12.10,1.38,1.84,1.60,4.08,0.75,1.01,0.67,1.26,0.51,0.66,0.47,0.65,0.67,0.67,0.67,0.67,0.67,0.67,1.02,1.28,1.56,1.52,3.72,0.02,21.30,0.12,0.02,0.09,-0.06,28.40,
frc7020,16.60,13.86,0.00,4.77,2.25,2.23,1.83,-0.66,0.34,1.79,1.85,2.06,6.70,2.69,1.19,-0.82,1.30,1.58,1.71,-0.45,0.55,4.69,1.90,1.30,1.83,2.05,-0.11,-0.14,-0.41,0.24,-0.43,0.20,-0.32,0.23,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.34,1.89,0.53,4.77,-0.12,11.28,0.17,-0.22,0.20,-0.16,16.60,
frc6079,24.56,10.82,0.00,6.52,1.47,1.63,2.17,1.94,0.74,1.92,2.18,0.99,7.73,-3.59,-1.23,-1.32,2.99,1.38,2.88,-0.17,1.62,7.23,8.47,1.90,1.36,2.05,1.46,0.24,0.64,0.53,0.39,-0.31,-0.18,-0.10,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.26,2.11,1.62,0.95,6.52,0.03,16.42,-0.24,-0.24,-0.25,-0.16,24.56,
frc4737,21.40,15.00,0.00,4.72,2.15,2.67,2.29,1.11,1.19,2.11,2.28,2.13,11.97,0.63,0.17,0.30,0.64,-0.25,1.94,0.15,1.14,2.14,-0.37,1.63,1.54,0.69,1.43,-0.15,0.56,0.03,0.59,0.32,-0.02,0.32,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.61,2.02,0.69,4.72,0.06,15.54,-0.09,0.16,-0.01,-0.08,21.40,
frc4983,8.79,19.14,0.00,2.90,0.55,1.56,2.08,-0.57,-0.24,1.52,0.90,1.36,3.32,2.13,2.79,-0.47,-0.24,-0.51,2.04,0.81,-0.81,1.34,-4.12,1.85,1.53,1.94,2.03,0.53,-0.22,0.34,0.15,0.41,0.25,0.10,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.37,0.54,-0.07,2.90,-0.05,6.70,0.62,-0.22,0.68,-0.15,8.79,
frc4392,18.30,23.04,0.00,2.54,1.59,1.74,1.87,1.17,0.76,2.41,2.31,1.96,11.29,-0.01,0.76,0.10,0.43,-0.04,1.28,0.34,0.38,1.79,-0.95,1.24,1.98,1.67,2.31,0.11,0.48,1.01,0.82,0.29,0.35,0.47,0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.81,0.80,1.22,0.03,2.54,-0.03,15.39,0.02,-0.12,0.09,-0.05,18.30,
