MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mibel_qm1,blue,frc1504,frc6101,frc3770,41,20,0,12,0,2,2,0,2,5,0,0,3,0,0,0,3,3,12,0,0,18,30,5,5,3,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,29,0,0,0,0,41
2019mibel_qm1,red,frc247,frc3773,frc4840,20,41,0,12,2,2,2,0,0,0,0,2,0,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,8,0,2,0,0,20
2019mibel_qm10,blue,frc7056,frc6914,frc5530,49,30,0,12,5,5,5,0,0,5,5,5,24,0,0,0,3,0,0,1,6,3,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,31,0,0,0,0,49
2019mibel_qm10,red,frc3773,frc2137,frc6013,30,49,0,9,5,5,0,0,0,5,5,2,12,0,0,0,3,3,0,2,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,18,0,0,0,0,30
2019mibel_qm11,blue,frc240,frc3656,frc1504,58,18,0,15,2,5,5,5,0,5,5,2,15,0,0,0,0,12,3,0,3,15,30,5,5,5,10,2,0,2,0,2,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,40,2,0,0,0,58
2019mibel_qm11,red,frc6101,frc5915,frc1502,18,58,0,9,2,2,2,0,0,5,5,2,6,0,0,0,0,0,3,1,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,9,0,0,0,0,18
2019mibel_qm12,blue,frc3875,frc7175,frc5567,31,30,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,3,12,1,3,15,30,5,3,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,3,9,0,19,0,0,0,0,31
2019mibel_qm12,red,frc7859,frc4395,frc3770,30,31,0,15,0,0,2,0,0,2,2,2,0,0,0,0,3,0,3,1,3,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,12,0,0,0,0,30
2019mibel_qm13,blue,frc1076,frc6954,frc1025,53,36,0,15,5,5,5,5,0,5,5,5,21,0,0,0,0,3,12,1,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
2019mibel_qm13,red,frc247,frc6057,frc5619,36,53,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,6,3,0,3,12,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,24,0,0,0,0,36
