Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1504,11.74,9.84,0.00,2.26,0.67,2.17,1.32,1.09,-0.76,2.23,0.43,0.63,4.63,0.00,0.00,0.00,-2.38,2.37,2.08,-0.47,1.57,2.33,2.37,1.50,1.72,0.96,0.95,0.18,0.57,0.24,0.83,0.04,-0.15,-0.26,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.71,1.94,0.74,0.31,2.26,0.00,7.91,0.19,-0.37,-0.20,-0.31,11.74,
frc6101,13.62,16.45,0.00,4.15,1.14,0.33,1.62,-0.34,2.62,1.35,1.04,0.82,3.72,0.00,0.00,0.00,3.40,-0.69,2.27,0.27,-1.00,5.13,6.35,1.89,1.25,1.72,1.61,-0.69,0.69,0.10,0.37,-0.22,-0.12,-0.29,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.26,0.74,1.56,0.77,4.15,-0.01,10.46,-0.04,-0.21,-0.03,-0.11,13.62,
frc3770,8.78,5.08,0.00,6.11,-0.83,-1.09,-1.17,1.10,0.05,0.64,0.64,0.05,-2.16,0.00,0.00,0.00,0.49,1.45,0.23,-0.56,-0.61,2.33,1.51,1.69,1.67,1.81,3.11,0.37,0.30,0.08,0.55,0.08,-0.08,0.09,0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.88,2.60,1.64,0.15,6.11,-0.05,3.28,-0.06,0.02,-0.03,0.19,8.78,
frc247,13.34,12.59,0.00,2.91,1.81,1.68,1.81,1.06,1.61,0.74,1.02,1.13,6.32,0.00,0.00,0.00,2.23,-1.36,1.12,-0.41,0.33,1.88,3.75,1.69,1.42,1.92,1.91,-0.11,0.44,0.13,0.51,-0.07,0.19,-0.03,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.65,0.98,0.31,0.25,2.91,-0.07,10.10,-0.02,-0.04,-0.00,-0.26,13.34,
frc3773,13.69,11.03,0.00,4.41,1.38,1.59,0.90,-0.14,-0.05,1.28,0.97,1.08,3.00,0.00,0.00,0.00,-0.66,2.94,1.69,0.10,1.53,3.90,-0.22,1.60,1.75,1.48,0.84,0.72,-0.19,0.45,-0.17,0.28,-0.26,0.01,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.82,2.00,0.27,4.41,-0.09,7.75,-0.07,0.06,-0.03,-0.07,13.69,
frc4840,5.77,21.02,0.00,3.21,0.79,0.68,0.91,0.95,1.67,0.60,0.61,0.92,1.59,0.00,0.00,0.00,0.32,-0.71,1.24,-0.22,-2.30,0.87,0.51,1.68,1.46,1.72,2.41,-0.27,0.18,-0.21,0.12,-0.16,-0.10,-0.06,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.06,2.03,0.41,-0.19,3.21,0.22,4.86,0.13,0.43,0.23,0.25,5.77,
frc7056,13.46,6.00,0.00,4.70,0.33,0.56,1.50,-0.60,0.07,2.56,2.16,1.50,4.95,0.00,0.00,0.00,3.64,-0.38,-0.81,-0.57,1.00,2.79,0.22,1.90,1.58,1.35,0.02,0.12,0.38,-0.00,0.71,-0.13,0.10,-0.07,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.68,2.13,1.46,1.13,4.70,0.21,7.77,-0.06,-0.11,0.00,0.00,13.46,
frc6914,11.04,15.83,0.00,1.44,1.46,1.35,0.75,0.98,-1.09,1.08,1.18,1.38,3.68,0.00,0.00,0.00,0.01,0.67,0.65,-0.17,5.20,0.18,0.05,0.57,1.16,1.13,0.54,-0.34,1.25,-0.43,1.25,-0.20,0.17,-0.16,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.71,1.64,1.74,-0.28,1.44,0.02,4.39,-0.17,0.15,-0.11,-0.03,11.04,
frc5530,24.47,16.67,0.00,4.41,2.46,2.75,2.34,0.24,1.50,2.34,1.66,2.78,13.48,0.00,0.00,0.00,2.67,1.38,-0.87,0.95,1.11,3.19,4.08,1.57,2.07,1.82,2.28,1.31,0.66,0.88,0.72,0.42,-0.41,0.33,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.40,0.61,0.51,4.41,0.07,18.95,0.24,0.17,0.12,-0.34,24.47,
frc2137,12.90,8.60,0.00,2.38,1.05,0.73,0.61,-0.06,2.04,2.16,2.96,1.63,5.36,0.00,0.00,0.00,2.80,2.41,0.66,0.39,-1.75,5.76,9.69,1.59,1.15,1.65,1.14,-0.63,0.52,-0.39,0.24,-0.40,0.41,-0.16,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.47,0.08,1.66,0.70,2.38,0.07,12.26,-0.14,0.07,0.04,0.01,12.90,
frc6013,10.87,21.78,0.00,3.76,1.79,2.05,0.78,-0.71,1.55,1.11,0.63,0.58,4.48,0.00,0.00,0.00,2.16,0.25,-0.59,0.73,2.49,1.56,-1.12,1.88,1.95,0.96,-1.43,0.28,-0.71,-0.34,-0.84,0.40,-0.15,-0.20,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.31,1.05,0.04,3.76,-0.05,4.62,0.26,-0.29,-0.03,-0.16,10.87,
frc240,22.17,16.23,0.00,4.53,0.67,1.42,1.77,0.53,1.58,0.45,1.39,-0.21,2.95,0.00,0.00,0.00,0.85,0.05,2.47,0.14,5.00,2.75,3.29,1.05,1.72,1.95,6.93,1.40,0.17,1.71,-0.37,0.65,0.25,0.69,0.09,0.67,0.67,0.67,0.67,0.67,0.67,2.24,1.61,1.08,0.90,4.53,-0.07,12.63,0.44,0.02,0.86,-0.16,22.17,
frc3656,25.67,6.44,0.00,6.70,1.28,2.32,2.35,1.70,0.17,1.92,1.92,0.89,8.20,0.00,0.00,0.00,3.29,4.65,1.33,0.87,-0.71,9.52,20.52,1.95,1.74,1.77,1.96,0.25,0.32,-0.32,0.95,0.11,-0.05,-0.31,0.54,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.57,2.39,1.77,6.70,0.13,19.69,0.13,0.60,-0.12,0.15,25.67,
frc5915,4.91,14.84,0.00,3.01,1.24,1.51,1.31,0.01,-0.03,0.17,1.46,0.92,2.82,0.00,0.00,0.00,-0.48,0.78,0.63,-0.18,-1.23,1.02,-1.60,1.64,1.39,1.25,-0.72,-0.45,-0.47,0.10,-0.26,0.40,-0.20,0.42,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.42,1.41,0.47,0.08,3.01,0.21,3.13,0.27,-0.14,-0.05,-0.11,4.91,
frc1502,6.24,12.16,0.00,4.33,0.26,0.24,0.91,0.76,-0.21,0.95,-0.27,0.00,-0.19,0.00,0.00,0.00,-0.07,2.16,0.24,0.65,-0.56,2.37,-0.66,1.63,1.62,1.91,0.29,0.83,-0.21,1.05,-0.42,0.11,-0.04,0.37,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.24,0.80,-0.07,4.33,0.04,2.47,-0.05,-0.31,-0.01,-0.33,6.24,
frc3875,20.08,9.47,0.00,4.81,2.15,1.91,1.89,-0.06,1.70,1.70,2.49,1.55,7.94,0.00,0.00,0.00,0.63,2.22,0.69,-0.04,2.49,3.48,3.75,1.76,1.40,1.56,1.36,-0.05,0.20,-0.28,-0.69,-0.14,0.41,0.08,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.80,0.96,2.47,0.78,4.81,-0.11,12.78,-0.08,0.45,0.23,0.47,20.08,
frc7175,8.01,15.14,0.00,3.64,1.62,1.96,2.08,-0.59,-1.64,0.68,0.65,0.91,2.15,0.00,0.00,0.00,-0.59,1.70,2.74,2.91,1.21,3.03,0.29,1.75,0.60,1.16,-2.02,-0.45,0.39,-0.81,0.01,-0.18,0.04,-0.32,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,2.34,0.72,1.37,-0.13,3.64,-0.08,3.16,-0.05,0.22,-0.12,0.36,8.01,
frc5567,29.56,13.05,0.00,3.30,-0.44,-0.02,0.24,1.46,1.45,2.09,2.05,2.12,5.09,0.00,0.00,0.00,1.72,5.16,5.33,-0.59,2.30,12.33,25.87,1.60,1.51,2.08,6.54,0.52,0.89,0.80,1.41,0.43,0.73,1.00,1.12,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.06,0.79,2.15,3.30,-0.02,23.97,-0.06,0.53,0.05,-0.28,29.56,
frc7859,9.58,15.69,0.00,2.68,1.00,0.74,1.81,-0.95,0.23,1.21,1.28,1.53,4.11,0.00,0.00,0.00,2.02,-1.14,1.50,0.05,-0.31,2.44,3.88,1.76,1.67,1.93,0.66,0.22,-0.00,1.09,0.12,-0.15,0.22,0.14,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.09,1.32,0.99,-0.02,2.68,-0.04,7.21,-0.02,-0.26,0.19,-0.43,9.58,
frc4395,19.83,10.94,0.00,5.29,1.39,0.54,1.74,1.45,0.66,0.74,1.26,1.01,2.42,0.00,0.00,0.00,2.20,1.94,0.35,-0.01,4.75,4.60,-2.07,1.69,1.88,1.52,2.77,0.03,0.38,0.02,0.25,0.16,-0.18,-0.11,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,2.52,0.32,2.80,0.56,5.29,0.13,9.79,0.20,-0.38,-0.31,0.07,19.83,
frc1076,12.13,14.52,0.00,4.93,1.99,1.19,2.13,0.37,-0.83,1.94,2.09,1.25,6.51,0.00,0.00,0.00,1.10,0.61,-1.09,0.37,-0.62,0.67,-0.84,1.59,1.55,1.59,0.65,0.36,-0.13,0.30,1.40,0.04,-0.08,0.08,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.79,2.33,1.43,0.26,4.93,-0.10,7.83,-0.09,-0.19,-0.13,0.01,12.13,
frc6954,8.92,12.45,0.00,4.82,1.07,2.11,1.41,0.85,0.02,0.21,0.45,0.06,2.73,0.00,0.00,0.00,-2.36,1.28,2.74,0.35,0.14,1.59,0.38,1.60,1.71,1.87,-0.36,-0.48,0.44,-0.61,0.21,0.41,-0.22,0.09,-0.53,0.67,0.67,0.67,0.67,0.67,0.67,2.38,1.92,0.03,0.13,4.82,-0.00,3.96,-0.04,-0.20,0.01,-0.19,8.92,
frc1025,36.14,15.12,0.00,4.44,2.61,2.18,2.06,1.83,2.58,2.45,1.90,2.83,12.03,0.00,0.00,0.00,3.59,4.64,5.10,0.38,4.82,12.85,26.93,1.12,2.25,1.64,2.00,0.41,-0.36,0.19,-0.84,0.07,0.09,0.05,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.52,1.64,2.05,2.35,4.44,-0.01,26.88,0.06,0.36,-0.03,0.11,36.14,
frc6057,17.35,21.95,0.00,6.08,0.94,0.93,1.47,-0.13,0.10,1.63,1.09,1.42,3.57,0.00,0.00,0.00,0.17,2.78,3.04,0.14,1.71,6.07,4.37,1.79,1.53,1.58,-0.08,0.31,-0.47,-0.12,-0.41,0.53,-0.12,0.02,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.01,2.20,2.19,0.27,6.08,-0.01,9.56,0.15,-0.21,0.05,0.06,17.35,
frc5619,3.27,19.96,0.00,1.90,0.95,0.60,1.05,0.71,-0.51,0.93,0.24,0.42,0.11,0.00,0.00,0.00,0.64,0.59,-0.21,0.91,0.16,1.19,-6.59,1.72,1.19,1.42,-0.09,0.29,-0.58,0.53,-0.48,0.03,-0.05,0.23,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.65,2.28,2.16,-0.29,1.90,-0.07,1.21,-0.04,-0.18,-0.02,-0.06,3.27,
frc2832,13.41,17.13,0.00,5.20,-0.43,-0.67,0.62,0.30,1.57,0.74,0.44,0.85,0.81,0.00,0.00,0.00,1.43,0.96,-0.22,-0.29,-1.48,2.64,0.75,1.56,2.13,1.64,6.24,0.36,0.78,1.11,0.06,0.75,0.67,0.37,1.13,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.97,2.71,0.18,5.20,0.12,9.69,0.34,0.33,-0.20,-0.00,13.41,
frc6089,8.25,22.95,0.00,2.85,0.39,0.68,0.23,-0.34,1.74,1.90,1.87,2.35,4.98,0.00,0.00,0.00,-0.37,-1.25,2.16,0.80,0.19,0.67,-1.15,1.22,1.71,1.70,-0.45,0.02,-0.21,1.07,-0.67,0.03,-0.25,0.14,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,2.48,2.10,0.81,-0.15,2.85,0.01,5.20,-0.01,-0.47,0.14,-0.42,8.25,
frc5050,28.78,15.42,0.00,5.35,1.11,1.05,1.70,1.47,1.20,0.75,1.24,1.67,7.42,0.00,0.00,0.00,2.41,3.32,3.24,0.80,3.00,9.10,23.37,1.12,1.82,2.04,3.91,0.04,0.08,1.60,0.12,-0.07,0.71,0.18,0.49,0.67,0.67,0.67,0.67,0.67,0.67,1.69,2.47,1.89,1.59,5.35,-0.06,20.43,-0.08,1.08,0.15,1.11,28.78,
frc6583,3.71,27.21,0.00,1.89,0.64,1.78,1.18,1.05,0.84,0.22,-0.75,0.24,0.14,0.00,0.00,0.00,0.20,0.97,0.36,0.70,-0.05,1.62,-3.95,1.60,1.52,1.56,0.10,-0.11,-0.21,-0.33,-0.21,-0.21,-0.24,-0.33,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.36,0.46,0.71,-0.50,1.89,0.25,1.86,-0.03,0.02,-0.13,0.04,3.71,
frc862,21.68,8.53,0.00,3.11,1.41,1.85,1.61,1.30,-0.67,1.34,0.51,0.45,8.67,0.00,0.00,0.00,1.25,0.86,0.76,0.20,1.60,2.66,-0.49,1.68,1.93,0.95,5.64,2.72,1.86,1.34,1.80,-0.04,0.10,0.72,0.51,0.67,0.67,0.67,0.67,0.67,0.67,-0.06,1.50,1.49,0.95,3.11,-0.00,16.97,-0.11,1.19,0.22,1.23,21.68,
frc313,16.51,17.22,0.00,5.31,1.04,1.41,0.75,-0.68,0.07,1.69,1.81,1.07,3.47,0.00,0.00,0.00,0.99,1.11,1.82,-0.15,4.20,4.01,2.31,1.51,1.64,1.92,-0.48,0.55,-0.46,0.17,-0.79,-0.03,-0.07,0.11,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.80,2.67,0.15,5.31,-0.01,7.00,-0.02,-0.21,-0.01,-0.01,16.51,
frc4405,13.45,18.88,0.00,6.61,0.96,1.33,1.03,-0.23,1.08,1.35,0.99,1.22,4.13,0.00,0.00,0.00,1.61,0.78,-0.45,1.13,-0.91,1.83,2.91,1.49,2.01,1.49,1.80,-0.17,0.34,0.15,0.26,-0.21,0.08,0.46,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.59,2.08,2.52,0.06,6.61,-0.01,7.75,-0.09,0.58,0.43,0.63,13.45,
frc6152,14.40,10.60,0.00,3.39,2.01,2.18,1.93,-0.43,-0.69,2.01,0.56,0.93,5.51,0.00,0.00,0.00,1.67,1.02,1.36,0.12,0.78,4.05,4.68,1.90,1.69,1.05,0.68,0.24,0.23,-0.54,0.99,-0.23,0.15,-0.38,0.51,0.67,0.67,0.67,0.67,0.67,0.67,0.46,1.65,0.56,0.37,3.39,-0.01,10.24,-0.07,0.75,-0.19,0.82,14.40,
frc6116,-0.52,12.55,0.00,3.15,0.37,0.51,0.10,0.40,0.47,0.23,0.60,0.22,-0.90,0.00,0.00,0.00,-0.15,1.35,-0.59,-0.16,-2.99,0.60,-3.89,1.62,1.05,1.01,-0.37,0.07,-0.48,-0.02,-0.31,-0.38,-0.05,-0.42,0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.87,0.85,1.36,-0.41,3.15,0.07,-0.67,-0.07,-0.30,-0.15,0.14,-0.52,
frc5066,17.70,12.89,0.00,4.22,1.59,1.57,2.48,1.20,0.93,1.95,2.02,2.38,8.36,0.00,0.00,0.00,1.21,1.65,2.59,-0.35,-1.96,5.25,6.02,1.94,1.36,1.40,1.83,-0.17,0.63,0.10,0.45,-0.08,0.48,0.09,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.95,1.81,0.41,0.68,4.22,-0.02,15.44,-0.04,-0.07,0.19,-0.20,17.70,
frc7656,12.96,14.68,0.00,4.93,1.46,0.55,1.05,-0.99,1.16,2.23,2.02,3.01,6.73,0.00,0.00,0.00,2.24,-0.52,2.34,-0.26,-2.72,4.33,2.25,1.87,1.66,1.61,-0.30,-0.96,0.30,-0.76,0.80,-0.17,0.03,-0.35,0.75,0.67,0.67,0.67,0.67,0.67,0.67,1.90,1.76,1.55,-0.02,4.93,0.31,10.76,-0.01,0.25,-0.21,0.35,12.96,
frc7211,17.69,11.05,0.00,2.93,1.17,1.49,1.12,-0.29,-0.83,0.50,0.38,0.81,2.50,0.00,0.00,0.00,1.07,0.67,2.78,0.02,4.70,4.18,0.62,1.54,0.86,1.88,3.38,0.22,-0.41,1.09,-0.10,0.54,0.54,1.09,0.80,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.56,1.14,0.67,2.93,-0.09,10.05,0.21,0.03,0.70,-0.18,17.69,
frc7788,15.09,12.29,0.00,6.49,1.65,2.38,1.86,2.09,-0.34,1.99,1.35,1.26,6.37,0.00,0.00,0.00,1.08,1.59,-0.72,0.21,-0.71,1.55,-0.71,2.01,0.93,1.77,1.40,-0.04,0.29,-0.69,0.86,-0.35,0.33,-0.33,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.69,1.66,0.96,6.49,0.06,9.31,-0.24,0.58,-0.12,0.00,15.09,
frc6615,12.61,20.51,0.00,5.48,1.84,1.82,2.22,0.79,-1.06,0.92,1.24,0.66,3.22,0.00,0.00,0.00,-0.16,2.03,1.00,-0.04,0.58,2.91,-2.82,1.78,1.74,1.00,0.42,0.10,-0.17,-0.15,-0.42,0.01,0.02,0.12,0.23,0.67,0.67,0.67,0.67,0.67,0.67,2.66,1.55,1.00,0.35,5.48,-0.05,6.55,0.02,-0.00,0.16,-0.01,12.61,
