MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019micen_qm1,blue,frc3096,frc4405,frc7854,18,57,0,12,2,5,0,0,0,0,2,0,3,0,0,0,0,3,0,1,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,6,0,0,0,0,18
2019micen_qm1,red,frc33,frc4811,frc6566,57,18,0,9,2,2,2,5,5,5,2,2,9,0,0,0,12,3,3,0,3,18,30,5,5,3,18,0,2,2,2,0,2,0,2,2,2,2,2,2,2,6,3,3,3,9,0,45,0,2,0,2,57
2019micen_qm10,blue,frc1701,frc7762,frc7597,38,24,0,15,2,2,2,5,0,5,5,2,9,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,20,0,0,0,0,38
2019micen_qm10,red,frc4810,frc3322,frc469,24,38,0,9,2,2,2,0,0,5,5,2,6,0,0,0,3,6,6,1,0,9,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,15,0,0,0,0,24
2019micen_qm11,blue,frc2851,frc818,frc5555,62,39,0,15,5,5,5,0,0,5,2,2,24,0,0,0,6,3,3,0,3,12,0,5,5,5,8,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,2,15,0,44,0,0,0,0,62
2019micen_qm11,red,frc6566,frc453,frc7206,39,62,0,15,5,5,5,0,2,2,2,2,9,0,0,0,3,3,3,1,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,24,0,0,0,0,39
2019micen_qm12,blue,frc7854,frc5214,frc6567,26,59,0,9,5,5,2,2,0,2,2,2,6,0,0,0,3,3,3,4,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,2,17,0,0,0,0,26
2019micen_qm12,red,frc6099,frc4779,frc7232,59,26,0,12,2,0,2,0,0,5,0,5,6,0,0,0,3,3,3,0,32,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,15,0,0,0,0,59
2019micen_qm13,blue,frc5239,frc51,frc6958,59,53,0,9,5,5,5,0,5,5,5,0,18,0,0,0,0,12,3,1,15,15,30,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,35,0,0,0,0,59
2019micen_qm13,red,frc1025,frc7211,frc7224,53,59,0,12,5,5,5,0,5,5,5,5,21,0,0,0,12,0,3,5,3,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,38,0,0,0,0,53
