Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3096,4.99,24.25,0.00,4.70,0.28,0.93,0.77,-0.72,0.21,0.94,1.08,0.59,0.05,-0.44,0.00,0.00,-0.14,0.80,0.01,0.02,-0.78,0.69,-4.91,1.58,1.66,0.98,0.34,0.43,-0.29,-0.17,0.11,-0.15,0.03,-0.13,0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.51,2.35,2.29,-0.36,4.70,0.27,1.07,-0.04,-0.03,-0.05,0.03,4.99,
frc4405,16.47,14.24,0.00,5.46,1.45,1.50,1.22,1.61,1.16,1.05,1.43,0.94,4.34,-0.23,0.00,0.00,0.90,1.64,1.50,-0.27,1.77,4.03,7.70,1.75,1.62,1.50,0.88,0.35,-0.30,0.21,-0.69,-0.20,-0.11,-0.17,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.85,1.82,1.68,0.76,5.46,-0.04,9.24,-0.00,0.06,-0.03,-0.16,16.47,
frc7854,7.37,19.42,0.00,4.53,1.08,1.39,0.42,0.02,0.03,0.63,0.57,0.25,0.54,-0.55,0.00,0.00,1.31,0.49,1.54,0.87,-0.41,3.39,-0.13,1.53,1.62,1.43,-0.67,-0.16,0.32,-0.14,-0.08,-0.18,-0.19,-0.05,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.99,1.59,1.18,-0.29,4.53,0.42,3.25,-0.06,-0.13,0.01,-0.06,7.37,
frc33,42.00,16.07,0.00,4.98,0.63,1.26,1.43,2.33,0.81,2.03,1.89,1.73,10.88,-0.11,0.00,0.00,3.81,4.45,3.86,0.40,5.85,12.26,25.77,1.64,1.84,1.62,8.02,0.74,2.35,0.93,2.87,0.32,1.73,0.18,0.95,0.67,0.67,0.67,0.67,0.67,0.67,0.76,2.02,2.15,1.95,4.98,0.04,31.17,0.32,0.64,0.01,0.64,42.00,
frc4811,14.32,11.60,0.00,4.42,0.03,1.10,1.18,1.66,3.50,1.58,1.14,1.36,5.97,-0.25,0.00,0.00,2.51,-0.73,-0.19,-0.01,0.16,1.68,-0.62,1.79,1.70,1.79,2.09,-0.03,0.21,0.40,-0.36,-0.19,0.09,-0.31,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.26,1.40,0.50,4.42,-0.04,9.74,-0.06,0.10,-0.08,0.03,14.32,
frc6566,13.06,10.73,0.00,5.28,1.28,1.38,1.18,-0.16,1.06,1.31,1.38,1.28,2.08,-0.48,0.00,0.00,1.11,1.86,0.26,-0.58,1.93,3.25,3.55,1.70,1.75,1.72,0.52,-0.18,-0.56,0.03,-0.58,-0.16,-0.08,-0.09,0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.42,1.42,1.35,0.71,5.28,0.13,5.85,-0.06,0.07,-0.06,0.06,13.06,
frc1701,21.00,12.53,0.00,5.84,1.65,1.94,1.40,0.20,-0.01,2.11,2.65,2.17,8.64,-0.54,0.00,0.00,1.91,0.40,0.64,-0.07,2.57,2.92,1.98,1.69,1.82,1.68,1.04,0.44,0.57,0.53,0.50,-0.18,0.15,-0.28,0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.46,1.67,1.35,0.86,5.84,0.10,12.59,-0.06,-0.04,-0.07,0.15,21.00,
frc7762,9.53,14.23,0.00,5.25,0.85,0.97,0.83,1.57,0.06,1.32,1.03,0.51,2.19,-0.68,0.00,0.00,0.29,-0.36,3.06,1.71,-1.57,3.07,3.20,1.82,1.66,1.65,0.59,0.25,-0.18,0.24,-0.30,-0.00,-0.17,-0.13,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.25,1.86,0.21,5.25,-0.09,5.85,0.26,-0.05,-0.11,-0.12,9.53,
frc7597,10.83,19.42,0.00,5.48,0.11,0.63,0.65,0.67,-0.49,0.39,0.99,0.68,0.57,-0.77,0.00,0.00,2.10,0.24,1.42,-0.08,0.51,3.86,-1.02,1.78,1.58,1.71,0.41,0.22,0.08,-0.08,0.05,-0.17,-0.18,-0.22,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.67,2.92,1.38,0.32,5.48,0.15,4.83,0.05,-0.09,-0.06,-0.12,10.83,
frc4810,13.77,13.12,0.00,3.71,1.02,1.09,1.62,0.26,-0.20,2.32,2.14,1.49,6.04,-0.28,0.00,0.00,0.37,1.13,1.38,-0.20,1.86,2.15,2.00,1.29,1.81,1.01,0.01,0.56,-0.32,1.00,-0.25,0.09,-0.28,-0.00,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.93,1.19,0.37,3.71,-0.07,8.20,0.22,-0.11,0.09,-0.17,13.77,
