Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc910,38.74,24.66,0.00,4.11,0.71,1.22,1.05,0.74,-0.19,1.30,1.66,1.42,18.72,15.51,9.64,5.01,1.96,1.18,3.58,0.14,-1.39,6.72,13.04,1.67,1.63,1.65,10.57,1.44,2.75,1.93,2.51,2.32,1.91,2.34,1.63,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.83,4.11,0.11,36.02,2.86,1.52,2.44,1.79,38.74,
frc2767,34.02,15.31,0.00,5.20,0.83,1.74,1.51,-1.03,-0.27,1.38,1.28,1.44,14.38,19.28,13.07,6.10,2.16,-0.93,5.27,0.22,0.87,6.50,11.43,1.67,1.67,1.66,7.09,2.58,-0.39,2.33,0.67,2.44,1.59,2.30,1.15,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.91,5.20,-0.06,27.96,2.03,1.09,2.39,0.94,34.02,
frc5927,36.20,22.41,0.00,5.03,1.69,2.11,2.35,2.34,2.89,1.77,1.33,1.42,15.60,2.74,6.94,-4.63,3.56,1.39,0.86,-0.30,2.17,5.82,4.22,1.67,1.81,1.70,7.59,2.13,0.74,2.33,0.66,1.30,-0.03,2.15,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.77,0.94,5.03,-0.09,29.00,1.07,-0.53,0.59,0.09,36.20,
frc5676,32.31,28.68,0.00,4.00,1.95,2.13,2.17,1.98,-0.35,2.16,1.85,1.74,14.29,5.52,4.85,-2.61,2.60,1.51,2.07,-0.09,2.85,6.17,3.49,1.67,1.73,1.66,5.00,2.18,0.66,1.90,0.69,1.18,0.73,1.68,0.38,0.67,0.67,0.67,0.67,0.67,0.67,2.50,0.80,4.00,-0.06,25.46,0.67,-0.44,0.81,-0.47,32.31,
frc6573,14.91,28.97,0.00,4.09,2.09,1.88,1.52,1.62,1.28,1.89,2.00,2.32,6.68,-4.94,-4.72,0.64,0.20,-0.15,1.09,1.02,0.31,1.13,-3.52,1.67,1.62,1.66,2.70,-1.33,0.66,-1.26,1.14,-0.87,1.17,-0.81,1.10,0.67,0.67,0.67,0.67,0.67,0.67,1.44,-0.42,4.09,-0.05,10.52,-0.57,0.34,-0.48,-0.08,14.91,
frc141,25.18,32.50,0.00,4.08,1.61,0.91,1.41,1.33,2.16,1.08,1.55,1.40,9.38,1.44,5.69,-2.18,0.44,4.84,2.19,-0.25,-0.18,7.47,12.03,1.67,1.66,1.66,4.43,0.94,0.81,1.52,0.13,1.02,0.37,1.58,-0.70,0.67,0.67,0.67,0.67,0.67,0.67,2.50,0.72,4.08,-0.01,21.28,0.67,-0.35,1.02,-0.68,25.18,
frc1481,29.17,22.80,0.00,5.32,1.82,1.84,1.56,1.66,3.40,1.25,1.51,1.46,9.17,-0.32,-4.68,1.25,1.92,2.40,2.67,0.09,1.50,6.99,11.60,1.67,1.68,1.67,6.20,0.81,0.36,0.67,0.66,-0.32,1.34,-0.47,1.31,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.11,5.32,0.13,22.35,-0.23,0.15,-0.39,0.55,29.17,
frc6548,23.96,25.55,0.00,5.77,1.99,1.88,1.57,1.60,1.35,1.44,1.20,0.47,6.17,-1.62,0.78,-2.13,1.55,1.66,2.69,-0.37,-0.14,5.91,5.06,1.67,1.79,1.67,6.26,1.98,0.62,2.10,0.35,-0.11,-0.78,-0.82,-0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.97,0.14,5.77,0.13,18.34,0.25,-0.50,-0.20,-0.30,23.96,
frc4568,24.72,26.91,0.00,3.71,1.90,1.87,2.32,1.92,0.10,1.93,2.05,1.68,12.34,10.56,6.03,2.55,0.18,2.08,1.60,-0.06,1.60,3.86,3.28,1.67,1.66,1.72,3.22,1.21,-1.27,1.55,-0.77,1.33,-0.25,1.64,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.84,0.56,3.71,0.04,19.42,1.13,-0.21,0.98,-0.09,24.72,
frc6344,22.55,27.66,0.00,5.66,1.90,1.99,1.42,2.35,0.97,1.32,0.75,0.78,7.40,-1.57,-1.61,-3.09,-0.18,0.86,4.21,-0.01,-0.20,4.89,3.92,1.67,1.72,1.71,4.80,1.81,-0.23,1.78,-0.55,0.32,0.04,0.94,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.56,0.08,5.66,-0.07,17.09,0.50,0.04,0.28,-0.19,22.55,
frc1718,39.83,30.99,0.00,4.88,1.65,1.68,1.48,0.28,2.07,1.59,1.23,1.02,18.35,13.81,-0.26,12.09,-0.29,2.01,4.84,-0.29,-0.05,6.56,9.68,1.67,1.66,1.70,10.08,1.86,2.08,1.77,2.29,1.81,2.03,2.44,1.86,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.62,4.88,0.13,35.00,0.66,2.31,-0.06,2.46,39.83,
frc2960,24.19,18.99,0.00,5.43,2.12,1.86,1.34,1.63,1.23,1.94,1.81,2.05,7.48,-3.65,0.84,-3.87,3.64,3.08,2.35,-0.06,0.00,9.07,17.18,1.67,1.64,1.70,2.20,0.95,-0.39,0.89,0.74,0.04,-0.66,-0.31,-0.66,0.67,0.67,0.67,0.67,0.67,0.67,2.46,0.63,5.43,0.06,18.75,-0.12,-0.65,0.53,-0.68,24.19,
frc2832,24.29,24.10,0.00,4.80,0.49,0.83,1.18,1.26,1.03,1.53,1.10,0.40,8.13,1.32,2.11,-4.84,1.68,2.66,-1.13,-0.08,0.88,3.21,2.60,1.67,1.76,1.44,7.26,1.92,1.66,2.11,0.84,0.52,1.52,0.80,1.22,0.67,0.67,0.67,0.67,0.67,0.67,2.06,0.42,4.80,-0.07,18.60,1.10,-0.42,0.91,-0.18,24.29,
frc1189,22.94,30.86,0.00,3.90,0.94,0.76,2.23,0.99,0.83,1.04,1.39,0.94,10.11,7.15,5.65,1.71,1.71,1.44,0.68,-0.14,-0.56,3.83,5.88,1.67,1.77,1.67,5.66,1.30,0.86,1.49,1.19,1.67,0.19,0.70,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.64,0.59,3.90,0.10,19.60,1.29,0.32,1.53,0.07,22.94,
frc2054,28.20,18.61,0.00,4.63,0.50,1.31,1.41,1.18,0.31,1.50,2.08,1.59,9.65,2.48,2.69,-0.67,0.05,5.72,4.07,0.28,-0.93,9.85,17.62,1.67,1.46,1.65,5.00,0.24,1.64,-0.29,1.75,0.86,1.17,1.03,1.25,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.33,4.63,-0.04,24.50,0.52,0.17,0.72,0.06,28.20,
frc5901,13.69,25.34,0.00,4.63,0.59,0.46,1.12,0.98,2.01,1.36,1.07,0.89,2.20,-0.91,-5.63,3.87,1.32,-0.86,2.26,0.59,0.35,2.72,-1.09,1.67,1.53,1.70,3.79,-0.35,0.48,-0.28,-0.28,-0.82,1.24,-0.23,1.02,0.67,0.67,0.67,0.67,0.67,0.67,2.37,-0.40,4.63,0.10,8.71,-0.41,0.91,-1.05,0.51,13.69,
frc226,28.64,28.24,0.00,3.77,1.73,1.48,0.71,1.36,0.87,1.35,1.11,1.72,10.33,-2.74,-0.74,-0.27,3.06,1.45,4.00,0.31,1.64,8.51,14.89,1.67,1.25,1.69,4.39,1.95,1.32,1.87,1.54,1.00,-1.01,1.19,-0.86,0.67,0.67,0.67,0.67,0.67,0.67,1.80,0.75,3.77,0.06,23.22,-0.50,0.29,0.33,-0.24,28.64,
frc5567,23.67,22.16,0.00,3.22,1.73,1.27,2.33,1.64,1.01,1.53,1.90,1.28,9.58,2.00,4.86,-2.26,1.92,2.68,3.31,0.18,-1.71,7.91,14.29,1.67,1.38,1.67,4.67,-0.22,1.05,-0.28,2.05,0.09,0.20,0.08,0.93,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.00,3.22,0.13,22.16,0.68,-0.57,1.07,-0.00,23.67,
frc27,32.06,25.97,0.00,4.63,1.13,1.05,1.29,1.96,0.09,1.81,1.72,0.99,14.13,8.29,7.06,2.11,1.23,4.02,2.74,0.64,-0.65,7.98,12.55,1.67,1.66,1.75,5.97,0.34,0.65,0.95,0.64,2.12,0.98,2.09,1.34,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.23,4.63,0.01,28.08,1.67,0.71,1.81,1.18,32.06,
frc5048,24.39,21.23,0.00,5.33,1.23,1.38,1.18,1.60,2.76,0.43,0.59,0.16,6.70,-2.20,-2.92,-2.03,1.49,2.01,0.47,-0.21,2.70,3.97,8.13,1.67,1.69,1.64,5.68,1.85,0.30,0.44,-0.04,0.47,1.34,0.79,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.81,0.72,5.33,-0.02,16.35,-0.00,0.40,0.00,0.55,24.39,
frc2474,26.58,27.46,0.00,5.38,1.67,1.13,0.65,1.97,0.58,1.53,1.44,2.24,7.44,0.48,1.32,0.27,3.94,1.74,0.63,0.18,2.56,6.30,8.03,1.67,1.70,1.63,4.88,0.83,1.03,0.34,0.81,0.93,-0.01,1.12,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.92,0.15,5.38,-0.13,18.63,0.24,0.06,-0.17,0.22,26.58,
frc6963,23.43,20.93,0.00,4.40,1.26,1.50,1.80,1.26,1.26,0.58,0.58,0.61,7.00,1.53,0.38,0.51,1.94,1.74,4.77,-0.01,-0.46,8.44,10.09,1.67,1.47,1.67,4.04,0.26,0.59,-0.30,0.60,0.07,0.91,0.36,1.29,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.20,4.40,0.07,19.49,0.37,0.30,0.80,0.52,23.43,
frc548,31.21,29.45,0.00,5.72,0.81,1.11,1.18,0.68,-0.34,1.91,1.99,2.00,14.18,16.07,5.80,7.17,-0.97,4.21,1.70,0.54,-0.80,4.94,10.31,1.67,1.75,1.69,7.16,1.40,0.33,1.08,2.10,1.83,0.94,1.18,1.52,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.37,5.72,0.15,26.28,1.57,1.57,1.40,1.68,31.21,
frc217,28.72,29.84,0.00,3.45,0.94,1.87,0.66,1.52,-1.02,1.10,0.02,0.31,11.61,4.62,0.82,7.88,0.87,1.48,2.72,0.09,-0.26,5.07,4.83,1.67,1.65,1.71,8.85,0.55,1.91,1.15,2.41,1.23,2.38,1.54,1.94,0.67,0.67,0.67,0.67,0.67,0.67,1.62,0.63,3.45,0.03,25.53,1.07,1.83,1.34,1.73,28.72,
frc7660,27.19,30.31,0.00,5.57,1.43,1.86,0.53,0.46,1.45,1.68,1.72,2.17,8.48,1.90,-1.15,4.08,-0.48,1.53,4.05,0.05,1.52,5.10,5.35,1.67,1.71,1.69,6.52,0.72,1.24,0.08,1.06,1.18,-0.13,0.40,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.23,0.24,5.57,-0.02,20.10,0.31,0.49,0.41,0.66,27.19,
frc5282,21.50,22.21,0.00,5.87,1.09,1.36,1.61,0.63,1.96,1.23,2.02,1.90,7.81,2.51,-3.48,5.67,2.01,1.56,1.60,0.58,0.41,5.17,-0.00,1.67,1.68,1.64,2.24,1.01,1.79,0.53,1.47,-0.79,0.11,-0.38,0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.89,5.87,-0.08,15.22,-1.11,0.60,-1.17,0.42,21.50,
