Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3542,26.36,30.14,0.00,2.94,1.40,1.46,0.58,1.37,1.11,0.74,1.63,1.77,9.10,-3.14,-2.32,-0.01,0.73,2.63,5.31,0.15,-0.10,8.67,15.66,1.14,1.61,1.67,5.74,1.77,1.62,1.35,1.07,0.18,0.51,0.88,0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.17,0.83,0.45,2.94,0.12,23.52,-0.19,-0.09,-0.04,-0.11,26.36,
frc4392,24.67,30.29,0.00,3.71,2.26,1.98,2.06,1.73,0.32,1.26,1.03,1.23,12.38,1.57,5.81,-3.17,2.11,0.38,1.49,-0.05,-1.43,3.98,3.17,1.72,1.78,1.67,6.03,3.31,-0.44,2.76,-1.06,2.37,-0.71,2.50,-0.69,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.67,1.29,0.38,3.71,0.01,22.39,1.34,-0.42,1.58,-0.08,24.67,
frc6753,28.32,28.05,0.00,5.23,1.17,1.80,2.28,3.15,1.03,1.85,1.83,1.08,10.02,-2.32,1.82,-4.50,1.22,2.82,2.76,0.17,1.83,6.81,8.94,1.76,1.69,1.67,4.43,1.42,-0.27,2.13,0.77,0.72,-0.58,0.52,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.75,1.88,1.45,0.37,5.23,-0.08,21.25,-0.11,-0.14,0.60,-0.63,28.32,
frc3707,41.07,30.61,0.00,3.56,0.90,1.32,0.90,1.68,2.25,1.38,0.90,1.52,15.30,8.93,3.03,2.57,4.04,2.46,3.04,0.02,2.93,9.54,12.09,1.66,1.68,1.67,9.74,2.24,2.82,2.42,2.05,1.88,0.75,1.93,1.37,0.67,0.67,0.67,0.67,0.67,0.67,1.12,0.45,1.91,1.52,3.56,-0.01,34.58,0.61,0.53,0.77,0.95,41.07,
frc5424,21.35,23.20,0.00,5.16,1.74,1.99,2.00,2.21,0.91,1.21,1.65,0.85,7.75,0.03,-1.09,-1.54,3.26,-0.58,0.86,0.05,2.07,3.55,-3.91,1.55,1.68,1.67,2.81,-0.08,0.93,0.61,1.06,0.43,0.08,-0.09,-0.42,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.62,1.71,0.13,5.16,-0.06,14.12,0.09,-0.05,0.19,-0.50,21.35,
frc862,25.92,26.88,0.00,4.45,0.59,0.88,1.35,0.19,1.46,0.57,0.89,0.61,5.35,5.18,-2.08,3.59,3.11,2.84,2.76,0.36,-0.19,8.71,13.10,1.76,1.74,1.67,7.59,0.71,0.71,0.04,1.32,1.41,1.41,0.97,0.66,0.67,0.67,0.67,0.67,0.67,0.67,1.15,2.17,0.97,0.76,4.45,-0.02,21.65,-0.09,0.36,0.36,0.74,25.92,
frc3452,27.15,31.75,0.00,5.32,0.99,1.07,1.42,-0.08,-1.21,1.29,0.39,1.06,11.29,10.11,8.90,2.59,3.14,4.30,-0.79,0.26,-1.35,6.65,10.08,1.65,1.65,1.67,5.24,1.04,0.34,1.15,-0.11,1.71,1.56,2.10,1.92,0.67,0.67,0.67,0.67,0.67,0.67,2.57,1.56,1.18,0.45,5.32,0.01,23.18,2.15,0.56,2.23,0.51,27.15,
frc3604,25.95,25.12,0.00,5.04,2.41,2.17,0.51,-0.40,-0.01,0.86,1.98,1.83,10.43,2.21,1.03,2.05,3.26,0.01,2.88,0.01,0.71,6.14,9.83,1.74,1.61,1.67,3.63,0.98,0.75,0.55,0.98,0.98,0.81,0.95,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.97,2.35,1.69,0.75,5.04,0.01,20.20,0.39,0.23,0.06,0.36,25.95,
frc2137,24.21,28.20,0.00,3.53,0.81,0.77,1.25,0.56,2.51,2.46,1.69,2.10,12.10,8.98,5.58,2.53,0.68,2.46,0.98,0.06,0.19,4.12,6.74,1.09,1.73,1.67,4.27,-0.03,1.42,0.49,1.72,0.37,0.60,-0.14,0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.22,1.76,0.50,3.53,-0.06,20.49,0.90,0.26,0.69,1.03,24.21,
frc2619,31.50,26.21,0.00,4.16,1.73,2.02,1.38,0.47,0.33,1.22,1.17,1.29,15.59,17.81,5.79,13.24,0.22,1.12,4.43,-0.29,-0.44,5.78,8.94,1.63,1.10,1.67,6.41,1.01,2.81,0.62,1.83,0.69,1.76,0.97,1.96,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.13,1.68,1.52,4.16,0.16,27.78,0.71,1.71,0.76,1.89,31.50,
