MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019midet_qm1,blue,frc815,frc5498,frc226,78,35,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,3,12,0,12,18,30,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,51,0,0,0,0,78
2019midet_qm1,red,frc7196,frc6862,frc5532,35,78,0,9,5,5,5,5,0,5,5,2,18,0,0,0,3,3,3,4,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,26,0,0,0,0,35
2019midet_qm10,blue,frc2048,frc815,frc2673,25,45,0,15,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,10,0,0,0,0,25
2019midet_qm10,red,frc5901,frc4768,frc5197,45,25,0,15,5,5,5,2,0,5,5,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,30,0,0,0,0,45
2019midet_qm11,blue,frc4854,frc7145,frc3641,44,27,0,12,0,0,0,0,0,5,5,5,12,0,0,0,3,3,12,0,0,18,30,5,5,5,2,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,32,0,0,0,0,44
2019midet_qm11,red,frc5065,frc6029,frc7789,27,44,0,9,5,5,5,0,0,0,0,0,9,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,18,0,0,0,0,27
2019midet_qm12,blue,frc7196,frc7191,frc2591,41,26,0,15,2,2,5,5,0,5,5,5,15,0,0,0,3,3,0,2,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,23,0,0,0,0,41
2019midet_qm12,red,frc4851,frc5498,frc5217,26,41,0,9,2,2,2,0,0,5,5,2,6,0,0,0,0,3,0,1,6,3,0,5,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,11,0,0,0,0,26
2019midet_qm13,blue,frc5467,frc7769,frc2676,36,33,0,15,2,2,2,0,0,5,2,2,3,0,0,0,3,12,3,1,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,21,0,0,0,0,36
2019midet_qm13,red,frc5756,frc123,frc6862,33,36,0,12,2,2,2,0,0,5,5,2,6,0,0,0,3,6,3,0,3,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,18,0,0,0,0,33
2019midet_qm14,blue,frc2224,frc4390,frc4680,53,30,0,6,5,5,5,5,5,2,5,5,21,0,0,0,3,3,12,0,0,18,30,3,3,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,6,0,47,0,0,0,0,53
2019midet_qm14,red,frc6616,frc4838,frc4768,30,53,0,15,2,2,5,0,0,5,5,2,9,0,0,0,0,3,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,15,0,0,0,0,30
2019midet_qm15,blue,frc3632,frc7820,frc7789,12,14,0,6,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,6,0,6,0,6,0,0,0,0,12
2019midet_qm15,red,frc6029,frc5197,frc7168,14,12,0,3,0,0,2,0,2,2,2,2,0,0,0,0,0,0,3,0,0,3,0,0,0,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,3,2,3,0,11,0,0,0,0,14
2019midet_qm16,blue,frc7865,frc5532,frc4854,42,40,0,9,5,0,0,0,0,5,5,2,9,0,0,0,3,3,3,0,15,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,18,0,0,0,0,42
2019midet_qm16,red,frc5217,frc3641,frc7143,40,42,0,9,5,5,5,2,0,0,0,0,9,0,0,0,3,12,3,5,0,18,30,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,31,0,0,0,0,40
2019midet_qm17,blue,frc5065,frc7196,frc4758,37,57,0,9,2,2,5,5,5,2,5,5,15,0,0,0,3,3,3,1,0,9,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,28,0,0,0,0,37
