MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mifor_qm1,blue,frc2075,frc5173,frc2771,67,63,0,12,5,5,5,5,5,2,5,5,21,0,0,0,12,3,6,0,3,21,30,5,5,5,10,0,0,2,2,0,0,2,0,2,2,2,2,2,2,3,6,3,3,12,0,52,0,0,0,0,67
2019mifor_qm1,red,frc2474,frc2337,frc904,63,67,0,15,5,5,5,0,0,5,5,5,21,0,0,0,6,12,3,1,0,21,30,5,5,5,6,2,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,48,0,0,0,0,63
2019mifor_qm10,blue,frc904,frc2075,frc5473,69,60,0,9,2,2,5,5,0,5,5,5,27,0,0,0,6,12,3,0,0,21,30,5,5,3,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,3,9,0,60,0,2,0,0,69
2019mifor_qm10,red,frc3357,frc6114,frc7166,60,69,0,15,2,2,2,0,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,0,15,0,45,0,2,0,0,60
2019mifor_qm11,blue,frc5222,frc2337,frc5069,60,49,0,15,5,5,5,0,2,5,5,5,24,0,0,0,3,12,0,0,0,15,30,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,45,0,0,0,0,60
2019mifor_qm11,red,frc4482,frc4382,frc4967,49,60,0,15,2,2,2,0,0,5,2,2,3,0,0,0,6,3,12,0,0,21,30,5,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,6,3,1,15,0,34,0,2,0,0,49
2019mifor_qm12,blue,frc2474,frc226,frc6002,80,56,0,15,5,5,5,5,5,5,5,5,36,0,0,0,6,3,6,0,0,15,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,65,0,0,0,2,80
2019mifor_qm12,red,frc3570,frc7210,frc2959,56,80,0,12,5,5,5,5,5,2,5,2,21,0,0,0,6,3,6,0,0,15,30,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,44,0,0,0,0,56
2019mifor_qm13,blue,frc5162,frc7810,frc7223,39,55,0,15,2,5,5,0,0,5,5,5,15,0,0,0,0,3,3,0,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,39
2019mifor_qm13,red,frc3234,frc3322,frc6963,55,39,0,12,2,2,5,5,5,5,2,5,15,0,0,0,3,12,3,1,0,18,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,43,0,0,0,0,55
