Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2075,34.00,19.26,0.00,2.55,1.96,1.44,1.69,0.47,0.71,0.90,1.47,1.90,13.77,6.77,4.67,2.12,5.73,0.96,2.54,-0.25,0.29,9.22,19.09,1.69,1.58,1.34,8.18,1.85,0.35,2.06,0.75,1.80,0.57,2.13,0.71,0.67,0.67,0.67,0.67,0.67,0.67,1.60,0.94,0.93,1.78,2.55,-0.03,31.17,1.82,0.76,2.17,0.83,34.00,
frc5173,18.78,20.26,0.00,5.29,1.42,1.22,1.22,1.61,1.15,1.74,2.00,2.24,8.72,0.17,-0.62,1.01,1.30,0.63,1.05,0.48,0.33,2.97,1.72,1.84,1.49,1.65,1.47,-0.46,1.29,-0.35,0.83,-0.78,0.55,-0.61,0.75,0.67,0.67,0.67,0.67,0.67,0.67,1.67,2.26,1.42,0.46,5.29,0.14,13.17,-0.51,0.58,-0.59,0.75,18.78,
frc2771,24.71,21.21,0.00,3.14,0.91,1.20,1.39,2.77,1.15,1.38,1.76,1.78,8.46,-2.04,-1.13,-0.99,2.24,1.61,2.23,-0.30,1.55,6.08,9.85,1.53,1.72,1.61,5.48,0.51,0.45,0.58,0.82,0.10,1.18,0.22,0.97,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.06,1.09,0.80,3.14,-0.03,20.02,0.23,0.04,0.25,0.40,24.71,
frc2474,19.96,17.14,0.00,5.01,1.64,1.69,2.01,2.38,1.63,1.24,1.15,1.35,7.32,-0.90,-0.46,-0.17,3.04,1.27,0.21,0.12,-0.39,4.53,6.50,1.69,1.62,1.70,3.49,0.72,0.52,-0.20,0.47,-0.05,0.12,-0.04,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.30,1.78,0.41,5.01,0.00,15.34,-0.16,-0.10,-0.16,0.11,19.96,
frc2337,31.97,13.92,0.00,5.81,1.63,1.38,1.73,-0.51,0.23,2.48,2.37,2.46,12.14,0.90,2.02,-0.96,1.94,4.60,2.88,-0.17,0.66,9.41,19.72,1.73,1.76,1.58,3.94,2.07,1.37,1.78,2.10,0.46,0.33,0.36,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.57,2.47,1.50,1.75,5.81,-0.06,25.50,0.34,-0.29,0.57,-0.08,31.97,
frc904,20.48,25.82,0.00,4.83,1.40,1.57,1.75,2.29,0.82,1.55,1.63,1.82,7.78,1.03,1.53,-0.53,1.38,2.76,2.18,0.32,0.36,6.32,3.34,1.63,1.61,1.58,1.18,0.21,-0.53,0.09,0.06,0.01,-0.12,-0.21,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.25,2.49,1.09,0.32,4.83,-0.03,15.29,0.43,0.05,0.38,-0.15,20.48,
frc5473,12.59,15.33,0.00,3.98,1.26,1.25,0.94,1.99,0.32,1.17,0.74,0.64,4.37,-1.41,-0.35,-1.14,0.11,2.32,0.46,0.50,-1.20,2.89,0.04,1.55,1.71,1.37,2.55,-0.43,1.24,-0.15,1.09,-0.00,0.09,-0.05,0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.08,1.88,0.03,3.98,0.17,9.81,-0.07,-0.08,-0.29,-0.27,12.59,
frc3357,28.47,12.35,0.00,2.51,1.13,0.96,0.91,-0.54,0.23,0.40,0.82,0.57,13.62,14.08,7.80,6.51,1.21,1.49,0.43,-0.10,0.46,3.13,0.71,1.56,1.79,1.16,8.75,1.83,1.59,1.92,1.30,2.28,1.72,2.29,1.51,0.67,0.67,0.67,0.67,0.67,0.67,0.70,1.37,1.21,1.02,2.51,0.06,25.50,2.18,1.41,1.76,1.26,28.47,
frc6114,5.78,20.71,0.00,3.48,0.05,0.28,0.57,-0.07,0.44,0.79,1.05,1.15,-0.75,-3.18,-1.43,-1.60,0.45,-0.45,1.84,0.15,0.61,1.84,-1.98,1.56,0.79,1.65,0.60,-0.82,0.38,-0.49,0.60,-0.45,0.86,-0.48,0.74,0.67,0.67,0.67,0.67,0.67,0.67,1.78,2.14,1.86,-0.10,3.48,-0.03,1.70,-0.52,0.25,-0.44,0.21,5.78,
frc7166,22.32,15.02,0.00,6.28,1.88,2.26,1.64,1.07,1.44,2.41,2.19,1.87,10.08,-0.50,-1.04,0.51,1.40,-0.14,2.52,-0.21,-0.13,3.78,3.21,1.74,1.85,1.71,2.32,0.37,0.63,0.28,1.08,0.09,0.50,0.02,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.88,1.87,0.68,6.28,0.08,16.17,-0.25,-0.12,-0.32,-0.34,22.32,
frc5222,12.86,20.38,0.00,6.00,1.24,1.95,1.35,-0.65,0.57,1.70,1.94,1.34,5.48,2.65,1.74,1.33,0.90,1.04,0.33,0.17,-1.09,2.28,-1.02,1.68,1.68,1.72,0.20,-0.16,0.40,-0.13,-0.06,0.11,0.11,0.06,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.19,2.31,1.43,0.44,6.00,-0.01,7.95,0.09,0.24,-0.03,-0.03,12.86,
