MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019migib_qm1,blue,frc1701,frc280,frc5090,31,33,0,15,2,2,2,5,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,16,0,0,0,0,31
2019migib_qm1,red,frc6618,frc4840,frc3604,33,31,0,9,5,2,5,5,0,2,2,2,15,0,0,0,3,6,0,0,0,3,0,5,0,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,24,0,0,0,0,33
2019migib_qm10,blue,frc703,frc815,frc5853,32,41,0,12,2,2,2,0,0,5,5,5,9,0,0,0,3,3,3,0,0,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,20,0,0,0,0,32
2019migib_qm10,red,frc5067,frc5263,frc1528,41,32,0,15,2,5,5,5,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,26,0,0,0,0,41
2019migib_qm11,blue,frc1701,frc548,frc6570,52,55,0,15,2,2,2,0,0,2,2,2,15,0,0,0,3,3,6,0,0,12,0,5,5,5,10,5,0,5,0,5,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,37,5,0,5,0,52
2019migib_qm11,red,frc5498,frc1718,frc1250,55,52,0,15,5,5,5,0,0,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,10,2,2,2,0,5,0,5,0,2,2,2,2,2,2,6,6,3,2,15,0,40,0,0,0,0,55
2019migib_qm12,blue,frc7788,frc1481,frc5901,58,64,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,12,3,7,0,18,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,43,0,0,0,0,58
2019migib_qm12,red,frc3536,frc3655,frc3641,64,58,0,9,5,5,5,2,0,5,5,5,21,0,0,0,6,0,3,0,21,9,0,5,5,5,4,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,34,0,0,0,0,64
2019migib_qm13,blue,frc7865,frc6081,frc3604,77,17,0,6,0,5,5,0,5,5,5,0,15,0,0,0,0,3,12,0,35,15,30,3,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,3,3,3,6,0,36,0,0,0,0,77
2019migib_qm13,red,frc6190,frc7143,frc4384,17,77,0,9,0,2,2,5,0,2,2,0,3,0,0,0,3,3,0,5,0,3,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,2,8,0,0,0,0,17
2019migib_qm14,blue,frc1250,frc5197,frc4840,41,47,0,9,5,5,5,0,0,5,5,5,18,0,0,0,6,3,3,0,0,12,0,5,5,3,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,32,0,0,0,0,41
2019migib_qm14,red,frc1718,frc6618,frc6528,47,41,0,9,2,2,2,0,5,5,5,5,24,0,0,0,0,0,3,0,0,0,0,5,5,0,14,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,3,6,2,9,0,38,0,5,0,2,47
2019migib_qm15,blue,frc4568,frc5498,frc7807,50,49,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,8,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,50
2019migib_qm15,red,frc7789,frc3547,frc1023,49,50,0,12,0,0,0,5,5,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,3,10,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,12,0,37,0,0,0,0,49
2019migib_qm16,blue,frc1481,frc3641,frc5853,44,30,0,12,2,2,5,0,0,5,5,5,15,0,0,0,12,3,0,0,0,15,30,5,5,5,2,5,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,32,0,0,0,0,44
2019migib_qm16,red,frc6081,frc703,frc7856,30,44,0,6,2,2,5,0,0,5,5,5,12,0,0,0,3,0,3,0,0,6,0,3,5,5,6,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,24,0,0,0,0,30
2019migib_qm17,blue,frc1528,frc3536,frc7196,43,34,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,6,3,0,0,12,0,5,5,5,4,0,0,0,0,2,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,34,0,0,0,0,43
2019migib_qm17,red,frc6190,frc4838,frc5263,34,43,0,12,2,2,5,2,5,5,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,22,0,0,0,0,34
2019migib_qm18,blue,frc7143,frc5901,frc3655,40,62,0,9,5,5,5,5,0,5,2,2,18,0,0,0,3,3,3,1,0,9,0,3,5,5,4,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,31,0,0,0,0,40
2019migib_qm18,red,frc6570,frc5090,frc6528,62,40,0,12,5,5,5,5,5,2,5,5,21,0,0,0,6,3,3,0,3,12,0,5,5,3,14,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,2,12,0,47,2,0,2,0,62
2019migib_qm19,blue,frc6029,frc280,frc4384,35,21,0,12,0,0,0,5,2,5,2,2,6,0,0,0,3,0,3,0,3,6,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,20,0,0,0,0,35
2019migib_qm19,red,frc2620,frc1701,frc5067,21,35,0,9,2,2,5,0,0,5,2,2,6,0,0,0,3,3,6,1,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,12,0,0,0,0,21
2019migib_qm2,blue,frc4838,frc6081,frc5067,27,19,0,9,5,5,5,0,0,5,2,2,12,0,0,0,0,3,3,0,0,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,18,0,0,0,0,27
2019migib_qm2,red,frc815,frc7789,frc6570,19,27,0,3,5,5,5,0,0,0,0,0,9,0,0,0,3,3,6,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,3,0,16,2,0,2,0,19
2019migib_qm20,blue,frc3604,frc548,frc815,61,15,0,15,0,0,0,2,0,5,2,2,12,0,0,0,12,3,3,1,0,18,30,5,5,5,16,5,2,5,2,5,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,46,0,0,2,0,61
2019migib_qm20,red,frc7865,frc5197,frc7788,15,61,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,3,9,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,9,0,0,0,0,15
2019migib_qm21,blue,frc3547,frc5901,frc4838,40,46,0,15,2,2,5,5,5,5,5,2,15,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,25,0,0,0,0,40
2019migib_qm21,red,frc7807,frc1718,frc7856,46,40,0,12,2,2,2,2,0,2,2,2,15,0,0,0,3,0,0,0,0,3,0,5,5,5,16,0,2,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,34,0,5,0,5,46
