Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1701,3.87,15.98,0.00,3.39,-0.01,0.31,1.04,-0.00,-0.40,1.17,0.63,0.73,-0.31,-0.26,0.07,-0.01,-1.05,1.27,1.63,-0.07,-0.32,1.48,-1.29,1.83,1.80,1.37,-0.36,-0.04,0.28,-0.24,-0.13,0.06,0.33,-0.33,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.20,1.07,-0.14,3.39,-0.11,0.80,0.27,-0.08,0.24,-0.12,3.87,
frc280,12.23,15.39,0.00,6.21,0.75,0.42,0.66,0.10,0.14,0.84,1.15,0.51,0.60,-0.63,-0.45,-0.32,0.56,0.72,0.91,0.22,2.21,2.39,-0.50,1.39,1.84,1.99,0.83,-0.40,0.38,-0.39,0.55,-0.14,0.12,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.12,2.15,2.15,0.16,6.21,-0.00,3.82,0.17,0.01,0.21,0.09,12.23,
frc5090,18.21,15.20,0.00,5.77,1.14,0.82,1.37,1.21,1.27,1.29,1.87,1.01,5.17,0.18,0.31,0.03,1.54,2.20,0.67,-0.19,-0.65,4.62,1.19,1.98,1.92,1.38,3.30,0.41,-0.10,0.89,-0.19,0.39,-0.10,0.94,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.39,1.47,2.11,0.24,5.77,0.08,13.09,0.46,-0.08,0.32,-0.13,18.21,
frc6618,16.19,12.43,0.00,3.73,1.81,1.40,1.89,0.98,0.27,0.76,1.56,1.26,8.32,-0.23,-0.18,0.11,0.28,0.39,0.22,0.01,1.20,0.09,-4.44,1.88,0.79,1.49,2.85,0.43,1.48,0.01,1.68,0.49,0.43,0.54,0.32,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.90,1.68,0.50,3.73,0.01,11.26,-0.22,0.21,-0.21,0.33,16.19,
frc4840,0.30,14.60,0.00,0.52,1.23,0.99,0.71,-0.70,-0.09,0.98,0.45,0.65,0.63,-0.56,-0.15,-0.15,1.82,0.30,-1.28,-0.08,-0.99,0.42,-4.38,0.96,0.95,0.89,-0.28,-0.64,0.21,-0.41,0.10,-0.28,-0.06,-0.13,0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.71,0.95,2.02,-0.34,0.52,-0.05,0.76,0.12,-0.16,0.04,-0.13,0.30,
frc3604,27.31,10.35,0.00,3.28,1.52,2.11,2.10,0.27,0.57,2.17,1.96,1.32,10.07,-0.32,-0.25,-0.41,3.66,3.35,3.00,-0.20,1.46,9.56,22.03,1.47,1.50,1.80,2.94,2.24,0.66,1.41,0.58,0.75,-0.35,0.12,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.58,1.66,1.11,1.45,3.28,0.05,22.57,-0.04,-0.37,0.38,-0.27,27.31,
frc703,13.27,19.14,0.00,4.10,0.42,0.49,0.83,-0.14,0.70,1.20,0.67,0.73,2.83,2.21,2.44,-0.36,2.18,0.14,0.94,0.30,0.35,3.28,1.15,1.20,1.71,2.10,2.71,0.86,0.28,0.34,0.04,0.09,-0.34,0.48,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.33,1.09,0.22,4.10,-0.02,8.82,0.58,0.12,1.06,0.35,13.27,
frc815,7.67,14.84,0.00,2.45,0.45,0.37,0.93,-0.24,0.04,0.33,0.18,-0.20,-0.01,-0.90,-0.13,-0.66,0.39,0.79,1.97,0.20,-0.88,2.54,3.88,1.01,1.39,1.04,3.57,0.69,0.93,0.78,0.14,0.10,0.31,-0.07,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.87,2.54,-0.11,2.45,0.01,6.10,-0.03,0.03,0.14,-0.25,7.67,
frc5853,12.43,8.64,0.00,3.47,0.88,1.63,1.99,0.30,-0.34,1.80,2.16,2.67,6.51,-1.23,-0.51,-0.31,1.22,1.14,0.93,-0.04,0.03,3.21,2.00,1.37,1.75,1.34,-0.80,1.10,-0.02,0.38,0.25,-0.18,-0.52,0.08,-0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.78,0.07,0.46,3.47,-0.10,8.92,-0.11,-0.48,-0.12,-0.42,12.43,
frc5067,17.03,12.88,0.00,5.08,1.07,1.65,1.83,0.15,0.22,2.22,1.42,1.25,5.99,0.03,0.12,-0.13,1.81,-0.64,1.42,0.06,1.87,2.14,1.98,1.87,1.37,1.35,1.94,0.87,0.10,0.99,-0.27,-0.31,0.34,-0.27,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.88,2.77,1.60,0.50,5.08,0.06,10.07,-0.07,0.44,-0.04,0.29,17.03,
