MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019migul_qm1,blue,frc1254,frc7254,frc5675,57,34,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,42,0,0,0,0,57
2019migul_qm1,red,frc5069,frc5161,frc7187,34,57,0,12,2,2,2,0,0,5,2,5,6,0,0,0,6,3,3,0,0,12,0,5,5,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,6,0,12,0,22,0,0,0,0,34
2019migul_qm10,blue,frc6043,frc4130,frc6642,30,48,0,6,2,2,2,0,0,5,5,5,9,0,0,0,3,12,0,0,0,15,30,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,6,0,24,0,0,0,0,30
2019migul_qm10,red,frc4855,frc7187,frc1940,48,30,0,15,5,5,5,0,0,5,5,2,18,0,0,0,0,6,3,0,0,9,0,5,5,5,6,0,0,2,0,5,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,48
2019migul_qm11,blue,frc7221,frc68,frc5501,40,92,0,12,2,2,5,5,0,2,2,2,6,0,0,0,3,3,12,11,0,18,30,3,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,12,2,28,0,0,0,0,40
2019migul_qm11,red,frc6588,frc5204,frc6120,92,40,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,53,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,24,0,0,0,0,92
2019migul_qm12,blue,frc3357,frc5688,frc7658,41,65,0,6,5,2,2,2,5,2,2,2,6,0,0,0,3,3,3,0,6,9,0,3,5,5,14,2,2,2,0,0,0,0,2,2,2,2,2,2,2,3,3,3,0,6,1,29,0,0,0,2,41
2019migul_qm12,red,frc6568,frc5462,frc5248,65,41,0,12,5,5,5,2,5,5,5,5,21,0,0,0,3,12,3,2,10,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,43,0,0,0,0,65
2019migul_qm13,blue,frc5843,frc7256,frc7208,44,41,0,12,2,2,2,2,5,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,20,2,0,2,2,2,0,2,2,2,2,2,2,2,2,3,3,6,2,12,0,32,2,0,2,0,44
2019migul_qm13,red,frc7195,frc5675,frc6043,41,44,0,9,2,2,5,5,5,2,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
