MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mijac_qm1,blue,frc1023,frc5502,frc7219,35,43,0,3,2,5,5,0,0,5,5,5,15,0,0,0,12,0,3,0,0,15,30,5,3,3,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,6,1,3,0,32,0,0,0,0,35
2019mijac_qm1,red,frc6592,frc5257,frc4362,43,35,0,15,2,5,5,5,0,0,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,0,0,0,43
2019mijac_qm10,blue,frc4325,frc7817,frc5502,65,43,0,15,2,2,2,5,5,5,5,5,18,0,0,0,12,3,3,2,0,18,30,5,5,5,14,0,0,0,2,2,0,5,2,2,2,2,2,2,2,3,6,6,3,15,0,50,0,0,0,2,65
2019mijac_qm10,red,frc6137,frc7656,frc7209,43,65,0,9,2,5,5,0,0,5,5,5,21,0,0,0,0,3,0,0,6,3,0,3,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,28,0,0,0,0,43
2019mijac_qm11,blue,frc7219,frc5704,frc5623,39,26,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,6,0,6,12,0,5,5,5,6,0,0,0,2,2,0,0,2,2,2,2,2,2,2,6,6,3,2,15,0,18,0,0,0,0,39
2019mijac_qm11,red,frc7501,frc5907,frc7197,26,39,0,12,5,0,0,0,5,2,2,2,6,0,0,0,3,3,0,2,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,14,0,0,0,0,26
2019mijac_qm12,blue,frc7221,frc5257,frc7222,31,41,0,15,5,5,2,2,2,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,16,0,0,0,0,31
2019mijac_qm12,red,frc6092,frc5685,frc302,41,31,0,9,2,5,5,0,5,5,5,5,18,0,0,0,3,3,6,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,32,0,0,0,0,41
2019mijac_qm13,blue,frc6425,frc5688,frc5523,36,49,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,24,0,0,0,0,36
2019mijac_qm13,red,frc7289,frc6635,frc5676,49,36,0,9,5,5,5,2,0,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,0,5,10,0,0,2,0,0,5,0,5,2,2,2,2,2,2,3,0,6,2,9,0,40,0,2,0,0,49
2019mijac_qm14,blue,frc7665,frc1023,frc4362,69,50,0,12,2,2,2,0,0,5,5,5,27,30,0,30,3,12,3,0,0,18,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,4,12,0,57,0,5,0,5,69
2019mijac_qm14,red,frc247,frc4408,frc4327,50,69,0,12,5,5,5,5,2,5,2,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,38,0,0,0,0,50
