MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mike2_qm1,blue,frc5224,frc494,frc2604,51,32,0,9,2,2,2,5,5,5,5,2,12,0,0,0,12,3,0,0,3,15,30,5,5,0,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,0,3,9,0,39,0,0,0,0,51
2019mike2_qm1,red,frc5282,frc5235,frc217,32,51,0,6,2,2,5,0,5,5,5,5,15,0,0,0,6,0,3,1,0,9,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,26,0,0,0,0,32
2019mike2_qm10,blue,frc6033,frc5282,frc5166,41,48,0,9,5,5,5,0,0,2,2,2,12,0,0,0,3,6,3,0,0,12,0,3,5,5,8,0,2,0,2,0,2,0,5,2,2,2,2,2,2,3,3,6,0,9,0,32,0,0,0,0,41
2019mike2_qm10,red,frc5155,frc3667,frc7813,48,41,0,9,5,5,5,5,5,2,2,2,15,0,0,0,3,12,3,0,0,18,30,5,5,3,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,39,0,0,0,0,48
2019mike2_qm11,blue,frc6093,frc5238,frc494,50,44,0,15,2,5,5,5,0,0,2,2,12,0,0,0,3,3,3,3,0,9,0,5,5,5,14,2,5,0,2,2,2,0,2,2,2,2,2,2,2,6,3,6,2,15,1,35,0,0,0,0,50
2019mike2_qm11,red,frc5662,frc5048,frc322,44,50,0,15,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,19,0,0,5,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,0,15,0,10,0,2,0,0,44
2019mike2_qm12,blue,frc5517,frc314,frc2619,51,59,0,15,5,5,5,0,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,1,36,0,0,0,0,51
2019mike2_qm12,red,frc6631,frc217,frc5224,59,51,0,9,2,5,5,5,0,5,5,5,18,0,0,0,3,3,12,0,10,18,30,3,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,40,0,0,0,0,59
2019mike2_qm13,blue,frc6073,frc4961,frc1684,61,27,0,12,5,2,5,5,5,2,2,2,24,0,0,0,3,3,3,0,0,9,0,5,5,5,16,0,2,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,49,0,5,0,5,61
2019mike2_qm13,red,frc7192,frc1243,frc6877,27,61,0,15,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,12,0,0,0,0,27
