Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5224,29.03,10.14,0.00,3.48,1.18,1.75,2.03,2.84,2.36,1.84,1.87,0.79,8.29,-0.78,-0.15,-0.63,-0.33,3.68,10.25,20.95,1.66,1.67,1.57,3.33,0.38,0.32,0.55,0.30,0.06,-0.33,0.30,-0.24,1.72,1.03,1.88,3.48,0.11,21.87,0.25,-0.09,0.37,-0.31,29.03,
frc494,23.29,19.83,0.00,5.47,0.14,1.09,0.94,1.33,0.45,1.54,1.66,0.89,4.28,-0.09,0.04,-0.13,0.63,1.69,2.40,-0.07,1.96,1.66,1.27,9.45,0.43,1.92,0.21,1.91,0.78,1.29,0.76,1.19,2.03,1.36,0.80,5.47,0.13,16.13,0.01,0.59,0.46,0.91,23.29,
frc2604,3.33,10.57,0.00,4.59,1.22,0.80,0.50,0.34,-1.39,1.35,0.52,0.56,-0.54,0.47,0.09,0.38,0.78,-0.87,1.12,-3.35,1.48,1.89,1.15,-0.97,-0.61,-0.39,-0.45,-0.37,-0.20,0.14,-0.09,-0.12,1.87,0.38,0.04,4.59,-0.04,-0.39,-0.09,0.06,-0.10,-0.02,3.33,
frc5282,19.02,22.79,0.00,4.43,1.88,1.65,2.58,0.56,0.62,1.39,1.13,1.25,6.61,-0.72,-0.38,-0.34,-0.34,-0.15,6.05,4.15,1.54,1.51,1.59,2.08,0.15,0.24,0.48,0.40,-0.23,0.22,-0.22,0.41,1.62,2.15,-0.04,4.43,-0.11,14.74,0.03,0.03,-0.03,0.09,19.02,
frc5235,9.55,9.21,0.00,2.08,1.23,1.54,1.22,-0.83,0.67,2.07,2.66,1.21,4.95,-0.42,0.03,-0.45,0.93,0.67,2.29,1.17,1.05,1.39,1.45,-0.44,-0.24,-0.23,-0.49,-0.37,-0.09,-0.03,-0.20,0.13,0.70,1.48,0.12,2.08,-0.10,6.80,-0.01,0.23,-0.04,0.18,9.55,
frc217,23.62,17.79,0.00,4.71,1.19,1.39,1.85,1.10,0.66,1.69,0.93,1.76,11.29,7.47,2.50,4.97,0.36,2.22,2.58,-2.86,1.61,1.56,1.31,2.82,0.94,1.43,1.20,0.55,0.30,0.72,0.79,0.36,1.09,1.21,1.02,4.71,-0.05,16.69,0.26,0.44,0.25,0.50,23.62,
frc6033,14.57,9.90,0.00,2.59,1.77,1.73,2.40,0.04,0.32,1.79,1.90,1.34,6.93,1.94,2.41,-0.47,0.10,2.74,3.59,-0.65,0.80,1.78,1.88,-1.27,0.12,-0.55,-0.14,-0.21,-0.01,-0.12,0.03,0.28,0.79,1.47,0.45,2.59,0.02,9.24,0.27,-0.33,0.22,-0.10,14.57,
frc5166,16.85,14.30,0.00,5.60,0.70,0.43,-0.43,-0.78,-0.21,0.56,0.91,0.70,3.68,1.93,-0.37,2.31,0.21,-1.08,2.31,-0.32,1.60,1.80,1.95,6.34,-0.54,2.03,-0.56,1.70,0.46,2.53,0.43,2.08,1.21,2.33,0.57,5.60,-0.01,12.33,0.23,2.15,0.37,1.45,16.85,
frc5155,22.33,11.16,0.00,5.49,1.49,1.40,2.14,0.15,1.01,2.21,0.84,1.18,6.21,-0.02,0.11,-0.13,-0.16,4.42,5.49,10.79,1.86,1.64,1.73,0.72,-0.09,0.66,0.00,0.46,-0.20,-0.30,0.23,0.13,1.89,1.92,0.91,5.49,-0.09,12.42,-0.12,0.01,0.22,0.20,22.33,
frc3667,29.13,12.10,0.00,3.36,1.82,2.07,1.72,1.73,1.75,2.18,2.43,2.47,11.89,-0.21,-0.18,-0.03,-0.46,-0.42,12.41,22.07,2.01,1.75,1.64,1.90,0.40,0.94,1.09,0.94,-0.04,-0.15,-0.15,-0.29,0.95,0.25,1.69,3.36,0.06,26.20,-0.12,-0.41,-0.14,-0.38,29.13,
