MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019miken_qm1,blue,frc4956,frc2405,frc7811,61,78,0,15,2,5,5,5,0,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,6,6,0,15,1,46,0,0,0,0,61
2019miken_qm1,red,frc288,frc6090,frc5316,78,61,0,15,5,5,5,5,5,2,2,5,24,0,0,0,6,6,3,0,10,15,30,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,53,0,0,2,0,78
2019miken_qm10,blue,frc4967,frc5316,frc5470,63,42,0,9,5,5,5,0,5,5,5,5,24,0,0,0,12,3,3,0,6,18,30,5,5,5,6,5,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,48,0,0,0,0,63
2019miken_qm10,red,frc4956,frc7248,frc4327,42,63,0,15,2,2,5,5,5,2,5,5,15,0,0,0,3,0,3,2,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,27,0,0,0,0,42
2019miken_qm11,blue,frc5161,frc7187,frc2054,70,57,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,6,12,0,0,21,30,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,55,0,0,0,0,70
2019miken_qm11,red,frc3875,frc1918,frc858,57,70,0,12,5,5,5,0,0,2,2,2,27,30,0,30,0,3,3,0,0,6,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,1,12,0,45,0,5,0,5,57
2019miken_qm12,blue,frc7073,frc5675,frc67,80,43,0,15,5,5,5,5,5,5,5,5,30,0,0,0,0,3,12,0,10,15,30,5,5,5,10,0,2,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,55,0,0,0,0,80
2019miken_qm12,red,frc3546,frc27,frc6428,43,80,0,12,2,2,2,0,0,2,2,2,9,0,0,0,12,0,0,0,0,12,0,5,5,5,10,5,2,5,0,5,0,2,0,2,2,2,2,2,2,6,3,3,0,12,1,31,0,0,0,0,43
2019miken_qm13,blue,frc5460,frc3458,frc6600,92,45,0,12,2,0,2,5,2,2,2,2,21,30,30,0,12,3,3,0,19,18,30,5,5,5,22,5,2,5,2,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,61,5,0,5,0,92
2019miken_qm13,red,frc7814,frc6090,frc7812,45,92,0,15,5,2,5,5,0,2,5,5,15,0,0,0,3,3,3,3,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,30,0,0,0,0,45
2019miken_qm14,blue,frc2405,frc288,frc244,58,68,0,15,5,5,5,5,0,5,2,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,43,2,0,0,0,58
2019miken_qm14,red,frc7256,frc216,frc1918,68,58,0,15,5,5,5,5,5,5,2,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,14,5,0,5,2,2,0,5,0,2,2,2,2,2,2,6,6,3,2,15,0,53,0,0,0,0,68
2019miken_qm15,blue,frc2771,frc3875,frc7187,72,80,0,15,5,5,5,5,0,5,5,5,24,0,0,0,12,3,6,0,0,21,30,5,5,5,12,5,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,1,15,1,57,2,0,0,0,72
2019miken_qm15,red,frc27,frc2054,frc7248,80,72,0,15,2,5,2,0,0,5,5,5,24,0,0,0,12,6,3,0,10,21,30,5,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,55,0,2,0,0,80
2019miken_qm16,blue,frc7811,frc67,frc7814,55,64,0,15,2,2,2,0,0,2,2,2,9,0,0,0,3,12,3,1,3,18,30,5,5,5,10,5,0,2,0,5,0,5,0,2,2,2,2,2,2,6,3,6,1,15,0,37,2,0,0,0,55
2019miken_qm16,red,frc5963,frc2767,frc5460,64,55,0,15,2,2,2,0,0,2,2,2,15,0,0,0,0,12,3,1,3,15,30,5,5,5,16,5,2,2,0,5,2,5,0,2,2,2,2,2,2,3,6,6,3,15,0,46,5,0,5,0,64
2019miken_qm17,blue,frc858,frc6600,frc5470,47,60,0,9,2,5,5,0,5,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,38,0,0,0,0,47
2019miken_qm17,red,frc3458,frc5316,frc5056,60,47,0,15,5,5,5,5,5,0,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,5,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,45,0,0,0,0,60
2019miken_qm18,blue,frc288,frc5675,frc6428,56,79,0,9,5,5,5,5,5,5,5,5,30,0,0,0,6,3,0,0,0,9,0,5,5,3,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,47,0,0,0,0,56
2019miken_qm18,red,frc4855,frc6090,frc4362,79,56,0,15,5,5,0,2,5,5,5,5,33,0,0,0,12,3,0,0,0,15,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,64,0,5,0,2,79
2019miken_qm19,blue,frc6627,frc5161,frc4327,51,39,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,39,0,0,0,0,51
2019miken_qm19,red,frc7256,frc4482,frc7689,39,51,0,15,2,2,2,2,2,2,2,2,0,0,0,0,0,6,3,0,3,9,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,39
2019miken_qm2,blue,frc7225,frc2771,frc5056,79,93,0,9,2,2,2,0,0,5,5,5,24,0,0,0,3,12,0,0,13,15,30,5,5,5,18,5,5,5,5,2,5,2,2,2,2,2,2,2,2,3,3,3,1,9,0,57,2,0,0,0,79
