Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4956,23.83,20.56,0.00,1.78,1.40,1.59,2.10,2.84,3.14,1.78,1.89,1.81,12.34,0.79,2.19,-1.93,1.62,2.08,2.61,-0.02,-0.44,6.32,6.55,1.41,1.69,1.49,3.83,1.60,-0.10,1.42,-0.05,0.28,0.15,0.63,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,0.46,0.85,0.96,0.61,1.78,0.06,22.49,0.06,-0.31,0.09,-0.20,23.83,
frc2405,21.17,23.60,0.00,5.59,0.94,1.47,1.01,1.32,-0.75,1.45,0.49,1.36,6.94,-2.63,-1.91,-1.09,-0.94,0.18,2.37,-0.08,-0.12,1.61,3.31,1.74,1.66,1.71,7.15,1.50,1.26,1.84,1.27,0.02,0.71,0.57,1.60,0.67,0.67,0.67,0.67,0.67,0.67,1.82,0.82,2.69,0.24,5.59,0.07,15.69,0.16,0.64,0.26,1.07,21.17,
frc7811,16.73,17.12,0.00,5.39,1.32,1.96,1.57,0.16,0.66,1.70,1.22,1.74,6.73,-1.96,-0.91,-1.15,0.53,1.49,0.89,0.11,0.22,2.91,0.56,1.75,1.69,1.77,1.49,0.98,-0.13,1.07,-0.50,0.82,-0.38,0.82,-0.73,0.67,0.67,0.67,0.67,0.67,0.67,1.57,2.17,1.36,0.27,5.39,0.05,11.12,0.46,-0.16,-0.06,-0.30,16.73,
frc288,23.08,20.71,0.00,4.41,1.85,1.76,2.12,1.85,2.47,1.38,0.59,1.01,8.66,1.62,0.78,0.66,2.41,1.42,1.63,0.01,1.93,5.46,7.91,1.65,1.51,1.56,2.61,0.80,-0.68,1.03,-0.95,0.93,-0.08,1.26,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.72,1.69,0.57,4.41,-0.04,16.73,0.21,-0.03,0.53,-0.22,23.08,
frc6090,22.29,26.61,0.00,5.66,1.70,1.53,0.97,0.02,2.11,1.67,0.82,1.87,9.00,3.40,-0.87,1.78,1.29,1.07,1.03,0.18,0.19,3.39,2.07,1.75,1.68,1.66,4.05,0.75,1.30,0.33,0.45,0.05,1.55,-0.24,1.03,0.67,0.67,0.67,0.67,0.67,0.67,2.31,0.87,2.21,0.58,5.66,0.07,16.44,-0.29,0.78,-0.29,0.57,22.29,
frc5316,20.90,20.03,0.00,2.77,1.51,1.70,1.61,1.95,1.81,0.97,1.54,1.35,5.61,-2.05,-0.39,-1.90,2.16,2.81,0.21,0.06,1.69,5.17,8.80,1.58,1.52,1.73,5.65,0.39,0.88,-0.13,0.43,0.11,0.45,0.23,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.80,0.28,0.51,2.77,-0.07,16.43,0.04,-0.13,0.06,-0.08,20.90,
frc4967,25.09,12.47,0.00,3.93,0.95,1.03,0.85,0.22,0.65,1.71,1.11,1.66,8.30,1.66,0.95,1.14,3.28,2.58,2.51,-0.21,0.55,8.37,12.13,1.74,1.72,1.75,3.94,1.03,1.70,0.35,1.99,-0.21,1.17,-0.19,1.20,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.34,0.98,1.10,3.93,-0.05,20.62,-0.09,0.51,-0.15,0.73,25.09,
frc5470,15.42,19.45,0.00,2.54,1.95,1.77,1.73,1.61,1.02,1.79,1.84,1.97,7.60,-2.03,-1.43,-0.60,2.49,-0.08,2.19,-0.19,-0.04,4.61,7.69,1.38,1.66,1.74,0.72,0.55,0.15,-0.29,-0.24,0.24,-0.05,-0.16,0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.22,1.06,0.22,2.54,-0.04,12.93,-0.38,-0.21,-0.33,-0.19,15.42,
frc7248,15.06,19.50,0.00,5.79,1.06,1.14,1.64,0.86,0.05,1.48,1.73,1.57,5.03,0.73,-0.70,1.55,0.42,-0.17,2.61,0.40,0.80,2.87,1.20,1.59,1.68,1.68,0.57,-0.24,0.04,-0.13,-0.08,-0.47,0.82,-0.19,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.88,2.04,2.11,0.05,5.79,0.05,8.47,-0.38,0.39,-0.16,0.41,15.06,
frc4327,24.25,15.98,0.00,5.55,1.99,1.60,1.48,1.41,0.75,1.64,1.89,1.94,9.60,-0.83,-0.14,-0.61,0.42,1.22,0.36,0.56,4.26,2.00,-2.42,1.62,1.66,1.71,2.84,0.43,1.30,0.45,0.76,0.11,0.44,0.01,0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.89,2.28,0.40,5.55,-0.02,14.45,0.42,-0.29,0.28,-0.32,24.25,
frc5161,19.54,24.97,0.00,3.60,1.18,1.72,1.47,1.87,2.28,0.97,1.15,1.11,5.46,2.68,1.21,-1.07,0.51,3.53,3.14,1.41,-0.78,7.18,7.48,1.74,1.67,1.78,4.08,0.65,-0.27,0.48,-0.06,0.38,-0.58,0.69,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.16,0.66,1.50,0.57,3.60,0.03,16.72,0.23,-0.17,0.07,-0.32,19.54,
frc7187,21.89,14.29,0.00,4.98,2.39,1.62,2.25,1.04,1.66,2.13,2.24,1.60,9.46,-1.05,-0.05,-0.44,1.30,1.87,2.13,-0.28,0.34,5.31,0.99,1.42,1.69,1.52,1.80,0.35,-0.36,0.59,-0.22,0.54,-0.21,0.50,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.25,2.14,1.84,0.50,4.98,0.13,16.56,-0.04,-0.29,-0.17,-0.06,21.89,
frc2054,30.09,21.44,0.00,5.56,0.89,1.12,0.77,1.45,0.81,1.77,1.37,1.40,10.25,1.66,3.15,-1.87,4.56,0.71,2.19,-0.08,0.96,7.46,12.16,1.75,1.67,1.32,5.85,1.23,1.74,1.15,1.86,0.80,0.58,0.68,0.63,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.76,2.27,1.56,5.56,-0.06,23.57,0.69,-0.03,0.73,0.21,30.09,
frc3875,16.86,21.94,0.00,5.08,1.67,1.84,1.96,0.79,0.66,1.94,1.98,1.93,8.59,-0.14,-0.12,0.41,0.77,1.02,-0.59,-0.02,-0.18,1.20,-5.06,1.57,1.70,1.66,2.17,0.92,0.74,0.47,0.96,-0.44,-0.08,-0.74,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.87,2.17,2.08,-0.21,5.08,0.04,11.97,-0.01,0.09,-0.32,0.38,16.86,
frc1918,33.15,21.93,0.00,4.85,1.40,1.86,1.67,0.57,1.43,1.15,1.03,0.75,14.50,10.62,3.78,9.17,2.65,1.23,3.43,-0.02,-0.81,7.31,10.50,1.57,1.68,1.76,7.30,0.98,1.77,0.61,2.26,0.92,2.03,1.02,2.33,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.60,1.52,1.33,4.85,0.05,29.11,0.62,1.51,0.28,1.89,33.15,
frc858,15.14,19.15,0.00,2.33,0.97,1.82,2.35,1.44,1.01,1.38,1.21,1.22,5.46,-0.24,-1.31,0.73,2.59,0.69,1.91,-0.13,0.49,5.19,9.24,1.56,1.67,1.53,1.65,0.31,0.23,0.17,0.14,-0.33,-0.47,0.33,-0.56,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.06,1.07,0.65,2.33,-0.07,12.31,-0.08,0.08,-0.04,0.02,15.14,
frc7073,10.98,12.79,0.00,4.86,0.59,0.83,0.70,0.33,1.35,1.35,1.34,0.98,0.93,-1.24,-1.11,-2.90,1.32,-1.04,2.49,0.21,2.18,2.76,6.08,1.54,1.67,1.68,0.24,-0.49,-0.48,-0.88,-0.42,-0.24,0.14,-0.26,0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.43,1.81,0.45,4.86,0.18,3.94,-0.08,-0.44,0.41,-0.57,10.98,
