MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019miket_qm1,blue,frc5084,frc5538,frc5260,32,38,0,6,0,0,0,5,5,0,0,0,9,0,0,0,6,0,3,0,0,9,0,5,3,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,26,0,0,0,0,32
2019miket_qm1,red,frc3535,frc1506,frc5533,38,32,0,6,5,5,5,0,5,2,2,2,18,0,0,0,3,3,3,0,0,6,0,5,5,0,8,5,0,0,0,5,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,32,2,0,0,0,38
2019miket_qm10,blue,frc3568,frc7818,frc5215,8,27,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,3,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,5,0,0,0,0,8
2019miket_qm10,red,frc1322,frc2612,frc5234,27,8,0,9,2,2,0,0,5,0,2,0,6,0,0,0,3,3,0,0,0,6,0,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,18,5,0,2,0,27
2019miket_qm11,blue,frc7491,frc1506,frc6597,45,25,0,12,5,5,2,0,0,5,5,5,15,0,0,0,3,0,0,0,9,3,0,5,5,5,6,2,0,2,0,2,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,24,0,0,0,0,45
2019miket_qm11,red,frc7772,frc5114,frc6102,25,45,0,3,0,0,0,0,0,5,5,5,9,0,0,0,3,3,3,3,0,9,0,3,5,3,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,3,0,22,0,0,0,0,25
2019miket_qm12,blue,frc6019,frc5527,frc5641,45,64,0,6,2,2,2,0,0,2,5,2,3,0,0,0,3,0,0,10,33,3,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,6,0,6,0,0,0,0,45
2019miket_qm12,red,frc5086,frc6091,frc5612,64,45,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,0,3,11,30,3,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,25,0,0,0,0,64
2019miket_qm13,blue,frc5150,frc6548,frc468,38,27,0,15,2,5,5,0,5,0,0,0,9,0,0,0,6,3,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,23,0,0,0,0,38
2019miket_qm13,red,frc70,frc5538,frc6086,27,38,0,12,2,2,2,0,0,5,2,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,15,0,0,0,0,27
2019miket_qm14,blue,frc6597,frc2145,frc27,54,39,0,6,5,5,5,0,0,5,5,5,24,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,0,0,2,0,5,0,5,2,2,2,2,2,2,3,3,3,3,6,0,48,0,0,0,0,54
2019miket_qm14,red,frc3542,frc5533,frc245,39,54,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,3,0,0,0,0,0,5,0,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,30,0,0,0,0,39
2019miket_qm15,blue,frc5084,frc7772,frc2612,29,44,0,9,2,2,2,5,0,5,5,5,12,0,0,0,0,3,3,0,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,20,0,0,0,0,29
2019miket_qm15,red,frc5527,frc5114,frc7491,44,29,0,12,5,5,5,0,5,5,5,5,21,0,0,0,0,3,0,0,0,3,0,3,5,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,2,12,0,32,0,2,0,0,44
