Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5084,16.32,13.24,0.00,2.18,1.74,1.03,0.85,0.80,2.20,1.55,1.26,1.84,7.66,-0.70,0.00,0.00,2.55,0.90,-0.23,-0.27,0.23,3.32,4.20,1.69,1.84,1.33,2.92,0.39,1.50,0.25,0.12,0.08,-0.01,0.05,-0.10,0.67,0.65,2.18,-0.07,13.91,-0.14,-0.02,-0.08,-0.04,16.32,
frc5538,7.30,18.57,0.00,4.46,0.29,0.37,0.38,0.58,1.21,0.12,-0.05,0.47,0.12,0.24,0.00,0.00,0.27,0.64,1.27,0.41,-0.36,2.22,-1.95,1.33,1.47,1.99,0.87,-0.43,0.64,-0.48,0.25,-0.20,-0.08,-0.02,-0.02,0.67,-0.35,4.46,0.00,3.21,-0.15,-0.01,-0.11,-0.01,7.30,
frc5260,18.87,12.86,0.00,1.89,0.34,0.66,0.26,1.00,-0.13,1.15,0.83,0.86,2.96,-0.46,0.00,0.00,0.87,-0.24,2.27,0.28,5.04,2.93,2.89,1.46,1.38,1.84,6.04,0.94,0.78,1.36,0.34,0.57,0.28,0.94,0.45,0.67,0.51,1.89,0.09,11.93,0.35,0.35,0.56,0.33,18.87,
frc3535,22.91,10.33,0.00,4.26,1.47,2.54,2.36,0.61,0.74,1.84,1.84,1.34,8.46,2.50,0.00,0.00,2.65,1.86,1.31,-0.58,2.50,5.66,4.21,1.76,1.86,1.04,2.04,0.67,0.57,0.31,0.66,0.41,0.14,-0.00,0.18,0.67,1.15,4.26,-0.04,16.16,0.10,0.03,0.00,-0.01,22.91,
frc1506,24.41,14.45,0.00,3.14,2.17,1.61,1.59,1.50,0.26,0.85,1.26,0.95,6.32,-0.44,0.00,0.00,2.49,1.68,2.84,0.12,4.58,6.86,12.17,1.90,1.61,1.45,3.51,1.96,0.28,1.01,0.59,0.78,-0.02,0.06,0.03,0.67,1.07,3.14,0.04,16.69,0.08,-0.04,-0.02,-0.03,24.41,
frc5533,1.75,17.65,0.00,0.54,1.40,1.09,1.46,-0.34,0.70,1.25,1.32,1.27,3.53,-0.38,0.00,0.00,-0.46,0.58,0.80,-0.18,-2.18,0.22,-3.36,1.23,1.44,0.67,-0.37,-0.42,0.01,-0.28,-0.56,0.32,0.42,0.07,-0.14,0.67,-0.35,0.54,0.04,3.38,0.02,0.02,-0.05,0.01,1.75,
frc3568,16.59,5.65,0.00,2.76,0.43,1.43,1.00,2.55,1.76,0.93,0.44,-0.12,3.81,-0.15,0.00,0.00,1.69,0.10,2.46,-0.53,2.22,4.39,4.33,1.85,1.26,1.58,3.41,0.41,0.10,0.34,-0.31,-0.05,-0.19,0.26,-0.13,0.67,0.88,2.76,0.02,11.61,-0.05,0.02,-0.05,0.01,16.59,
frc7818,9.30,16.54,0.00,5.23,0.22,0.66,1.37,-0.17,0.37,0.55,0.60,0.88,0.55,2.56,0.00,0.00,0.35,1.78,0.37,-0.09,0.40,2.39,1.22,1.98,1.80,1.03,0.72,0.14,0.14,0.08,0.34,0.09,0.02,-0.15,0.22,0.67,0.10,5.23,0.19,3.66,-0.09,-0.06,-0.08,0.14,9.30,
frc5215,5.43,5.85,0.00,1.67,0.24,0.22,-0.07,0.75,1.15,0.68,0.62,0.78,1.09,2.12,0.00,0.00,0.57,0.10,1.15,0.05,-0.06,1.71,-0.52,1.08,1.27,0.97,1.01,0.37,-0.15,-0.21,0.19,-0.29,-0.25,-0.19,-0.02,0.67,0.64,1.67,-0.10,3.82,-0.11,-0.05,-0.06,-0.05,5.43,
frc1322,12.72,13.92,0.00,4.55,0.42,0.78,0.90,0.07,0.15,0.86,0.93,0.92,4.04,-0.15,0.00,0.00,2.44,0.35,0.48,-0.06,-1.44,3.37,4.40,1.83,1.56,1.30,2.20,0.67,0.59,0.76,0.92,-0.12,0.39,0.72,0.14,0.67,0.50,4.55,0.11,9.61,0.38,-0.03,0.17,-0.04,12.72,
