MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mikng_qm1,blue,frc6581,frc3617,frc7816,0,33,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0
2019mikng_qm1,red,frc6569,frc4988,frc7713,33,0,0,12,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,0,3,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,18,0,0,0,0,33
2019mikng_qm10,blue,frc7638,frc7156,frc6113,15,37,0,6,0,2,2,0,0,2,2,0,0,0,0,0,6,0,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,1,9,0,0,0,0,15
2019mikng_qm10,red,frc4715,frc6637,frc7154,37,15,0,9,2,2,2,0,0,5,5,5,9,0,0,0,3,3,3,0,10,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,18,0,0,0,0,37
2019mikng_qm11,blue,frc6112,frc857,frc5486,16,31,0,3,0,0,2,0,5,2,2,2,3,0,0,0,0,3,3,1,0,6,0,0,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,13,0,0,0,0,16
2019mikng_qm11,red,frc5989,frc6558,frc5706,31,16,0,12,2,2,2,0,0,5,5,5,9,0,0,0,0,3,0,0,3,3,0,5,5,3,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,16,0,0,0,0,31
2019mikng_qm12,blue,frc3602,frc3875,frc2586,66,50,0,12,2,5,2,5,0,5,2,2,27,30,30,0,3,3,3,2,0,9,0,5,5,5,18,5,0,5,2,5,0,5,2,2,2,2,2,2,2,3,6,3,3,12,0,54,5,0,5,0,66
2019mikng_qm12,red,frc6075,frc7782,frc6088,50,66,0,15,5,0,5,0,5,5,5,5,18,0,0,0,3,3,3,0,6,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,29,0,0,0,0,50
2019mikng_qm13,blue,frc6345,frc245,frc7826,35,9,0,6,5,5,5,2,0,5,5,5,18,0,0,0,0,3,3,0,3,6,0,3,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,6,0,26,0,0,0,0,35
2019mikng_qm13,red,frc4827,frc4988,frc7816,9,35,0,9,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,0,0,0,0,0,9
