Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6556,12.65,12.51,0.00,2.44,0.41,0.48,1.65,1.95,1.49,0.92,1.27,0.84,1.88,-0.18,0.00,0.00,0.98,3.09,0.81,-0.17,-0.49,4.96,8.17,1.54,1.38,2.08,3.87,-0.30,0.58,0.01,0.45,-0.29,-0.05,-0.10,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.08,0.71,1.11,0.42,2.44,0.04,10.70,0.02,-0.09,-0.08,-0.12,12.65,
frc5708,2.91,9.86,0.00,2.25,0.29,0.51,1.05,0.25,0.29,1.04,0.50,0.44,0.08,2.55,0.00,0.00,-0.53,0.67,0.76,0.21,0.73,-0.28,-1.88,2.05,0.93,1.29,0.12,0.16,0.09,0.28,-0.05,0.18,0.02,-0.23,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.38,0.76,-0.09,2.25,0.16,-0.07,-0.06,-0.06,-0.04,-0.08,2.91,
frc4327,7.29,14.60,0.00,2.16,1.09,1.92,1.66,-0.34,-0.69,1.86,1.78,0.91,4.13,-0.16,0.00,0.00,0.79,-0.33,-0.04,0.16,0.62,0.61,1.63,1.42,1.97,0.77,-0.23,0.50,-0.45,0.73,-0.74,0.28,-0.36,0.52,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.01,0.58,0.09,2.16,-0.03,4.51,0.20,-0.06,-0.02,-0.06,7.29,
frc7209,8.87,16.67,0.00,2.19,0.38,0.77,1.05,0.92,0.75,1.47,1.28,0.93,3.21,-0.18,0.00,0.00,-0.37,1.80,-0.44,0.20,0.34,1.11,-0.38,1.02,1.74,1.42,2.03,0.63,-0.01,0.22,0.33,0.10,0.29,0.11,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.23,1.34,-0.35,2.19,-0.10,6.35,-0.05,-0.03,0.03,-0.02,8.87,
frc5685,6.92,14.10,0.00,1.60,0.34,1.27,1.00,0.85,-0.50,0.87,0.97,0.88,1.12,2.46,0.00,0.00,1.11,1.75,0.35,0.49,2.44,2.81,3.15,1.37,1.04,1.78,-1.04,-0.18,-0.59,-0.01,-0.30,-0.29,-0.17,-0.32,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.92,0.67,1.18,0.22,1.60,0.00,2.89,-0.13,-0.10,-0.08,0.11,6.92,
frc5227,14.25,10.37,0.00,4.03,0.96,1.03,0.79,0.96,-0.06,1.06,0.97,0.66,1.94,0.07,0.00,0.00,0.53,2.44,1.47,0.47,1.88,4.53,-0.89,1.52,1.37,1.56,1.88,0.47,0.15,0.37,0.13,-0.18,0.20,-0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.50,2.56,0.50,4.03,0.03,8.35,0.25,-0.05,-0.04,-0.07,14.25,
frc5676,27.17,10.96,0.00,4.49,1.69,1.77,1.82,2.23,2.39,2.33,2.41,2.32,13.49,0.12,0.00,0.00,1.56,1.00,1.08,0.23,-0.34,3.75,2.98,1.88,2.12,1.15,5.78,1.77,1.21,1.61,0.94,0.07,-0.18,0.27,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.07,1.74,0.94,4.49,0.04,23.02,0.56,0.06,0.54,0.06,27.17,
frc6002,17.13,9.61,0.00,2.86,0.83,0.28,1.40,-0.61,1.23,0.49,0.06,0.29,0.97,-0.47,0.00,0.00,1.94,3.72,2.61,0.04,0.89,8.33,17.13,1.87,1.59,1.22,4.08,-0.54,0.38,-0.40,0.39,0.87,0.79,1.01,0.73,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.96,0.31,1.44,2.86,-0.02,13.38,0.51,0.14,0.44,0.47,17.13,
frc7219,7.69,10.24,0.00,4.08,0.54,-0.13,0.76,1.39,0.67,0.26,0.20,0.75,0.32,0.08,0.00,0.00,1.89,0.40,-0.68,0.43,-0.49,1.82,-1.59,1.24,1.53,1.59,1.97,0.00,0.36,0.04,0.49,-0.14,0.25,0.07,0.23,0.67,0.67,0.67,0.67,0.67,0.67,2.07,2.40,0.79,0.25,4.08,-0.05,4.10,0.02,0.07,-0.03,-0.08,7.69,
frc6053,8.84,16.49,0.00,1.90,1.13,0.62,1.36,-0.94,0.26,1.62,1.49,0.93,3.02,-0.51,0.00,0.00,2.45,0.71,0.36,-0.18,0.97,3.42,4.49,0.70,1.22,1.00,-0.46,-0.24,0.30,-0.13,-0.09,0.07,0.24,-0.11,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.27,1.48,0.23,1.90,0.02,5.98,-0.30,0.09,-0.24,-0.08,8.84,
