MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019milan_qm1,blue,frc2145,frc6078,frc6638,48,68,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,36,0,0,0,0,48
2019milan_qm1,red,frc6635,frc7197,frc1504,68,48,0,15,5,5,5,5,5,2,5,2,18,0,0,0,3,3,3,0,10,9,0,5,5,5,16,2,2,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,43,0,0,2,0,68
2019milan_qm10,blue,frc3568,frc6592,frc7222,46,54,0,9,2,5,5,0,0,5,5,2,12,0,0,0,0,3,6,0,10,9,0,0,5,5,6,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,9,0,27,0,0,0,0,46
2019milan_qm10,red,frc5674,frc5238,frc7202,54,46,0,15,5,5,5,5,0,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,1,39,0,0,0,0,54
2019milan_qm11,blue,frc6594,frc2145,frc6033,40,42,0,9,2,2,2,5,5,5,5,5,15,0,0,0,3,6,3,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,31,0,0,0,0,40
2019milan_qm11,red,frc6742,frc2676,frc6078,42,40,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,27,0,0,0,0,42
2019milan_qm12,blue,frc6595,frc6635,frc4216,49,67,0,15,5,5,2,5,5,2,5,5,18,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,1,34,0,0,0,0,49
2019milan_qm12,red,frc6591,frc6085,frc5704,67,49,0,15,0,0,2,5,2,0,0,5,6,0,0,0,6,3,3,0,10,12,0,5,5,5,24,0,2,0,2,2,2,2,2,2,2,2,2,2,2,6,6,3,2,15,0,42,0,2,0,2,67
2019milan_qm13,blue,frc3668,frc7056,frc5231,51,43,0,9,5,5,5,5,5,5,5,2,21,0,0,0,3,6,3,0,3,12,0,5,3,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,39,0,0,0,0,51
2019milan_qm13,red,frc7226,frc5523,frc7894,43,51,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,1,0,6,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,31,0,0,0,0,43
2019milan_qm14,blue,frc3658,frc7197,frc2611,59,61,0,9,2,2,2,2,5,5,0,2,6,0,0,0,3,3,12,0,10,18,30,3,5,5,16,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,40,0,0,0,0,59
2019milan_qm14,red,frc3707,frc5524,frc894,61,59,0,15,5,5,5,0,0,5,5,5,27,0,0,0,3,6,0,0,0,9,0,5,5,5,10,0,0,0,5,0,2,0,2,2,2,2,2,2,2,3,6,6,2,15,1,46,0,5,0,5,61
2019milan_qm15,blue,frc5238,frc3098,frc6085,37,57,0,6,2,5,2,5,0,5,5,5,15,0,0,0,3,3,3,0,3,9,0,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,28,0,0,0,0,37
2019milan_qm15,red,frc6595,frc7202,frc6078,57,37,0,15,2,2,5,5,5,5,5,5,18,0,0,0,3,6,3,1,0,12,0,5,5,5,12,0,2,2,0,0,2,2,0,2,2,2,2,2,2,6,3,6,2,15,0,42,0,0,0,0,57
2019milan_qm16,blue,frc7289,frc6635,frc7222,60,56,0,12,5,5,5,0,5,5,5,5,24,0,0,0,6,3,6,0,3,15,30,5,5,5,6,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,1,45,0,0,0,0,60
2019milan_qm16,red,frc6067,frc3668,frc2676,56,60,0,15,5,5,5,0,0,5,5,5,24,0,0,0,0,0,3,1,10,3,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,31,0,0,0,0,56
2019milan_qm17,blue,frc4776,frc7226,frc6594,58,52,0,12,5,5,5,2,0,5,5,5,24,0,0,0,3,3,3,2,3,9,0,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,3,2,12,0,43,0,0,0,2,58
2019milan_qm17,red,frc1504,frc6592,frc7665,52,58,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,3,3,1,6,9,0,5,3,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,37,0,0,0,0,52
2019milan_qm18,blue,frc5231,frc7894,frc2611,46,46,0,15,0,0,2,2,5,2,0,0,3,0,0,0,3,3,12,1,0,18,30,5,5,5,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,31,0,0,0,0,46
2019milan_qm18,red,frc7144,frc7495,frc4216,46,46,0,15,2,2,5,5,2,5,5,5,15,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,28,0,0,0,0,46
2019milan_qm19,blue,frc6742,frc3655,frc2145,59,89,0,12,5,5,5,0,5,5,5,5,27,0,0,0,3,3,6,7,0,12,0,5,5,5,8,5,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,47,0,0,0,0,59
